date,price
2013-12-26,9998.88
2013-12-31,10009.2
2014-01-03,10009.81
2014-01-08,10045.77
2014-01-10,10128.17
2014-01-15,10185.66
2014-01-17,10208.52
2014-01-22,10348.47
2014-01-24,10341.38
2014-01-31,10344.4
2014-02-07,10309.7
2014-02-12,10359.33
2014-02-14,10422.88
2014-02-19,10508.02
2014-02-21,10451.98
2014-02-26,10558.49
2014-02-28,10585.48
2014-03-05,10478.41
2014-03-07,10527.79
2014-03-12,10576.08
2014-03-14,10638.15
2014-03-19,10655.58
2014-03-21,10660.06
2014-03-26,10692.99
2014-03-28,10642.59
2014-03-31,10637.99
2014-04-02,10603.21
2014-04-04,10647.61
2014-04-10,10787.45
2014-04-11,10768.85
2014-04-16,10596.12
2014-04-18,10544.14
2014-04-23,10429.77
2014-04-25,10399.16
2014-04-30,10431.85
2014-05-05,10433.32
2014-05-07,10233.58
2014-05-09,9903.75
2014-05-14,9781.44
2014-05-16,9870.11
2014-05-21,10097.61
2014-05-23,10184.89
2014-05-28,10237.84
2014-05-30,10271.52
2014-05-31,10284.19
2014-06-04,10238.04
2014-06-06,10178.89
2014-06-11,10203.25
2014-06-13,10324.73
2014-06-18,10377.57
2014-06-20,10348.43
2014-06-25,10407.6
2014-06-27,10575.25
2014-06-30,10580.6
2014-07-02,10625.33
2014-07-04,10808.69
2014-07-09,10778.93
2014-07-11,10717.3
2014-07-16,10920.44
2014-07-18,10969.55
2014-07-23,11035.59
2014-07-25,11135.98
2014-07-30,10946.4
2014-07-31,11024.8
2014-08-06,11170.48
2014-08-08,11211.81
2014-08-13,11176.67
2014-08-15,11353.4
2014-08-20,11382.54
2014-08-22,11438.27
2014-08-27,11701.64
2014-08-29,11758.44
2014-08-31,11770.61
2014-09-03,11770.54
2014-09-05,11747.64
2014-09-10,11763.78
2014-09-12,11846.96
2014-09-17,12011.18
2014-09-19,11748.37
2014-09-24,11748.19
2014-09-26,11806.42
2014-09-30,11722.99
2014-10-03,11885.28
2014-10-08,11947.49
2014-10-10,12002.8
2014-10-15,11820.93
2014-10-17,11543.47
2014-10-22,11620.89
2014-10-24,11605.03
2014-10-29,11386.14
2014-10-31,11511.69
2014-11-05,11699.97
2014-11-07,11661.8
2014-11-12,11680.31
2014-11-14,11682.46
2014-11-19,11625.64
2014-11-21,11555.63
2014-11-26,11451.83
2014-11-28,11291.21
2014-11-30,11190.76
2014-12-03,11255.19
2014-12-05,11376.88
2014-12-10,10923.45
2014-12-12,11017.25
2014-12-17,10829.19
2014-12-19,10721.61
2014-12-24,10833.69
2014-12-26,10820.55
2014-12-30,10786.18
2014-12-31,10943.38
2015-01-07,10886.83
2015-01-09,10900.33
2015-01-14,11059.33
2015-01-16,11102.56
2015-01-21,11052.48
2015-01-23,11045.51
2015-01-28,11107.1
2015-01-30,11164.81
2015-01-31,11078.58
2015-02-04,10928.93
2015-02-06,11005.79
2015-02-11,11026.68
2015-02-13,11165.7
2015-02-25,11172.75
2015-02-27,11169.41
2015-02-28,11132
2015-03-04,11227.63
2015-03-06,11319.71
2015-03-11,11292.22
2015-03-13,11253.16
2015-03-18,11200.8
2015-03-20,11149.41
2015-03-25,10998.98
2015-03-27,10991.41
2015-03-31,10914.61
2015-04-03,10960.88
2015-04-08,11070.24
2015-04-10,11101.35
2015-04-15,11096.2
2015-04-17,11220.5
2015-04-22,11275.14
2015-04-24,11295.73
2015-04-30,11224.46
2015-05-04,11223.67
2015-05-06,11045.36
2015-05-08,11058.83
2015-05-13,10891.54
2015-05-15,10989.9
2015-05-20,10880.58
2015-05-22,11102
2015-05-27,11143.07
2015-05-29,11185.31
2015-05-31,11166.3
2015-06-03,11143.02
2015-06-05,11219.27
2015-06-10,11278.99
2015-06-12,11336.55
2015-06-17,11302.59
2015-06-19,11324.18
2015-06-24,11485.45
2015-06-26,11418.82
2015-06-30,11465.95
2015-07-03,11577.9
2015-07-08,11707.63
2015-07-10,11648.86
2015-07-15,11753.63
2015-07-17,11682.14
2015-07-22,11688.01
2015-07-24,11894.34
2015-07-29,12049.04
2015-07-31,11961.61
2015-08-05,11723.19
2015-08-07,11828.41
2015-08-12,12053.68
2015-08-14,11898.05
2015-08-19,11875.92
2015-08-21,11791.14
2015-08-26,11261.25
2015-08-28,11590.7
2015-08-31,11629.06
2015-09-03,11609.56
2015-09-04,11509.14
2015-09-09,11573.67
2015-09-11,11681.81
2015-09-16,11598.31
2015-09-18,11632.21
2015-09-23,11829.03
2015-09-25,11851
2015-09-30,11842.08
2015-10-02,11942.97
2015-10-07,12281.79
2015-10-09,12298.42
2015-10-14,12320.09
2015-10-16,12485.71
2015-10-21,12596.29
2015-10-23,12705.67
2015-10-28,12790.41
2015-10-30,12911.34
2015-10-31,12886.75
2015-11-04,12895.17
2015-11-06,12941.91
2015-11-11,12904.06
2015-11-13,13062.04
2015-11-18,13147.94
2015-11-20,13133.09
2015-11-25,12947.81
2015-11-27,12912.9
2015-11-30,12797.48
2015-12-02,12807.86
2015-12-04,12866.32
2015-12-09,12985.35
2015-12-11,12783.03
2015-12-16,12939.73
2015-12-18,13124.62
2015-12-23,12905.05
2015-12-25,12876.75
2015-12-30,12950.35
2015-12-31,13059.92
2016-01-06,12911.68
2016-01-13,12744.24
2016-01-20,12444.05
2016-01-27,12468.77
2016-01-31,12677.02
2016-02-03,12532.39
2016-02-15,12757.4
2016-02-17,12953.03
2016-02-24,13289.1
2016-02-29,13244.3
2016-03-02,13352.84
2016-03-09,13567.73
2016-03-16,13636.96
2016-03-23,13640.35
2016-03-30,13773.99
2016-03-31,13555.64
2016-04-06,13562.98
2016-04-13,13970.4
2016-04-20,13687.31
2016-04-27,13848.89
2016-04-30,13800.11
2016-05-04,13799.26
2016-05-11,13780.22
2016-05-18,14007.57
2016-05-25,13998.07
2016-05-31,14114.87
2016-06-08,14247.38
2016-06-15,14318.46
2016-06-22,14614.31
2016-06-29,14748
2016-06-30,14907.32
2016-07-06,15084.39
2016-07-13,15177.66
2016-07-20,15157.64
2016-07-27,15043.69
2016-07-31,15138.98
2016-08-03,14893.81
2016-08-10,15027.41
2016-08-17,15425.25
2016-08-24,15506.48
2016-08-30,15630.43
2016-08-31,15775.4
2016-09-07,15739.97
2016-09-14,15665.64
2016-09-21,15621.37
2016-09-28,15861.55
2016-09-30,15901.44
2016-10-05,15800.72
2016-10-12,15730.83
2016-10-19,15756.07
2016-10-26,15502.18
2016-10-31,15523.1
2016-11-02,15510.5
2016-11-09,15454.67
2016-11-16,15354.71
2016-11-23,15327.31
2016-11-30,15157.84
2016-12-07,15048.39
2016-12-14,14807.87
2016-12-21,14919.94
2016-12-28,14878.28
2016-12-31,15078.23
2017-01-04,15138.95
2017-01-11,15239.63
2017-01-18,15371.02
2017-01-25,15398.37
2017-01-31,15449.47
2017-02-02,15449.47
2017-02-08,15686.25
2017-02-15,15991.48
2017-02-22,16132.48
2017-02-28,16038.88
2017-03-08,16136.49
2017-03-15,16121.84
2017-03-22,16408.2
2017-03-29,16417.21
2017-03-31,16542.21
2017-04-05,16563.62
2017-04-12,16591.67
2017-04-19,16327.31
2017-04-26,16317.45
2017-04-30,16684.75
2017-05-03,16684.65
2017-05-10,16795.36
2017-05-17,16990.97
2017-05-24,17300.26
2017-05-31,17445.34
2017-06-07,17718.29
2017-06-14,17853.69
2017-06-21,18104.57
2017-06-28,18170.05
2017-06-30,18259.31
2017-07-05,18271.71
2017-07-12,18062.4
2017-07-19,17803.31
2017-07-26,17782.99
2017-07-31,18109.14
2017-08-02,18079.94
2017-08-09,17975.33
2017-08-16,17923.37
2017-08-23,17770.27
2017-08-30,17849.05
2017-08-31,17891.29
2017-09-06,17948.55
2017-09-13,17752.37
2017-09-20,17880.59
2017-09-27,18041.53
2017-09-30,18063.01
2017-10-04,17941.08
2017-10-11,18043.45
2017-10-18,18155.38
2017-10-25,17881.9
2017-11-01,17790.29
2017-11-08,17896.25
2017-11-15,18318.97
2017-11-22,18631.88
2017-11-29,18805.75
2017-11-30,19032.1
2017-12-06,19245.93
2017-12-13,18966.46
2017-12-20,19346
2017-12-27,19543.08
2017-12-31,19801.28
2018-01-03,19945.97
2018-01-10,20266.79
2018-01-17,20385.78
2018-01-24,20338.79
2018-01-31,20545.95
2018-01-31,20367.89
2018-02-07,19163.44
2018-02-14,20072.89
2018-02-21,20072.22
2018-02-28,20461.16
2018-02-28,20538.71
2018-03-07,20771.88
2018-03-14,21079.59
2018-03-21,21133.94
2018-03-28,21070.24
2018-03-31,20951.79
2018-04-04,20970.26
2018-04-11,20993.5
2018-04-18,20571.83
2018-04-26,19685.92
2018-04-30,19609.57
2018-05-02,19609.58
2018-05-09,19669.27
2018-05-16,19758.04
2018-05-23,19130.96
2018-05-30,18893.88
2018-05-31,18991.07
2018-06-06,19491.62
2018-06-13,19446.17
2018-06-20,18856.37
2018-06-27,19176.31
2018-06-30,18864.28
2018-07-04,18164.55
2018-07-11,18207.32
2018-07-18,18472.48
2018-07-25,18719.05
2018-07-31,18970.86
2018-08-08,18775.47
2018-08-15,19172.8
2018-08-22,19189.65
2018-08-29,19389.42
2018-08-31,19513.92
2018-09-05,19375.73
2018-09-12,19504.98
2018-09-19,19861.27
2018-09-26,20174.7
2018-09-30,20324.78
2018-10-03,20366.24
2018-10-10,20355.82
2018-10-17,19774.88
2018-10-24,19222.38
2018-10-31,18723.35
2018-10-31,19015.44
2018-11-07,19150.98
2018-11-14,18903.5
2018-11-21,19119.15
2018-11-28,19133.99
2018-11-30,19203.18
2018-12-05,19666.61
2018-12-12,19600.74
2018-12-19,19256.02
2018-12-26,18752.35
2018-12-31,18956.52
2019-01-02,18956.63
2019-01-09,18754.23
2019-01-16,19039.09
2019-01-23,19028.42
2019-01-30,19155.36
2019-01-31,19220.93
2019-02-06,19223.96
2019-02-11,19224.22
2019-02-13,19485.58
2019-02-20,19670.48
2019-02-27,19877.86
2019-02-28,19720.89
2019-03-06,20002.42
2019-03-13,20155.94
2019-03-20,20109
2019-03-27,19785.29
2019-03-31,19870.64
2019-04-03,19856.89
2019-04-10,19888.46
2019-04-17,19843.53
2019-04-24,19558.88
2019-04-30,19802.18
2019-05-02,19802.29
2019-05-08,19613.13
2019-05-15,19783.37
2019-05-22,19884.33
2019-05-29,19892.98
2019-05-31,19589.05
2019-06-05,19354.59
2019-06-12,19587.38
2019-06-19,19265.19
2019-06-26,19412.54
2019-06-30,19454.11
2019-07-03,19548.35
2019-07-10,19660.09
2019-07-17,19795.22
2019-07-24,19971.42
2019-07-31,19614.97
2019-07-31,19760.23
2019-08-07,19490.11
2019-08-14,19887.28
2019-08-21,20129.14
2019-08-28,19933.69
2019-08-31,19997.37
2019-09-04,19935.67
2019-09-11,19690.02
2019-09-18,20140.93
2019-09-25,20197.62
2019-09-30,20303.25
2019-10-02,20332.67
2019-10-09,20158.01
2019-10-16,20261.47
2019-10-23,20136.34
2019-10-30,20289.39
2019-10-31,20243.88
2019-11-06,20422.68
2019-11-13,20441.92
2019-11-20,20275.1
2019-11-27,20004.44
2019-11-30,19800.35
2019-12-04,19597.37
2019-12-11,19745.91
2019-12-18,19692.05
2019-12-25,19631.3
2019-12-31,19717.74
2020-01-02,19718
2020-01-08,19772.7
2020-01-15,19782.5
2020-01-22,20051.61
2020-01-30,20125.83
2020-01-31,19316.81
2020-02-05,19080.25
2020-02-12,19302.4
2020-02-19,19559.41
2020-02-26,19217.92
2020-02-29,19065.96
2020-03-04,19234.88
2020-03-11,18385.2
2020-03-18,16986.8
2020-03-25,16152.25
2020-03-31,15912.72
2020-04-08,16781.37
2020-04-15,16967.83
2020-04-22,17032.57
2020-04-29,17241.11
2020-04-30,17281.1
2020-05-06,17218.86
2020-05-13,17730.66
2020-05-20,17828.01
2020-05-27,18037.22
2020-05-31,17916.74
2020-06-03,18032.17
2020-06-10,18338.95
2020-06-17,17989.17
2020-06-24,18145.45
2020-07-01,17903.46
2020-07-08,18174.87
2020-07-15,18240.91
2020-07-22,18256.24
2020-07-29,17849.66
2020-07-31,17731.44
2020-08-05,18013.45
2020-08-12,18181.94
2020-08-19,18365.4
2020-08-26,18695.94
2020-08-31,18780.15
2020-09-03,18853.27
2020-09-09,18762.97
2020-09-16,18947.23
2020-09-23,19154.96
2020-09-30,19199.57
2020-09-30,19249.46
2020-10-07,19419.82
2020-10-14,19385.61
2020-10-21,19549.39
2020-10-28,19499.41
2020-10-31,19365.86
2020-11-04,19491.26
2020-11-11,19698.01
2020-11-18,19994.77
2020-11-25,20269.66
2020-11-30,20360.9
2020-12-02,20423.18
2020-12-09,20665.63
2020-12-16,20844.36
2020-12-23,21086.69
2020-12-30,21270.1
2020-12-31,21343.97
2021-01-06,21743.76
2021-01-13,22352.36
2021-01-20,21567.52
2021-01-27,21777.16
2021-01-31,21075.9
2021-02-03,21139.8
2021-02-10,21767.4
2021-02-17,21757.77
2021-02-24,22482.61
2021-02-28,22530.67
2021-03-03,22727.65
2021-03-10,22575.47
2021-03-17,22916.12
2021-03-24,22912.13
2021-03-31,22733.71
2021-03-31,22817.1
2021-04-07,23288.19
2021-04-15,23202.33
2021-04-22,23373.09
2021-04-28,22881.47
2021-04-30,23076.53
2021-05-05,23102.73
2021-05-12,23448.32
2021-05-19,23453.19
2021-05-26,24299.25
2021-05-31,24639.79
2021-06-02,24810.04
2021-06-09,24494.64
2021-06-16,25150.16
2021-06-23,25420.37
2021-06-30,25580.74
2021-06-30,25559.08
2021-07-07,24924.95
2021-07-14,24704.38
2021-07-21,24497.12
2021-07-28,24761.92
2021-08-04,25323.65
2021-08-11,25663.42
2021-08-18,25596.59
2021-08-25,24813.34
2021-09-01,25301.49
2021-09-08,25416.51
2021-09-15,25517.03
2021-09-22,25617.56
2021-09-29,25794.88
2021-10-06,26008.52
2021-10-13,26603.65
2021-10-20,26547.13
2021-10-27,26483.48
2021-11-03,27025.85
2021-11-10,27147.03
2021-11-17,27193.79
2021-11-24,26994.41
2021-12-01,26992.98
2021-12-08,26606.81
2021-12-15,26806.22
2021-12-22,26727.23
2021-12-29,26716.61
2022-01-05,27079.43
2022-01-12,26641.26
2022-01-19,26420.75
2022-01-26,26761.74
2022-02-07,27019.65
2022-02-09,27251.25
2022-02-16,27205.01
2022-02-23,27421.4
2022-03-02,27379.29
2022-03-09,26960.73
2022-03-16,26794.7
2022-03-23,27444.14
2022-03-30,27921.64
2022-04-06,28297.48
2022-04-13,27639.51
2022-04-20,27595.21
2022-04-27,26468.59
2022-05-04,26802
2022-05-11,26102.36
2022-05-18,25541.8
2022-05-25,25508.83
2022-06-01,26610.38
2022-06-08,26893.87
2022-06-15,25833.14
2022-06-22,25154.39
2022-06-29,25910.14
2022-07-05,25615.94
2022-07-07,25025.21
2022-07-12,25031.96
2022-07-14,25316.86
2022-07-19,25297.38
2022-07-21,25513.44
2022-07-26,25403.27
2022-07-28,25384.62
2022-08-02,25961.23
2022-08-04,26163.03
2022-08-09,26144.05
2022-08-11,26217.22
2022-08-16,26494.64
2022-08-18,26502.1
2022-08-23,26403.11
2022-08-25,26604.09
2022-08-30,26605.16
2022-09-06,26672.26
