date,industry,weight_pct
2026-08-07,Ngân hàng,19.92
2026-08-07,Thực phẩm - Đồ uống,16.01
2026-08-07,Bất động sản,9.28
2026-08-07,Xây dựng,5.1
2026-08-07,Bán lẻ,4.54
2026-08-07,Công nghệ và thông tin,4.17
2026-08-07,Tiện ích,3.99
2026-08-07,Chứng khoán,3.27
2026-08-07,Vật liệu xây dựng,3.24
2026-08-07,Sản xuất Phụ trợ,2.59
2026-08-07,Vận tải - Kho bãi,2.44
2026-08-07,Bảo hiểm,1.89
2026-08-07,Bán buôn,1.13
2026-08-07,Khai khoáng,1.11
2026-08-07,Sản xuất Hàng gia dụng,1.02
2026-08-07,Sản xuất Nhựa - Hóa chất,0.75
2026-08-07,Chế biến thủy sản,0.5
2026-08-07,Thiết bị điện,0.49
