date,price
2024-06-28,10000
2024-07-05,10076.12
2024-07-08,10101.63
2024-07-09,10192.73
2024-07-10,10311.94
2024-07-11,10230.59
2024-07-12,10249.53
2024-07-15,10242.57
2024-07-16,10321.52
2024-07-17,10380.08
2024-07-18,10238.45
2024-07-19,10294.95
2024-07-22,10180.73
2024-07-23,10004.47
2024-07-24,9794.74
2024-07-25,9872.48
2024-07-26,9863.87
2024-07-29,9986.73
2024-07-30,10007.28
2024-07-31,9959.77
2024-08-01,9963.91
2024-08-02,9668.01
2024-08-05,9768.99
2024-08-06,9336.42
2024-08-07,9536.41
2024-08-08,9558.02
2024-08-09,9511.78
2024-08-12,9664.64
2024-08-13,9782.14
2024-08-14,9740.62
2024-08-15,9736.55
2024-08-16,9684.98
2024-08-19,9935.09
2024-08-20,10003.02
2024-08-21,10042.3
2024-08-22,10094.3
2024-08-23,10077.18
2024-08-26,10093.57
2024-08-27,10043.95
2024-08-28,10012.65
2024-08-29,10018.61
2024-08-30,10035.89
2024-09-04,10054.9
2024-09-05,10030.4
2024-09-06,9929.18
2024-09-09,9996.71
2024-09-10,9932.8
2024-09-11,9856.42
2024-09-12,9833.38
2024-09-13,9880.78
2024-09-16,9869.5
2024-09-17,9796.1
2024-09-18,9921.89
2024-09-19,10001.86
2024-09-20,10044.37
2024-09-23,10107.03
2024-09-24,10076.89
2024-09-25,10146.85
2024-09-26,10197.86
2024-09-27,10181.45
2024-09-30,10153.51
2024-10-01,10131.12
2024-10-02,10125.36
2024-10-03,10100.06
2024-10-04,10022.57
2024-10-07,9952.29
2024-10-08,9982.65
2024-10-09,10012.39
2024-10-10,10117.73
2024-10-11,10174.09
2024-10-14,10175.47
2024-10-15,10162
2024-10-16,10094.19
2024-10-17,10094.31
2024-10-18,10120.63
2024-10-21,10111.62
2024-10-22,10000.77
2024-10-23,9929.67
2024-10-24,9966.19
2024-10-25,9856.06
2024-10-28,9833.38
2024-10-29,9877.4
2024-10-30,9963.36
2024-10-31,9964.55
2024-11-01,10004.95
2024-11-04,9922.24
2024-11-05,9867.87
2024-11-06,9888.76
2024-11-07,10053.41
2024-11-08,10058.58
2024-11-11,10061.29
2024-11-12,10092.86
2024-11-13,10035.96
2024-11-14,10049.34
2024-11-15,9957.59
2024-11-18,9869.72
2024-11-19,9842.15
2024-11-20,9670.46
2024-11-21,9762.89
2024-11-22,9889.03
2024-11-25,9877.67
2024-11-26,9907.74
2024-11-27,9954.89
2024-11-28,9973.89
2024-11-29,9984.61
2024-12-02,10090.66
2024-12-03,10125.36
2024-12-04,10143.71
2024-12-05,10105.83
2024-12-06,10342.82
2024-12-09,10371.57
2024-12-10,10404.99
2024-12-11,10379.29
2024-12-12,10384.25
2024-12-13,10361.24
2024-12-16,10332.47
2024-12-17,10313.12
2024-12-18,10314.46
2024-12-19,10384.91
2024-12-20,10320.53
2024-12-23,10357.72
2024-12-24,10477.07
2024-12-25,10487.34
2024-12-26,10620.1
2024-12-27,10645.89
2024-12-30,10611.91
2024-12-31,10566.13
2025-01-02,10489.91
2025-01-03,10531.86
2025-01-06,10386.84
2025-01-07,10252.54
2025-01-08,10239.84
2025-01-09,10304.11
2025-01-10,10262.13
2025-01-13,10115.04
2025-01-14,10167.97
2025-01-15,10124.59
2025-01-16,10200.04
2025-01-17,10216.29
2025-01-20,10291.78
2025-01-21,10342.53
2025-01-22,10338.05
2025-01-23,10292.62
2025-01-24,10414.86
2025-02-03,10406.22
2025-02-04,10380.53
2025-02-05,10498.51
2025-02-06,10524.69
2025-02-07,10610.12
2025-02-10,10598.75
2025-02-11,10564.36
2025-02-12,10609.15
2025-02-13,10592.96
2025-02-14,10631.46
2025-02-17,10664.44
2025-02-18,10641.13
2025-02-19,10707.01
2025-02-20,10787.4
2025-02-21,10854.67
2025-02-24,10869.62
2025-02-25,10911.74
2025-02-26,10898.55
2025-02-27,10909.95
2025-02-28,10943.65
2025-03-03,10930.86
2025-03-04,10954.64
2025-03-05,10980.82
2025-03-06,10893.63
2025-03-07,11006.81
2025-03-10,11010.09
2025-03-11,10994.51
2025-03-12,10985.28
2025-03-13,10932.16
2025-03-14,10845.5
2025-03-17,10803.22
2025-03-18,10803.57
2025-03-19,10786.58
2025-03-20,10809.68
2025-03-21,10791.1
2025-03-24,10765.26
2025-03-25,10713.21
2025-03-26,10716.68
2025-03-27,10712.65
2025-03-28,10699.14
2025-03-31,10631.6
2025-04-01,10517.5
2025-04-02,10532.15
2025-04-03,10506.65
2025-04-04,9725.39
2025-04-08,9490.09
2025-04-09,8825.75
2025-04-10,8408.51
2025-04-11,9000.64
2025-04-14,9281.88
2025-04-15,9295.58
2025-04-16,9134.6
2025-04-17,9025.78
2025-04-18,9105.38
2025-04-21,9157.16
2025-04-22,9117.38
2025-04-23,9010.9
2025-04-24,9085.94
2025-04-25,9119.11
2025-04-28,9114.81
2025-04-29,9093.09
2025-05-05,9117.91
2025-05-06,9134.42
2025-05-07,9141.73
2025-05-08,9117.37
2025-05-09,9281.3
2025-05-12,9269.26
2025-05-13,9365.98
2025-05-14,9439.18
2025-05-15,9519.94
2025-05-16,9560.81
2025-05-19,9438.49
2025-05-20,9398.58
2025-05-21,9449.62
2025-05-22,9481.76
2025-05-23,9393.34
2025-05-26,9411.69
2025-05-27,9539.33
2025-05-28,9603.02
2025-05-29,9595.54
2025-05-30,9582.35
2025-06-02,9518.41
2025-06-03,9544.1
2025-06-04,9607.6
2025-06-05,9593.01
2025-06-06,9600.26
2025-06-09,9567.19
2025-06-10,9525.87
2025-06-11,9536.09
2025-06-12,9554.26
2025-06-13,9666.76
2025-06-16,9664.29
2025-06-17,9849.51
2025-06-18,9856.89
2025-06-19,9837.2
2025-06-20,9877.21
2025-06-23,9913.74
2025-06-24,9940.87
2025-06-25,9966.15
2025-06-26,9959.76
2025-06-27,9983.28
2025-06-30,9986.2
2025-07-01,10044.12
2025-07-02,10034.98
2025-07-03,10107.85
2025-07-04,10084.42
2025-07-07,10136.72
2025-07-08,10240.86
2025-07-09,10332.77
2025-07-10,10403.87
2025-07-11,10414.58
2025-07-14,10462.27
2025-07-15,10493.17
2025-07-16,10418.67
2025-07-17,10466.35
2025-07-18,10470.91
2025-07-21,10536.25
2025-07-22,10546.13
2025-07-23,10610.99
2025-07-24,10743.8
2025-07-25,10859.6
2025-07-28,10832.83
2025-07-29,10954.21
2025-07-30,10544.02
2025-07-31,10723.13
2025-08-01,10683.56
2025-08-04,10618.95
2025-08-05,10753.19
2025-08-06,10925.09
2025-08-07,11090.68
2025-08-08,11233.99
2025-08-11,11233.96
2025-08-12,11341.53
2025-08-13,11395.11
2025-08-14,11568.84
2025-08-15,11737.44
2025-08-18,11624.71
2025-08-19,11662.3
2025-08-20,11683.47
2025-08-21,11573.21
2025-08-22,11687.41
2025-08-25,11370.2
2025-08-26,11193.43
2025-08-27,11528.11
2025-08-28,11619.32
2025-08-29,11716.21
2025-09-03,11738.9
2025-09-04,11745.01
2025-09-05,11843.96
2025-09-08,11655.31
2025-09-09,11445.03
2025-09-10,11523.7
2025-09-11,11577.4
2025-09-12,11631.11
2025-09-15,11723.48
2025-09-16,11910.28
2025-09-17,11944.78
2025-09-18,11817.7
2025-09-19,11757.91
2025-09-22,11695.43
2025-09-23,11533.31
2025-09-24,11522.85
2025-09-25,11685.88
2025-09-26,11684.63
2025-09-29,11646.6
2025-09-30,11604.67
2025-10-01,11510.21
2025-10-02,11543.76
2025-10-03,11426.59
2025-10-06,11318.9
2025-10-07,11651.16
2025-10-08,11545.78
2025-10-09,11643.88
2025-10-10,11702.79
2025-10-13,11792.6
2025-10-14,11755.59
2025-10-15,11644.36
2025-10-16,11626.32
2025-10-17,11604.28
2025-10-20,11474
2025-10-21,10844.59
2025-10-22,11133
2025-10-23,11286.15
2025-10-24,11343.45
2025-10-27,11366.31
2025-10-28,11298.82
2025-10-29,11406.85
2025-10-30,11542.32
2025-10-31,11583.58
2025-11-03,11541.01
2025-11-04,11574.24
2025-11-05,11663.91
2025-11-06,11634.09
2025-11-07,11587.19
2025-11-10,11364.96
2025-11-11,11218.47
2025-11-12,11365.79
