date,stock_code,industry,weight_pct,asset_value,type_asset
2026-08-07,HDB,Ngân hàng,8.27,31340232000,STOCK
2026-08-07,PHR,Sản xuất Nhựa - Hóa chất,7.55,28604480000,STOCK
2026-08-07,HPG,Vật liệu xây dựng,6.6,25014935400,STOCK
2026-08-07,VCB,Ngân hàng,6.41,24301140000,STOCK
2026-08-07,MBB,Ngân hàng,6.39,24217020000,STOCK
2026-08-07,STB,Ngân hàng,4.67,17682400000,STOCK
2026-08-07,CTG,Ngân hàng,4.57,17307875200,STOCK
2026-08-07,DPR,Sản xuất Nhựa - Hóa chất,4.56,17290800000,STOCK
2026-08-07,PVI,Bảo hiểm,4.53,17169000000,STOCK
2026-08-07,REE,Thiết bị điện,3.65,13838260500,STOCK
