date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,BVH,Bảo hiểm,7.21,164461246000,STOCK
2026-07-01,MWG,Bán lẻ,6.32,144000990000,STOCK
2026-07-01,VCB,Ngân hàng,6.16,140328113000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,5.99,136667251000,STOCK
2026-07-01,CTG,Ngân hàng,5.9,134403808000,STOCK
2026-07-01,MBB,Ngân hàng,5.84,133132500000,STOCK
2026-07-01,FPT,Công nghệ và thông tin,4.36,99460988000,STOCK
2026-07-01,GMD,Vận tải - Kho bãi,4.0,91106400000,STOCK
2026-07-01,TCB,Ngân hàng,3.85,87694761000,STOCK
2026-07-01,ACB,Ngân hàng,3.81,86967966000,STOCK
