date,industry,weight_pct
2025-02-01,Ngân hàng,26.63
2025-02-01,Hạ tầng,7.79
2025-02-01,Bán lẻ,7.6000000000000005
2025-02-01,Bảo hiểm,7.54
2025-02-01,BĐS,7.129999999999999
2025-02-01,Dầu khí,6.699999999999999
2025-02-01,Thực phẩm,6.66
2025-02-01,Công nghệ,6.49
2025-02-01,Viễn thông,4.59
2025-02-01,Vật liệu,4.16
2025-02-01,Tiêu dùng,2.9
2025-02-01,Dịch vụ,1.82
2025-02-01,Xây dựng,1.67
2025-02-01,Tiện ích,1.28
2025-02-01,Chứng khoán,0.51
2025-03-01,Ngân hàng,38.620000000000005
2025-03-01,Bảo hiểm,7.29
2025-03-01,Hạ tầng,6.359999999999999
2025-03-01,Bán lẻ,6.26
2025-03-01,Thực phẩm,5.12
2025-03-01,Dầu khí,5.08
2025-03-01,BĐS,4.42
2025-03-01,Viễn thông,4.26
2025-03-01,Chứng khoán,3.0300000000000002
2025-03-01,Công nghệ,2.91
2025-03-01,Vật liệu,2.86
2025-03-01,Tiêu dùng,2.0
2025-03-01,Dịch vụ,1.93
2025-03-01,Xây dựng,1.84
2025-03-01,Tiện ích,1.13
2025-04-01,Ngân hàng,36.900000000000006
2025-04-01,Vật liệu,8.58
2025-04-01,Bảo hiểm,6.23
2025-04-01,Hạ tầng,5.84
2025-04-01,Bán lẻ,5.82
2025-04-01,Dầu khí,5.279999999999999
2025-04-01,Viễn thông,5.05
2025-04-01,Chứng khoán,4.949999999999999
2025-04-01,Công nghệ,3.96
2025-04-01,BĐS,3.51
2025-04-01,Xây dựng,2.69
2025-04-01,Thực phẩm,2.28
2025-04-01,Dịch vụ,2.17
2025-05-01,Ngân hàng,33.75
2025-05-01,Vật liệu,8.18
2025-05-01,Hạ tầng,5.800000000000001
2025-05-01,Bảo hiểm,5.77
2025-05-01,Bán lẻ,5.67
2025-05-01,Viễn thông,4.85
2025-05-01,Dầu khí,4.65
2025-05-01,Chứng khoán,4.07
2025-05-01,Công nghệ,3.89
2025-05-01,BĐS,3.46
2025-05-01,Xây dựng,2.45
2025-05-01,Dịch vụ,2.19
2025-05-01,Thực phẩm,2.1
2025-06-01,Ngân hàng,32.65
2025-06-01,Vật liệu,9.68
2025-06-01,Bảo hiểm,6.33
2025-06-01,Bán lẻ,6.2299999999999995
2025-06-01,Hạ tầng,6.220000000000001
2025-06-01,Viễn thông,5.02
2025-06-01,BĐS,4.21
2025-06-01,Chứng khoán,4.17
2025-06-01,Công nghệ,4.13
2025-06-01,Dầu khí,3.8
2025-06-01,Dịch vụ,2.32
2025-06-01,Thực phẩm,2.2
2025-06-01,Xây dựng,1.8599999999999999
2025-06-01,Ô tô,0.75
2025-07-01,Ngân hàng,34.64
2025-07-01,Vật liệu,10.35
2025-07-01,Chứng khoán,5.79
2025-07-01,Bảo hiểm,5.24
2025-07-01,Hạ tầng,5.05
2025-07-01,Viễn thông,5.01
2025-07-01,BĐS,4.71
2025-07-01,Bán lẻ,4.56
2025-07-01,Công nghệ,4.19
2025-07-01,Dầu khí,2.96
2025-07-01,Dịch vụ,2.41
2025-07-01,Ô tô,2.2
2025-07-01,Thực phẩm,1.51
2025-07-01,Xây dựng,0.97
2025-08-01,Ngân hàng,29.79
2025-08-01,Vật liệu,11.620000000000001
2025-08-01,Chứng khoán,7.09
2025-08-01,BĐS,6.84
