date,price
2013-04-01,10000
2013-04-08,10004
2013-04-15,10003
2013-04-22,10000
2013-04-29,9999
2013-04-30,9998
2013-05-06,9997
2013-05-13,9993
2013-05-20,10027
2013-05-27,10042
2013-05-31,10195
2013-06-03,10197
2013-06-10,10194
2013-06-17,10198
2013-06-24,10203
2013-06-30,10206
2013-07-01,10207
2013-07-08,10211
2013-07-15,10218
2013-07-22,10222
2013-07-29,10227
2013-07-31,10228
2013-08-05,10232
2013-08-12,10235
2013-08-19,10242
2013-08-26,10250
2013-08-31,10255
2013-09-02,10257
2013-09-09,10263
2013-09-16,10270
2013-09-23,10275
2013-09-30,10281
2013-10-07,10287
2013-10-14,10293
2013-10-21,10299
2013-10-28,10304
2013-10-31,10307
2013-11-04,10310
2013-11-11,10313
2013-11-18,10316
2013-11-25,10325
2013-11-30,10342
2013-12-02,10341
2013-12-09,10361
2013-12-16,10353
2013-12-23,10452
2013-12-30,10470
2013-12-31,10471
2014-01-06,10478
2014-01-13,10149
2014-01-20,10494
2014-01-27,10515
2014-01-31,10520
2014-02-03,10524
2014-02-10,10522
2014-02-17,10545
2014-02-24,10618
2014-02-28,10614
2014-03-03,10618
2014-03-10,10662
2014-03-17,10683
2014-03-24,10692
2014-03-31,10715
2014-04-07,10798
2014-04-14,10778
2014-04-21,10610
2014-04-28,10727
2014-04-30,10741
2014-05-05,10455
2014-05-12,10337
2014-05-19,10688
2014-05-26,10740
2014-05-31,10779
2014-06-02,10766
2014-06-09,10761
2014-06-16,10790
2014-06-23,10833
2014-06-30,10881
2014-07-07,10898
2014-07-14,11000
2014-07-21,11065
2014-07-31,11139
2014-08-04,11182
2014-08-11,11191
2014-08-18,11297
2014-08-25,11436
2014-08-31,11440
2014-09-01,11440
2014-09-08,11476
2014-09-15,11645
2014-09-22,11702
2014-09-29,11743
2014-09-30,11722
2014-10-06,11886
2014-10-13,11859
2014-10-20,11829
2014-10-27,11821
2014-10-31,11853
2014-11-03,11868
2014-11-10,11815
2014-11-17,11765
2014-11-24,11766
2014-11-30,11591
2014-12-01,11576
2014-12-08,11378
2014-12-15,11522
2014-12-22,11398
2014-12-29,11370
2014-12-31,11396
2015-01-05,11403
2015-01-12,11432
2015-01-19,11454
2015-01-26,11583
2015-01-31,11685
2015-02-02,11698
2015-02-09,11724
2015-02-16,11729
2015-02-23,11667
2015-02-28,11507
2015-03-02,11725
2015-03-09,11730
2015-03-16,11734
2015-03-23,11728
2015-03-30,11757
2015-03-31,11768
2015-04-06,11783
2015-04-13,11793
2015-04-20,11741
2015-04-27,11683
2015-04-30,11687
2015-05-04,11672
2015-05-11,11670
2015-05-18,11686
2015-05-25,11592
2015-05-31,11598
2015-06-01,11605
2015-06-08,11627
2015-06-15,11620
2015-06-22,11675
2015-06-29,11729
2015-06-30,11725
2015-07-06,11750
2015-07-13,11748
2015-07-20,11817
2015-07-27,11868
2015-07-31,11853
2015-08-03,11856
2015-08-10,11851
2015-08-17,11791
2015-08-24,11797
2015-08-31,11861
2015-09-07,11844
2015-09-14,11880
2015-09-21,11900
2015-09-28,11922
2015-09-30,11915
2015-10-05,11935
2015-10-12,11946
2015-10-19,12029
2015-10-26,12047
2015-10-31,12052
2015-11-02,12058
2015-11-09,12099
2015-11-16,12109
2015-11-23,12093
2015-11-30,12109
2015-12-07,12110
2015-12-14,12132
2015-12-21,12154
2015-12-28,12167
2015-12-31,12160
2016-01-04,12130
2016-01-11,12113
2016-01-18,12112
2016-01-25,12122
2016-01-31,12102
2016-02-01,12116
2016-02-08,12157
2016-02-15,12179
2016-02-22,12300
2016-02-29,12308
2016-03-07,12336
2016-03-14,12336
2016-03-21,12336
2016-03-28,12374
2016-03-31,12383
2016-04-04,12388
2016-04-11,12476
2016-04-18,12476
2016-04-25,12472
2016-04-30,12481
2016-05-02,12485
2016-05-09,12505
2016-05-16,12541
2016-05-23,12565
2016-05-30,12592
2016-05-31,12597
2016-06-06,12592
2016-06-13,12653
2016-06-20,12692
2016-06-27,12718
2016-06-30,12748
2016-07-04,12763
2016-07-11,12769
2016-07-18,12783
2016-07-25,12802
2016-07-31,12854
2016-08-01,12838
2016-08-08,12839
2016-08-15,12971
2016-08-22,12979
2016-08-29,13024
2016-08-31,13074
2016-09-05,13091
2016-09-12,13121
2016-09-19,13170
2016-09-26,13226
2016-09-30,13293
2016-10-03,13279
2016-10-10,13296
2016-10-17,13297
2016-10-24,13258
2016-10-31,13278
2016-11-07,13270
2016-11-14,13327
2016-11-21,13295
2016-11-28,13286
2016-11-30,13303
2016-12-05,13291
2016-12-12,13244
2016-12-19,13236
2016-12-26,13246
2016-12-30,13247
2016-12-31,13251
2017-01-10,13284
2017-01-17,13294
2017-01-24,13341
2017-01-31,13357
2017-01-31,13359
2017-02-07,13387
2017-02-14,13437
2017-02-21,13433
2017-02-28,13470
2017-02-28,13472
2017-03-07,13482
2017-03-14,13487
2017-03-21,13524
2017-03-28,13560
2017-03-31,13548
2017-04-04,13561
2017-04-11,13572
2017-04-18,13562
2017-04-25,13579
2017-04-30,13606
2017-05-02,13608
2017-05-09,13605
2017-05-16,13635
2017-05-23,13739
2017-05-30,13774
2017-05-31,13778
2017-06-06,13802
2017-06-13,13817
2017-06-20,13856
2017-06-27,13890
2017-06-30,13895
2017-07-04,13944
2017-07-11,13999
2017-07-18,14002
2017-07-25,14093
2017-07-31,14107
2017-08-08,14110
2017-08-15,14112
2017-08-22,14130
2017-08-29,14109
2017-08-31,14129
2017-09-05,14140
2017-09-12,14154
2017-09-19,14200
2017-09-26,14216
2017-09-30,14221
2017-10-03,14211
2017-10-10,14232
2017-10-17,14263
2017-10-24,14255
2017-10-31,14276
2017-10-31,14270
2017-11-07,14323
2017-11-14,14334
2017-11-21,14321
2017-11-28,14367
2017-11-30,14391
2017-12-05,14402
2017-12-12,14395
2017-12-19,14494
2017-12-26,14532
2017-12-30,14560
2017-12-31,14565
2018-01-09,14632
2018-01-16,14718
2018-01-23,14743
2018-01-30,14870
2018-01-31,14912
2018-02-06,14866
2018-02-13,14870
2018-02-20,14926
2018-02-27,14976
2018-02-28,15029
2018-03-06,15002
2018-03-13,15073
2018-03-20,15104
2018-03-27,15111
2018-03-31,15122
2018-04-03,15166
2018-04-10,15172
2018-04-17,15125
2018-04-24,15033
2018-04-30,14968
2018-05-08,15029
2018-05-15,15111
2018-05-22,15113
2018-05-29,14997
2018-05-31,15090
2018-06-05,15115
2018-06-12,15282
2018-06-19,15164
2018-06-26,15192
2018-06-30,15103
2018-07-03,15072
2018-07-10,15050
2018-07-17,15023
2018-07-24,15093
2018-07-31,15091
2018-07-31,15120
2018-08-07,15088
2018-08-14,15106
2018-08-21,15093
2018-08-28,15085
2018-08-31,15122
2018-09-11,15156
2018-09-18,15193
2018-09-25,15253
2018-10-02,15293
2018-10-09,15276
2018-10-16,15278
2018-10-23,15313
2018-10-30,15318
2018-11-01,15358
2018-11-06,15370
2018-11-13,15390
2018-11-20,15419
2018-11-27,15434
2018-11-30,15447
2018-12-04,15473
2018-12-11,15482
2018-12-18,15536
2018-12-25,15558
2018-12-31,15553
2019-01-08,15577
2019-01-15,15596
2019-01-22,15714
2019-01-29,15738
2019-01-31,15755
2019-02-05,15752
2019-02-12,15775
2019-02-19,15802
2019-02-26,15806
2019-03-01,15826
2019-03-05,15833
2019-03-12,15849
2019-03-19,15866
2019-03-26,15872
2019-04-02,15876
2019-04-09,15927
2019-04-16,15931
2019-04-23,15971
2019-04-30,15987
2019-05-07,16008
2019-05-14,15978
2019-05-21,16005
2019-05-28,16057
2019-06-04,16057
2019-06-11,16113
2019-06-18,16135
2019-06-25,16161
2019-07-02,16209
2019-07-09,16250
2019-07-16,16277
2019-07-23,16321
2019-07-30,16345
2019-08-06,16353
2019-08-13,16387
2019-08-20,16399
2019-08-27,16421
2019-09-03,16432
2019-09-10,16462
2019-09-17,16480
2019-09-24,16502
2019-09-30,16519
2019-10-08,16536
2019-10-15,16564
2019-10-22,16588
2019-10-29,16607
2019-10-31,16634
2019-11-05,16642
2019-11-12,16649
2019-11-19,16671
2019-11-26,16679
2019-12-03,16692
2019-12-10,16724.11
2019-12-17,16752.98
