date,stock_code,industry,weight_pct,asset_value,type_asset
2026-01-01,MSN123008,,9.84,145402223904,BOND
2026-01-01,HDB124006,,8.55,126425253750,BOND
2026-01-01,MSN123010,,8.15,120540132000,BOND
2026-01-01,SHB125010,,7.29,107823629000,BOND
2026-01-01,DSE125018,,6.77,100065403000,BOND
2026-01-01,MML121021,,6.28,92779962445,BOND
2026-01-01,BCM12406,,3.38,50000000000,BOND
2026-01-01,DSE125004,,3.04,45000083700,BOND
2026-01-01,HDC12501,,2.5,37000000000,BOND
2026-01-01,KBC12401,,1.69,25000000000,BOND
2026-01-01,NLG12501,,1.69,25000000000,BOND
2026-01-01,VPI124001,,0.88,13048772360,BOND
2026-01-01,VCK125005,,0.66,9799952100,BOND
2026-01-01,SBT12401,,0.3,4507977420,BOND
2026-01-01,BAF123020,,0.14,2043530200,BOND
2026-01-01,VBA121033,,0.03,385292032,BOND
2026-01-01,CASH,,38.79,573411090861,CASH
2026-02-01,MSN123008,,10.2,145402223904,BOND
2026-02-01,HDB124006,,8.87,126425253750,BOND
2026-02-01,MSN123010,,8.45,120540132000,BOND
2026-02-01,SHB125010,,7.56,107823629000,BOND
2026-02-01,DSE125018,,7.01,100000248000,BOND
2026-02-01,MML121021,,6.51,92779962445,BOND
2026-02-01,BCM12406,,3.51,50000000000,BOND
2026-02-01,DSE125004,,3.16,45000083700,BOND
2026-02-01,HDC12501,,2.6,37000000000,BOND
2026-02-01,KBC12401,,1.75,25000000000,BOND
2026-02-01,NLG12501,,1.75,25000000000,BOND
2026-02-01,VCK125005,,0.69,9799952100,BOND
2026-02-01,SBT12401,,0.32,4507977420,BOND
2026-02-01,BAF123020,,0.14,2043530200,BOND
2026-02-01,VBA121033,,0.03,385292032,BOND
2026-02-01,CASH,,37.46,534076012205,CASH
2026-03-01,MSN123008,,10.84,145402223904,BOND
2026-03-01,MSN123010,,8.99,120540132000,BOND
2026-03-01,SHB125010,,8.04,107823629000,BOND
2026-03-01,DSE125018,,7.46,100095199000,BOND
2026-03-01,BAF126003,,7.39,99097513581,BOND
2026-03-01,MML121021,,6.92,92779962445,BOND
2026-03-01,VCK125005,,5.48,73499815500,BOND
2026-03-01,BCM12406,,3.73,50000000000,BOND
2026-03-01,DSE125004,,3.36,45000083700,BOND
2026-03-01,HDC12501,,2.76,37000000000,BOND
2026-03-01,KBC12401,,1.86,25000000000,BOND
2026-03-01,NLG12501,,1.86,25000000000,BOND
2026-03-01,SBT12401,,0.34,4507977420,BOND
2026-03-01,BAF123020,,0.15,2043530200,BOND
2026-03-01,VBA121033,,0.03,385292032,BOND
2026-03-01,CASH,,30.79,412873322867,CASH
2026-04-01,BAF126003,,11.45,147267971088,BOND
2026-04-01,MSN123008,,11.3,145402223904,BOND
2026-04-01,MSN123010,,9.37,120540132000,BOND
2026-04-01,SHB125010,,8.38,107823629000,BOND
2026-04-01,DSE125018,,7.77,100000248000,BOND
2026-04-01,MML121021,,7.21,92779962445,BOND
2026-04-01,BCM12406,,3.89,50000000000,BOND
2026-04-01,DSE125004,,3.5,45000083700,BOND
2026-04-01,HDC12501,,2.88,37000000000,BOND
2026-04-01,KBC12401,,1.94,25000000000,BOND
2026-04-01,NLG12501,,1.94,25000000000,BOND
2026-04-01,SBT12401,,0.35,4507977420,BOND
2026-04-01,BAF123020,,0.16,2043530200,BOND
2026-04-01,VBA121033,,0.03,385292032,BOND
2026-04-01,CASH,,29.839999999999996,383825401651,CASH
2026-05-01,BAF126003,,11.59,147069715599,BOND
2026-05-01,MSN123008,,11.46,145402223904,BOND
2026-05-01,MSN123010,,9.5,120540132000,BOND
2026-05-01,SHB125010,,8.5,107823629000,BOND
2026-05-01,DSE125018,,7.89,100094969000,BOND
2026-05-01,MML121021,,7.32,92858984730,BOND
2026-05-01,BCM12406,,3.94,50000000000,BOND
2026-05-01,DSE125004,,3.55,45027749250,BOND
2026-05-01,HDC12501,,2.92,37000000000,BOND
2026-05-01,KBC12401,,1.97,25000000000,BOND
2026-05-01,NLG12501,,1.97,25000000000,BOND
2026-05-01,SBT12401,,0.35,4500000000,BOND
2026-05-01,BAF123020,,0.16,2043530200,BOND
2026-05-01,VBA121033,,0.03,385292032,BOND
2026-05-01,CASH,,28.83,365828235762,CASH
2026-06-01,BAF126003,,11.82,147332106981,BOND
2026-06-01,MSN123010,,9.67,120540132000,BOND
2026-06-01,MSN123008,,9.23,115089043104,BOND
2026-06-01,SHB125010,,8.65,107823629000,BOND
2026-06-01,DSE125018,,8.03,100101062000,BOND
2026-06-01,BOND,,8.02,100000000000,BOND
2026-06-01,MML121021,,4.21,52538434045,BOND
2026-06-01,BCM12406,,4.0,49921575000,BOND
2026-06-01,DSE125004,,3.61,45066659400,BOND
2026-06-01,HDC12501,,2.97,37000000000,BOND
2026-06-01,HDC425001,,2.95,36772549113,BOND
2026-06-01,CII250641,,2.44,30400000000,BOND
2026-06-01,KBC12401,,2.01,25020880250,BOND
2026-06-01,NLG12501,,2.0,24949597750,BOND
2026-06-01,SBT12401,,0.36,4500000000,BOND
2026-06-01,BAF123020,,0.16,2000000000,BOND
2026-06-01,VBA121033,,0.03,385292032,BOND
2026-06-01,CASH,,19.83,247232327071,CASH
2026-07-01,BAF126003,,11.99,147381758865,BOND
2026-07-01,MSN123010,,9.81,120540132000,BOND
2026-07-01,MSN123008,,9.36,115089043104,BOND
2026-07-01,SHB125010,,8.77,107823629000,BOND
2026-07-01,KBC12401,,8.55,105099117900,BOND
2026-07-01,DSE125018,,8.14,100042295000,BOND
