date,price
2019-07-02,10000
2019-07-11,9993
2019-07-18,9983
2019-07-25,10055
2019-07-31,10006
2019-08-08,10003
2019-08-15,10060
2019-08-22,10103
2019-08-29,10034
2019-08-31,10076
2019-09-05,10070
2019-09-12,10045
2019-09-19,10132
2019-09-26,10136
2019-09-30,10157
2019-10-03,10159
2019-10-10,10169
2019-10-17,10233
2019-10-24,10194
2019-10-30,10242
2019-10-31,10228
2019-11-07,10305
2019-11-14,10286
2019-11-21,10219
2019-11-28,10125
2019-12-05,10039
2019-12-12,10026.75
2019-12-19,9919.84
2019-12-26,9991.56
2020-01-02,9994.87
2020-01-09,9906.43
2020-01-16,10009.69
2020-01-30,10132.43
2020-02-06,9819.41
2020-02-13,9940.44
2020-02-20,10004.56
2020-02-27,9843.13
2020-03-05,9842.67
2020-03-12,9400.7
2020-03-19,9046.62
2020-03-27,8849.2
2020-04-09,8921.82
2020-04-16,9087.61
2020-04-23,9108.24
2020-05-07,9157.11
2020-05-14,9398.46
2020-05-21,9411.12
2020-05-28,9445.75
2020-06-04,9590.29
2020-06-11,9680.28
2020-06-18,9485.23
2020-06-25,9555.15
2020-07-02,9479.96
2020-07-09,9563.76
2020-07-16,9621.59
2020-07-23,9569.56
2020-07-30,9305.88
2020-08-06,9492
2020-08-13,9539.96
2020-08-20,9652.33
2020-08-27,9823.52
2020-09-03,9868.53
2020-09-10,9847.78
2020-09-17,9964.42
2020-09-24,10053.64
2020-10-01,10084.85
2020-10-08,10182.47
2020-10-15,10203.96
2020-10-22,10247.02
2020-10-29,10206.82
2020-11-05,10366.16
2020-11-05,10366.16
2020-11-12,10473.08
2020-11-12,10473.08
2020-11-19,10661.03
2020-11-24,10783.13
2020-11-26,10783.13
2020-12-03,10908.55
2020-12-10,10980.48
2020-12-17,11043.57
2020-12-24,11129.87
2020-12-31,11152.93
2021-01-07,11469.59
2021-01-14,11659.19
2021-01-21,11377.99
2021-01-28,11344.87
2021-02-04,11575.26
2021-02-18,12071.88
2021-02-25,12055
2021-03-04,12272.24
2021-03-11,12219.75
2021-03-18,12408.27
2021-03-25,12250.94
2021-04-01,12319.77
2021-04-08,12521.41
2021-04-15,12628.51
2021-04-22,12717.24
2021-04-29,12635.37
2021-05-06,12923.21
2021-05-13,13184.02
2021-05-20,13385.92
2021-05-27,13756.57
2021-06-03,14024.97
2021-06-10,13808.58
2021-06-17,13989.35
2021-06-24,14116.19
2021-07-01,14252.68
2021-07-08,14255.41
2021-07-15,13827.52
2021-07-22,13903.73
2021-07-29,13950.02
2021-08-05,14255.77
2021-08-12,14405.58
2021-08-19,14507.55
2021-08-26,14244.62
2021-09-07,14524.51
2021-09-09,14479.78
2021-09-14,14623.35
2021-09-16,14658.86
2021-09-21,14810.46
2021-09-23,14921.23
2021-09-28,14720.28
2021-09-30,14819.86
2021-10-05,14919.52
2021-10-07,15025.66
2021-10-12,15238.71
2021-10-14,15311.71
2021-10-19,15359.57
2021-10-21,15310.39
2021-10-26,15167.2
2021-10-28,15378.62
2021-11-02,15360.2
2021-11-04,15351.94
2021-11-09,15487.02
2021-11-11,15449.73
2021-11-16,15472.23
2021-11-18,15493.54
2021-11-23,15254.29
2021-11-25,15501.98
2021-11-30,15380.64
2021-12-02,15426.52
2021-12-07,14989.29
2021-12-09,15184.96
2021-12-14,15286.96
2021-12-16,15271.3
2021-12-21,15191.59
2021-12-23,15136.25
2021-12-28,15142.9
2021-12-30,15147.57
2022-01-04,15229.26
2022-01-06,15296.31
2022-01-11,15117.64
2022-01-13,15161.76
2022-01-18,14877.76
2022-01-20,14902.45
2022-01-25,14914.08
2022-01-27,15177.6
2022-02-08,15290.65
2022-02-10,15422.04
2022-02-15,15250.31
2022-02-17,15319.81
2022-02-22,15440.41
2022-02-24,15556.26
2022-03-01,15504.87
2022-03-03,15419.95
2022-03-08,15600.65
2022-03-10,15538.3
2022-03-15,15329.4
2022-03-17,15440
2022-03-22,15629.82
2022-03-24,15766.28
2022-03-29,15836.25
2022-03-31,15963.07
2022-04-05,16179.2
2022-04-07,16285.42
2022-04-12,16025.83
2022-04-14,16124.2
2022-04-19,16035.21
2022-04-21,15696.62
2022-04-26,15090
2022-04-28,15361.55
2022-05-05,15430.53
2022-05-10,14738.46
2022-05-12,15028.57
2022-05-17,14158.83
2022-05-19,14724.6
2022-05-24,14655.41
2022-05-26,15118.03
2022-05-31,15361.49
2022-06-02,15321.94
2022-06-07,15423.4
2022-06-09,15701.63
2022-06-14,15051.24
2022-06-16,15096.6
2022-06-21,14910.85
2022-06-23,14719.13
2022-06-28,15069.35
2022-06-30,15198.06
2022-07-01,15029.87
2022-07-04,15009.81
2022-07-05,14929.92
2022-07-06,14814.13
2022-07-07,14633.8
2022-07-08,14698.69
2022-07-11,14758.34
2022-07-12,14637.53
2022-07-13,14816.62
2022-07-14,14798.18
2022-07-15,14820.38
2022-07-18,14781.15
2022-07-19,14763.11
2022-07-20,14787.7
2022-07-21,14909.34
2022-07-22,14971.39
2022-07-25,14956.97
2022-07-26,14907.03
2022-07-27,14850.88
2022-07-28,14872.76
2022-07-29,14969.37
2022-08-01,14912.19
2022-08-02,15026.1
2022-08-03,15067.73
2022-08-04,15113.27
2022-08-05,15119.66
2022-08-08,15124.26
2022-08-09,15164.53
2022-08-10,15178.62
2022-08-11,15178.79
2022-08-12,15098.74
2022-08-15,15157.33
2022-08-16,15280.93
2022-08-17,15302.1
2022-08-18,15278.39
2022-08-19,15254.85
2022-08-22,15215.44
2022-08-23,15262.5
2022-08-24,15317.16
2022-08-25,15371.04
2022-08-26,15443.99
2022-08-29,15444.79
2022-08-30,15405.45
2022-08-31,15448.43
2022-09-05,15491.3
2022-09-06,15475.79
2022-09-07,15459.97
2022-09-08,15223.32
2022-09-09,15173.63
2022-09-12,15259.58
2022-09-13,15275.98
2022-09-14,15278.09
2022-09-15,15234.21
2022-09-16,15236.92
2022-09-19,15116.91
2022-09-20,14939.8
2022-09-21,15029.03
2022-09-22,14976.77
2022-09-23,15012.88
2022-09-26,14963.56
2022-09-27,14751.61
2022-09-28,14720.9
2022-09-29,14605.31
2022-09-30,14484.39
2022-10-03,14579.34
2022-10-04,14220.94
2022-10-05,14165.06
2022-10-06,14323.5
2022-10-07,14042.92
2022-10-10,13786.34
2022-10-11,13869.97
2022-10-12,13652.99
2022-10-13,13841.02
2022-10-14,13879.55
2022-10-17,14016.53
2022-10-18,14033.6
2022-10-19,14074.18
2022-10-20,14059.43
2022-10-21,14045.1
2022-10-24,13730.67
2022-10-25,13518.32
2022-10-26,13577.56
2022-10-27,13580.94
2022-10-28,13774.41
2022-10-31,13777.6
2022-11-01,13770.78
2022-11-02,13768.77
2022-11-03,13716.19
2022-11-04,13725.27
2022-11-07,13523.78
2022-11-08,13364.99
2022-11-09,13450.32
2022-11-10,13441.73
2022-11-11,13179.64
2022-11-14,13229.42
2022-11-15,13065.02
2022-11-16,12746.04
2022-11-17,12999.19
2022-11-18,13149.76
2022-11-21,13172.26
2022-11-22,13141.73
2022-11-23,13169.5
2022-11-24,13179.54
2022-11-25,13078.27
2022-11-28,13184.33
2022-11-29,13385.14
2022-11-30,13469.71
2022-12-01,13563.17
2022-12-02,13568.53
2022-12-05,13792.75
2022-12-06,13866.17
2022-12-07,13642.54
2022-12-08,13629
2022-12-09,13661.02
2022-12-12,13701.33
2022-12-13,13648.56
2022-12-14,13713.57
2022-12-15,13741.37
2022-12-16,13795.44
2022-12-19,13818.65
2022-12-20,13730.85
2022-12-21,13652.46
2022-12-22,13665.78
2022-12-23,13688.34
2022-12-27,13465.79
2022-12-28,13551.19
2022-12-29,13569.43
2022-12-30,13582.75
2023-01-03,13626.65
2023-01-04,13722.42
2023-01-05,13715.03
2023-01-06,13763.36
2023-01-09,13752.91
2023-01-10,13752.54
2023-01-11,13754.63
2023-01-12,13773.49
2023-01-13,13783.1
2023-01-16,13793.19
2023-01-17,13847.29
2023-01-18,13976.85
2023-01-19,14029.78
2023-01-27,14084.97
2023-01-30,14185.92
2023-01-31,14137.44
2023-02-01,14165.12
2023-02-02,14041.78
2023-02-03,14049.42
2023-02-06,14004.1
2023-02-07,14053
2023-02-08,13975.63
2023-02-09,13961.33
2023-02-10,13952.44
2023-02-13,13917.37
2023-02-14,13879.54
2023-02-15,13868.94
2023-02-16,13901.21
2023-02-17,13959.42
2023-02-20,13961.88
2023-02-21,14095.14
2023-02-22,14080.98
2023-02-23,13975.36
2023-02-24,13956.13
2023-02-27,13884.23
2023-02-28,13754.18
2023-03-01,13770.25
2023-03-02,13871.02
2023-03-03,13874.48
2023-03-06,13803.32
2023-03-07,13778.41
2023-03-08,13827.21
2023-03-09,13866.65
2023-03-10,13921.3
2023-03-13,13875.14
2023-03-14,13837.1
2023-03-15,13774.07
2023-03-16,13885.19
2023-03-17,13806.41
2023-03-20,13781.84
2023-03-21,13709.98
2023-03-22,13729.76
2023-03-23,13740.47
2023-03-24,13755.03
2023-03-27,13777.88
2023-03-28,13807.13
2023-03-29,13819.75
2023-03-30,13806.31
2023-03-31,13840.13
2023-04-03,13860.13
2023-04-04,13920.07
2023-04-05,13933.01
2023-04-06,13937.04
2023-04-07,13880.81
2023-04-10,13896.75
2023-04-11,13900.67
2023-04-12,13915.07
2023-04-13,13912.46
2023-04-14,13923.94
2023-04-17,13879.79
2023-04-18,13889.75
2023-04-19,13876.38
2023-04-20,13862.99
2023-04-21,13889.81
2023-04-24,13908.45
2023-04-25,13909.37
2023-04-26,13859.32
2023-04-27,13899.51
2023-04-28,13920.36
2023-05-04,13936.72
2023-05-05,13909.44
2023-05-08,13918.17
2023-05-09,13967.07
2023-05-10,13961.17
2023-05-11,13996.09
2023-05-12,13976.24
2023-05-15,14028.02
2023-05-16,14035.01
2023-05-17,14043.85
2023-05-18,14029.72
2023-05-19,14067.19
2023-05-22,14067.83
2023-05-23,14075.25
2023-05-24,14058.95
2023-05-25,14015.59
2023-05-26,14023.22
2023-05-29,14020.33
2023-05-30,14065.09
2023-05-31,14091.02
2023-06-01,14076.04
2023-06-02,14086.53
2023-06-05,14185.33
2023-06-06,14251.03
2023-06-07,14285.79
2023-06-08,14258.54
2023-06-09,14201.49
2023-06-12,14268.32
2023-06-13,14317.13
2023-06-14,14324.97
2023-06-15,14287.71
2023-06-16,14284.78
2023-06-19,14332.1
2023-06-20,14311.63
2023-06-21,14347.98
2023-06-22,14409.75
2023-06-23,14446.93
2023-06-26,14490.76
2023-06-27,14531.34
2023-06-28,14550.57
2023-06-29,14546.23
2023-06-30,14499.95
2023-07-03,14486.46
2023-07-04,14519.17
2023-07-05,14559.59
2023-07-06,14574.14
2023-07-07,14537.29
2023-07-10,14593.21
2023-07-11,14650.88
2023-07-12,14689.42
2023-07-13,14717.16
2023-07-14,14756.84
2023-07-17,14806.06
2023-07-18,14804.57
2023-07-19,14800.8
2023-07-20,14793.7
2023-07-21,14833.67
2023-07-24,14897.83
2023-07-25,14916.81
2023-07-26,14941.93
2023-07-27,14956.51
2023-07-28,14952.07
2023-07-31,14996.99
2023-08-01,15039.45
2023-08-02,14965.14
2023-08-03,14953.82
2023-08-04,14937.74
2023-08-07,14980.51
2023-08-08,15052.05
2023-08-09,15038.47
2023-08-10,15005.56
2023-08-11,14920.53
2023-08-14,14945.27
