date,stock_code,industry,weight_pct,asset_value,type_asset
2026-08-07,MWG,Bán lẻ,11.83,464821020000,STOCK
2026-08-07,VCB,Ngân hàng,7.66,300877348100,STOCK
2026-08-07,CTG,Ngân hàng,7.22,283660053600,STOCK
2026-08-07,ACB,Ngân hàng,5.4,212169433800,STOCK
2026-08-07,VHM,Bất động sản,4.86,191108240000,STOCK
2026-08-07,GMD,Vận tải - Kho bãi,4.84,190046241000,STOCK
2026-08-07,VCI,Chứng khoán,4.44,174479589000,STOCK
2026-08-07,TCB,Ngân hàng,4.36,171123450000,STOCK
2026-08-07,FPT,Công nghệ và thông tin,4.2,164898719700,STOCK
2026-08-07,NLG,Bất động sản,4.13,162264861600,STOCK
