date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,VHM,Bất động sản,9.22,30730750000,STOCK
2026-07-01,VIC,Bất động sản,8.58,28625170000,STOCK
2026-07-01,VIB,Ngân hàng,6.47,21574550000,STOCK
2026-07-01,FPT,Công nghệ và thông tin,3.95,13185284200,STOCK
2026-07-01,HDB,Ngân hàng,3.55,11830467600,STOCK
2026-07-01,BID,Ngân hàng,2.72,9055400000,STOCK
2026-07-01,VCB,Ngân hàng,2.66,8853964400,STOCK
2026-07-01,VPB,Ngân hàng,2.63,8767172000,STOCK
2026-07-01,EIB,Ngân hàng,1.8,6014620000,STOCK
2026-07-01,VNM,Thực phẩm - Đồ uống,1.79,5960161200,STOCK
