date,price
2019-07-05,10000
2019-07-10,9997.13
2019-07-11,9997.44
2019-07-12,9998.18
2019-07-15,9981.26
2019-07-16,9964.3
2019-07-17,9972.15
2019-07-18,9967.5
2019-07-19,10009.3
2019-07-22,10012.64
2019-07-23,10013.75
2019-07-24,10014.86
2019-07-25,10015.96
2019-07-26,10017.24
2019-07-29,10021.81
2019-07-30,10023.33
2019-07-31,10024.86
2019-08-01,10026.37
2019-08-02,10027.89
2019-08-05,10032.44
2019-08-06,10033.96
2019-08-07,10035.48
2019-08-08,10037
2019-08-09,10038.52
2019-08-12,10043.08
2019-08-13,10044.6
2019-08-14,10046.12
2019-08-15,10047.64
2019-08-16,10049.16
2019-08-19,10053.71
2019-08-20,10055.22
2019-08-21,10056.74
2019-08-22,10058.25
2019-08-23,10059.77
2019-08-26,10064.32
2019-08-27,10066.96
2019-08-28,10068.53
2019-08-29,10070.12
2019-08-30,10071.71
2019-09-03,10078.04
2019-09-04,10079.61
2019-09-05,10081.18
2019-09-06,10082.56
2019-09-09,10087.46
2019-09-10,10089.03
2019-09-11,10090.61
2019-09-12,10092.18
2019-09-13,10093.74
2019-09-16,10098.44
2019-09-17,10100.01
2019-09-18,10101.58
2019-09-19,10103.15
2019-09-20,10104.72
2019-09-23,10109.42
2019-09-24,10110.99
2019-09-25,10112.56
2019-09-26,10114.13
2019-09-27,10115.48
2019-09-30,10120.32
2019-10-01,10121.93
2019-10-02,10123.56
2019-10-03,10125.19
2019-10-04,10126.82
2019-10-07,10131.71
2019-10-08,10133.33
2019-10-09,10134.96
2019-10-10,10136.58
2019-10-11,10138.21
2019-10-14,10143.08
2019-10-15,10144.71
2019-10-16,10146.34
2019-10-17,10147.97
2019-10-18,10149.53
2019-10-21,10154.42
2019-10-22,10156.04
2019-10-23,10157.66
2019-10-24,10159.29
2019-10-25,10160.92
2019-10-28,10165.81
2019-10-29,10167.43
2019-10-30,10169.05
2019-10-31,10170.67
2019-11-01,10172.3
2019-11-04,10177.13
2019-11-05,10178.74
2019-11-06,10180.36
2019-11-07,10182
2019-11-08,10183.64
2019-11-11,10188.56
2019-11-12,10190.2
2019-11-13,10191.84
2019-11-14,10193.48
2019-11-15,10195.12
2019-11-18,10200.01
2019-11-19,10197.95
2019-11-20,10199.55
2019-11-21,10201.17
2019-11-22,10202.78
2019-11-25,10207.62
2019-11-26,10209.23
2019-11-27,10210.84
2019-11-28,10212.46
2019-11-29,10214.09
2019-12-02,10218.96
2019-12-03,10220.6
2019-12-04,10222.23
2019-12-05,10223.87
2019-12-06,10225.5
2019-12-09,10230.4
2019-12-10,10232.02
2019-12-11,10233.65
2019-12-12,10235.28
2019-12-13,10236.91
2019-12-16,10241.8
2019-12-17,10243.42
2019-12-18,10245.05
2019-12-19,10246.68
2019-12-20,10248.3
2019-12-23,10253.15
2019-12-24,10254.54
2019-12-25,10255.87
2019-12-26,10257.02
2019-12-27,10258.65
2019-12-30,10263.01
2019-12-31,10264.62
2020-01-02,10266.86
2020-01-03,10268.45
2020-01-06,10273.35
2020-01-07,10274.98
2020-01-08,10285.33
2020-01-09,10286.95
2020-01-10,10288.56
2020-01-13,10295.19
2020-01-14,10296.81
2020-01-15,10295.16
2020-01-16,10296.77
2020-01-17,10289.49
2020-01-20,10294.11
2020-01-21,10295.66
2020-01-22,10308.24
2020-01-30,10334.6
2020-01-31,10336.24
2020-02-03,10341.13
2020-02-04,10342.75
2020-02-05,10344.72
2020-02-06,10346.34
2020-02-07,10347.91
2020-02-10,10352.77
2020-02-11,10354.39
2020-02-12,10356
2020-02-13,10357.61
2020-02-14,10359.22
2020-02-17,10364.03
2020-02-18,10365.64
2020-02-19,10367.24
2020-02-20,10368.84
2020-02-21,10370.44
2020-02-24,10375.25
2020-02-25,10376.85
2020-02-26,10378.46
2020-02-27,10380.07
2020-02-28,10381.68
2020-03-02,10386.48
2020-03-03,10388.12
2020-03-04,10389.69
2020-03-05,10391.33
2020-03-06,10392.45
2020-03-09,10396.58
2020-03-10,10398.15
2020-03-11,10399.75
2020-03-12,10398.15
2020-03-13,10399.77
2020-03-16,10404.69
2020-03-17,10406.33
2020-03-18,10412.61
2020-03-19,10410.45
2020-03-20,10412.05
2020-03-23,10416.97
2020-03-24,10418.62
2020-03-25,10419.3
2020-03-26,10420.94
2020-03-27,10422.57
2020-03-30,10434.8
2020-03-31,10436.44
2020-04-01,10438.08
2020-04-03,10444.68
2020-04-06,10449.56
2020-04-07,10451.14
2020-04-08,10452.76
2020-04-09,10454.39
2020-04-10,10455.65
2020-04-13,10460.53
2020-04-14,10462.15
2020-04-15,10463.77
2020-04-16,10465.4
2020-04-17,10466.96
2020-04-20,10471.64
2020-04-21,10473.27
2020-04-22,10473.23
2020-04-23,10474.84
2020-04-24,10476.46
2020-04-27,10468.85
2020-04-28,10470.45
2020-04-29,10472.04
2020-05-04,10480.23
2020-05-05,10481.89
2020-05-06,10483.53
2020-05-07,10485.18
2020-05-08,10486.83
2020-05-11,10491.78
2020-05-12,10494.34
2020-05-13,10495.94
2020-05-14,10497.6
2020-05-15,10499.26
2020-05-18,10504.26
2020-05-19,10505.91
2020-05-20,10520.71
2020-05-21,10509.24
2020-05-22,10510.91
2020-05-25,10515.87
2020-05-26,10517.45
2020-05-27,10532.26
2020-05-28,10533.94
2020-05-29,10535.6
2020-06-01,10540.57
2020-06-02,10542.17
2020-06-03,10543.8
2020-06-04,10545.45
2020-06-05,10547.1
2020-06-08,10552.03
2020-06-09,10560.11
2020-06-10,10561.77
2020-06-11,10563.35
2020-06-12,10565
2020-06-15,10569.96
2020-06-16,10573.16
2020-06-17,10561.25
2020-06-18,10562.9
2020-06-19,10564.51
2020-06-22,10569.48
2020-06-23,10571.12
2020-06-24,10572.72
2020-06-25,10574.3
2020-06-26,10582.69
2020-06-29,10587.74
2020-06-30,10589.42
2020-07-01,10591.1
2020-07-02,10592.75
2020-07-03,10594.39
2020-07-06,10599.33
2020-07-07,10600.98
2020-07-08,10602.63
2020-07-09,10604.27
2020-07-10,10605.62
2020-07-13,10608.52
2020-07-14,10609.51
2020-07-15,10610.55
2020-07-16,10612.14
2020-07-17,10613.99
2020-07-20,10618.72
2020-07-21,10620.11
2020-07-22,10622.01
2020-07-23,10624.42
2020-07-24,10625.4
2020-07-27,10630.43
2020-07-28,10633.21
2020-07-29,10635.1
2020-07-30,10636.32
2020-07-31,10639.9
2020-08-03,10644.67
2020-08-04,10648.73
2020-08-05,10649.74
2020-08-06,10647.68
2020-08-07,10650.91
2020-08-10,10655.76
2020-08-11,10639.84
2020-08-12,10644.9
2020-08-13,10665.02
2020-08-14,10663.47
2020-08-17,10667.62
2020-08-18,10668.34
2020-08-19,10671.06
2020-08-20,10671.91
2020-08-21,10675.39
2020-08-24,10680.25
2020-08-25,10678.33
2020-08-26,10679.81
2020-08-27,10681.89
2020-08-28,10684.83
2020-08-31,10690
2020-09-01,10689.93
2020-09-03,10695.01
2020-09-04,10698.77
2020-09-07,10703.51
2020-09-08,10688.17
2020-09-09,10688.47
2020-09-10,10691.96
2020-09-11,10708.52
2020-09-14,10714.35
2020-09-15,10716.26
2020-09-16,10721.34
2020-09-17,10719.1
2020-09-18,10720.46
2020-09-21,10725.97
2020-09-22,10728.63
2020-09-23,10730.63
2020-09-24,10731.8
2020-09-25,10733.62
2020-09-28,10738.9
2020-09-29,10738.67
2020-09-30,10741.24
2020-10-01,10740.68
2020-10-02,10745.33
2020-10-05,10749.03
2020-10-06,10752.78
2020-10-07,10753.32
2020-10-08,10753.71
2020-10-09,10756.68
2020-10-12,10763.65
2020-10-13,10764.45
2020-10-14,10764.17
2020-10-15,10763.06
2020-10-16,10768.59
2020-10-19,10770.59
2020-10-20,10773.83
2020-10-21,10776.83
2020-10-22,10775.78
2020-10-23,10779.01
2020-10-26,10784.98
2020-10-27,10788.23
2020-10-28,10789.68
2020-10-29,10791.48
