date,stock_code,industry,weight_pct,asset_value,type_asset
2026-01-01,VIC123029,,12.28,134284811753,BOND
2026-01-01,DSE125018,,10.88,118971886057,BOND
2026-01-01,MML121021,,10.03,109652470091,BOND
2026-01-01,MSN123008,,8.21,89796856102,BOND
2026-01-01,MSN123009,,7.92,86625627597,BOND
2026-01-01,TNG124027,,6.95,75988458563,BOND
2026-01-01,VHM121025,,6.39,69890586009,BOND
2026-01-01,VIC124003,,4.79,52342942069,BOND
2026-01-01,VIC124005,,4.77,52101250037,BOND
2026-01-01,HDB125011,,3.03,33159276478,BOND
2026-01-01,HDB124023,,1.92,21002926131,BOND
2026-01-01,TNG122017,,1.66,18151447839,BOND
2026-01-01,MSN123010,,0.62,6753893486,BOND
2026-01-01,SHB125017,,0.28,3058281779,BOND
2026-01-01,LPB125006,,0.18,2016640989,BOND
2026-01-01,CTG121031,,0.11,1156932982,BOND
2026-01-01,VBA121033,,0.04,463926640,BOND
2026-01-01,CASH,,16.05,175458402417,CASH
2026-01-01,OTHER,,3.88,42427294668,OTHER
2026-02-01,DSE125018,,13.49,149081008113,BOND
2026-02-01,VIC123029,,11.8,130476292438,BOND
2026-02-01,MML121021,,9.92,109610349114,BOND
2026-02-01,MSN123008,,8.12,89791463377,BOND
2026-02-01,MSN123009,,7.83,86512213514,BOND
2026-02-01,TNG124027,,6.87,75896421029,BOND
2026-02-01,VHM121025,,6.33,69930996934,BOND
2026-02-01,VIC124005,,4.67,51603867664,BOND
2026-02-01,HDB125011,,3.9,43128412431,BOND
2026-02-01,VIC124003,,3.78,41825556220,BOND
2026-02-01,TNG122017,,2.55,28135772655,BOND
2026-02-01,HDB124023,,1.89,20921549222,BOND
2026-02-01,MSN123010,,0.61,6755210616,BOND
2026-02-01,SHB125017,,0.28,3057719838,BOND
2026-02-01,LPB125006,,0.18,1974494990,BOND
2026-02-01,CTG121031,,0.1,1157590838,BOND
2026-02-01,VBA121033,,0.04,460664059,BOND
2026-02-01,CASH,,15.92,175978683017,CASH
2026-02-01,OTHER,,1.72,19066598981,OTHER
2026-03-01,MSN123008,,13.63,156607239326,BOND
2026-03-01,DSE125018,,13.0,149295857469,BOND
2026-03-01,HDB125011,,10.14,116415054106,BOND
2026-03-01,MML121021,,9.53,109479880809,BOND
2026-03-01,VIC123029,,7.12,81742783128,BOND
2026-03-01,TNG124027,,6.62,75990848081,BOND
2026-03-01,VHM121025,,6.07,69745689375,BOND
2026-03-01,LPB125006,,4.53,52028972873,BOND
2026-03-01,VIC124005,,4.51,51774305559,BOND
2026-03-01,HDB124023,,4.33,49739551838,BOND
2026-03-01,SHB125017,,3.78,43446712906,BOND
2026-03-01,VIC124003,,3.64,41800451741,BOND
2026-03-01,TNG122017,,2.45,28114169725,BOND
2026-03-01,MSN123009,,0.61,7037057907,BOND
2026-03-01,MSN123010,,0.59,6734950076,BOND
2026-03-01,CTG121031,,0.1,1146191923,BOND
2026-03-01,VBA121033,,0.04,458407156,BOND
2026-03-01,CASH,,8.14,93500418104,CASH
2026-03-01,OTHER,,1.18,13519988114,OTHER
2026-04-01,DSE125018,,13.94,149740464673,BOND
2026-04-01,MSN123008,,10.02,107618262584,BOND
2026-04-01,MML121021,,9.23,99142692699,BOND
2026-04-01,VIC123029,,7.77,83493657883,BOND
2026-04-01,TNG124027,,6.89,73985146191,BOND
2026-04-01,VHM121025,,6.49,69768061668,BOND
2026-04-01,MSN123009,,5.29,56838639010,BOND
2026-04-01,VIC124003,,4.83,51849223913,BOND
2026-04-01,VIC124005,,4.83,51936173926,BOND
2026-04-01,LPB125006,,4.81,51650893923,BOND
2026-04-01,HDB124023,,4.62,49612532419,BOND
2026-04-01,SHB125017,,4.06,43608564224,BOND
2026-04-01,TNG122017,,2.61,28074203785,BOND
2026-04-01,VND125032,,2.42,26047261760,BOND
2026-04-01,HDB125011,,0.96,10352002138,BOND
2026-04-01,MSN123010,,0.63,6736729803,BOND
2026-04-01,CTG121031,,0.11,1156318085,BOND
2026-04-01,VBA121033,,0.04,458001468,BOND
2026-04-01,CASH,,8.88,95376669147,CASH
2026-04-01,OTHER,,1.56,16766481455,OTHER
2026-05-01,MSN123008,,12.17,128396284648,BOND
2026-05-01,DSE125018,,11.36,119871570367,BOND
2026-05-01,VIC123029,,9.52,100414720397,BOND
2026-05-01,MML121021,,9.42,99353578586,BOND
2026-05-01,TNG124027,,7.0,73873370707,BOND
2026-05-01,VHM121025,,6.65,70151846854,BOND
2026-05-01,MSN123009,,5.4,56916400157,BOND
2026-05-01,VIC124003,,5.14,54258042843,BOND
2026-05-01,VIC124005,,4.94,52062608128,BOND
2026-05-01,HDB124023,,4.69,49522327028,BOND
2026-05-01,SHB125017,,4.12,43508652731,BOND
