date,stock_code,industry,weight_pct,asset_value,type_asset
2026-03-01,VPB,Ngân hàng,3.16,3131910000,STOCK
2026-03-01,FPT,Công nghệ,3.13,3092580000,STOCK
2026-03-01,HPG,Vật liệu,3.1,3063910000,STOCK
2026-03-01,TCB,Ngân hàng,2.8,2775280000,STOCK
2026-03-01,KBC,BĐS,2.79,2765730000,STOCK
2026-03-01,VCB,Ngân hàng,2.79,2765560000,STOCK
2026-03-01,VHM,BĐS,2.79,2760400000,STOCK
2026-03-01,KDH,BĐS,2.78,2753400000,STOCK
2026-03-01,ABB,Ngân hàng,2.72,2690640000,STOCK
2026-03-01,SSI,Chứng khoán,2.52,2490180000,STOCK
2026-03-01,ACV,Hạ tầng,2.51,2482440000,STOCK
2026-03-01,CTR,Xây dựng,2.48,2456700000,STOCK
2026-03-01,VIX,Chứng khoán,2.21,2184480000,STOCK
2026-03-01,MSN,Thực phẩm,2.19,2166850000,STOCK
2026-03-01,DCM,Vật liệu,2.14,2115540000,STOCK
2026-03-01,PC1,Hạ tầng,2.1,2082880000,STOCK
2026-03-01,VTP,Logistics,1.84,1821960000,STOCK
2026-03-01,PVS,Dầu khí,1.78,1758700000,STOCK
2026-03-01,HVN,Vận tải,1.54,1525080000,STOCK
2026-03-01,CASH,,52.62,52071915938,CASH
2026-04-01,HPG,Vật liệu,5.8,3160725000,STOCK
2026-04-01,FPT,Công nghệ,5.74,3125700000,STOCK
2026-04-01,VPB,Ngân hàng,5.71,3108450000,STOCK
2026-04-01,VHM,BĐS,5.68,3095200000,STOCK
2026-04-01,TCB,Ngân hàng,5.62,3060040000,STOCK
2026-04-01,KBC,BĐS,5.4,2939130000,STOCK
2026-04-01,VCB,Ngân hàng,5.23,2846480000,STOCK
2026-04-01,ABB,Ngân hàng,4.97,2708820000,STOCK
2026-04-01,KDH,BĐS,4.94,2689860000,STOCK
2026-04-01,CTR,Xây dựng,4.87,2654310000,STOCK
2026-04-01,SSI,Chứng khoán,4.69,2554860000,STOCK
2026-04-01,ACV,Hạ tầng,4.59,2499200000,STOCK
2026-04-01,MSN,Thực phẩm,4.39,2388480000,STOCK
2026-04-01,VIX,Chứng khoán,4.36,2376410000,STOCK
2026-04-01,DCM,Vật liệu,3.74,2036790000,STOCK
2026-04-01,VTP,Logistics,3.65,1988184000,STOCK
2026-04-01,PVS,Dầu khí,3.25,1770800000,STOCK
2026-04-01,HVN,Vận tải,3.22,1753760000,STOCK
2026-04-01,TNG124027,,3.93,2142654776,BOND
2026-04-01,HDB125011,,3.86,2099896262,BOND
2026-04-01,CASH,,5.59,3044958461,CASH
2026-04-01,OTHER,,0.77,420810369,OTHER
2026-05-01,TCB,Ngân hàng,4.16,1981375000,STOCK
2026-05-01,VPB,Ngân hàng,4.11,1959330000,STOCK
2026-05-01,HPG,Vật liệu,4.07,1937520000,STOCK
2026-05-01,VCB,Ngân hàng,3.92,1866200000,STOCK
2026-05-01,SSI,Chứng khoán,3.74,1782000000,STOCK
2026-05-01,ABB,Ngân hàng,3.72,1772160000,STOCK
2026-05-01,VHM,BĐS,3.6,1716000000,STOCK
2026-05-01,FPT,Công nghệ,3.46,1646800000,STOCK
2026-05-01,KBC,BĐS,3.16,1506700000,STOCK
2026-05-01,DCM,Vật liệu,3.15,1500460000,STOCK
2026-05-01,MBB,Ngân hàng,3.05,1455000000,STOCK
2026-05-01,CTG,Ngân hàng,3.0,1430280000,STOCK
2026-05-01,KDH,BĐS,2.89,1377805000,STOCK
2026-05-01,ACV,Hạ tầng,2.86,1360900000,STOCK
2026-05-01,PVS,Dầu khí,2.77,1318200000,STOCK
2026-05-01,CTR,Xây dựng,2.67,1274400000,STOCK
2026-05-01,GMD,Hạ tầng,2.62,1250790000,STOCK
