date,industry,weight_pct
2026-07-01,Ngân hàng,21.21
2026-07-01,Tài chính khác,17.23
2026-07-01,Bất động sản,4.58
2026-07-01,Thực phẩm - Đồ uống,1.26
2026-07-01,Chứng khoán,1.06
2026-07-01,Tiện ích,0.87
2026-07-01,Vận tải - Kho bãi,0.8
2026-07-01,Vật liệu xây dựng,0.66
2026-07-01,Công nghệ và thông tin,0.66
2026-07-01,Bán lẻ,0.46
2026-07-01,Sản xuất Nhựa - Hóa chất,0.33
2026-08-01,Ngân hàng,22.05
2026-08-01,Tài chính khác,17.41
2026-08-01,Bất động sản,4.68
2026-08-01,Thực phẩm - Đồ uống,1.94
2026-08-01,Chứng khoán,1.43
2026-08-01,Tiện ích,1.12
2026-08-01,Vận tải - Kho bãi,0.94
2026-08-01,Công nghệ và thông tin,0.91
2026-08-01,Vật liệu xây dựng,0.79
2026-08-01,Bán lẻ,0.64
2026-08-01,Sản xuất Nhựa - Hóa chất,0.51
