date,industry,weight_pct
2025-02-01,Ngân hàng,47.54
2025-02-01,BĐS,10.71
2025-02-01,Điện,7.21
2025-02-01,Vật liệu,4.87
2025-02-01,Dầu khí,4.86
2025-02-01,Sản xuất,4.5
2025-02-01,Bán lẻ,4.24
2025-02-01,Thực phẩm,4.11
2025-02-01,Ô tô,3.25
2025-02-01,Hạ tầng,1.24
2025-03-01,Ngân hàng,46.52
2025-03-01,BĐS,10.65
2025-03-01,Chứng khoán,6.46
2025-03-01,Vật liệu,4.85
2025-03-01,Dầu khí,4.8
2025-03-01,Bán lẻ,4.79
2025-03-01,Thực phẩm,4.78
2025-03-01,Sản xuất,4.61
2025-03-01,Hạ tầng,1.13
2025-03-01,Ô tô,0.19
2025-04-01,Ngân hàng,45.25
2025-04-01,BĐS,16.3
2025-04-01,Dầu khí,7.869999999999999
2025-04-01,Vật liệu,4.86
2025-04-01,Bán lẻ,4.66
2025-04-01,Thực phẩm,4.64
2025-04-01,Sản xuất,4.48
2025-04-01,Chứng khoán,2.19
2025-04-01,Hạ tầng,1.09
2025-04-01,Ô tô,0.14
2025-05-01,Ngân hàng,45.02
2025-05-01,BĐS,13.270000000000001
2025-05-01,Dầu khí,8.18
2025-05-01,Bán lẻ,5.07
2025-05-01,Vật liệu,4.8
2025-05-01,Thực phẩm,4.53
2025-05-01,Sản xuất,4.24
2025-05-01,Chứng khoán,2.2
2025-05-01,Hạ tầng,1.07
2025-05-01,Ô tô,0.14
2025-06-01,Ngân hàng,32.93
2025-06-01,Dầu khí,6.59
2025-06-01,BĐS,5.92
2025-06-01,Bán lẻ,5.02
2025-06-01,Vật liệu,4.57
2025-06-01,Thực phẩm,3.83
2025-06-01,Sản xuất,3.6
2025-06-01,Chứng khoán,2.1
2025-06-01,Ô tô,0.15
2025-06-01,Hạ tầng,0.15
2025-07-01,Ngân hàng,43.1
2025-07-01,Dầu khí,7.9799999999999995
2025-07-01,Thực phẩm,4.77
2025-07-01,Vật liệu,4.62
2025-07-01,BĐS,4.58
2025-07-01,Bán lẻ,4.12
2025-07-01,Sản xuất,2.84
2025-07-01,Chứng khoán,2.2
2025-07-01,Điện,0.3
2025-07-01,Ô tô,0.12
2025-07-01,Hạ tầng,0.12
2025-08-01,Ngân hàng,30.770000000000003
2025-08-01,Dầu khí,6.62
2025-08-01,Thực phẩm,3.76
2025-08-01,Vật liệu,3.42
2025-08-01,BĐS,3.3899999999999997
2025-08-01,Bán lẻ,3.19
2025-08-01,Sản xuất,2.22
2025-08-01,Chứng khoán,1.58
2025-08-01,Ô tô,0.84
2025-08-01,Điện,0.26
2025-08-01,Hạ tầng,0.09
2025-09-01,Ngân hàng,26.630000000000003
2025-09-01,Dầu khí,6.58
2025-09-01,Thực phẩm,3.75
2025-09-01,Vật liệu,3.0
2025-09-01,Bán lẻ,2.66
2025-09-01,Ô tô,2.64
2025-09-01,Sản xuất,2.09
2025-09-01,BĐS,1.69
2025-09-01,Chứng khoán,0.84
2025-09-01,Điện,0.21
2025-09-01,Hạ tầng,0.08
2025-10-01,Ngân hàng,26.77
2025-10-01,Dầu khí,6.25
2025-10-01,Thực phẩm,3.38
2025-10-01,Vật liệu,3.25
2025-10-01,Ô tô,2.61
2025-10-01,Bán lẻ,2.49
2025-10-01,Sản xuất,2.09
2025-10-01,BĐS,1.98
2025-10-01,Chứng khoán,0.87
2025-10-01,Điện,0.2
2025-10-01,Hạ tầng,0.13
2025-11-01,Ngân hàng,33.209999999999994
2025-11-01,Dầu khí,7.23
2025-11-01,Vật liệu,3.43
2025-11-01,Thực phẩm,3.38
2025-11-01,Ô tô,2.91
2025-11-01,BĐS,2.46
2025-11-01,Sản xuất,1.79
2025-11-01,Bán lẻ,1.47
2025-11-01,Chứng khoán,1.43
2025-11-01,Hạ tầng,0.39
2025-11-01,Điện,0.22
2025-12-01,Ngân hàng,33.24999999999999
2025-12-01,Dầu khí,6.99
2025-12-01,Thực phẩm,3.51
2025-12-01,Vật liệu,3.31
2025-12-01,Ô tô,2.76
2025-12-01,BĐS,2.23
2025-12-01,Chứng khoán,2.1
2025-12-01,Sản xuất,1.88
2025-12-01,Hạ tầng,0.6
2025-12-01,Bán lẻ,0.57
2025-12-01,Xây dựng,0.37
2025-12-01,Điện,0.21
2026-01-01,Ngân hàng,34.93
2026-01-01,Dầu khí,5.6
2026-01-01,Thực phẩm,3.54
2026-01-01,BĐS,3.46
2026-01-01,Vật liệu,3.14
2026-01-01,Ô tô,2.98
2026-01-01,Chứng khoán,2.32
2026-01-01,Sản xuất,1.82
2026-01-01,Hạ tầng,1.21
2026-01-01,Xây dựng,0.65
2026-01-01,Điện,0.16
2026-02-01,Ngân hàng,36.24
2026-02-01,Dầu khí,5.7
2026-02-01,Thực phẩm,3.58
2026-02-01,BĐS,3.58
2026-02-01,Ô tô,3.0
2026-02-01,Vật liệu,2.46
2026-02-01,Chứng khoán,2.41
2026-02-01,Sản xuất,1.74
2026-02-01,Hạ tầng,1.29
2026-02-01,Xây dựng,0.67
2026-02-01,Điện,0.16
2026-03-01,Ngân hàng,39.66
2026-03-01,BĐS,5.0600000000000005
2026-03-01,Thực phẩm,3.6
2026-03-01,Dầu khí,3.22
2026-03-01,Ô tô,3.14
2026-03-01,Chứng khoán,3.06
2026-03-01,Vật liệu,2.83
2026-03-01,Sản xuất,2.14
2026-03-01,Hạ tầng,1.82
2026-03-01,Xây dựng,0.95
2026-03-01,Điện,0.06
2026-04-01,Ngân hàng,39.65
2026-04-01,BĐS,5.119999999999999
2026-04-01,Chứng khoán,3.5
2026-04-01,Thực phẩm,3.34
2026-04-01,Ô tô,3.19
2026-04-01,Dầu khí,3.19
2026-04-01,Vật liệu,2.87
2026-04-01,Sản xuất,2.1
2026-04-01,Hạ tầng,1.57
2026-04-01,Xây dựng,0.87
2026-04-01,Điện,0.05
2026-05-01,Ngân hàng,40.97
2026-05-01,BĐS,5.25
2026-05-01,Chứng khoán,3.81
2026-05-01,Thực phẩm,3.51
2026-05-01,Dầu khí,3.33
2026-05-01,Ô tô,3.22
2026-05-01,Vật liệu,3.13
2026-05-01,Sản xuất,2.19
2026-05-01,Hạ tầng,1.58
2026-05-01,Bán lẻ,0.22
2026-05-01,Điện,0.06
2026-06-01,Ngân hàng,40.38
2026-06-01,BĐS,5.48
2026-06-01,Chứng khoán,3.53
2026-06-01,Thực phẩm,3.41
2026-06-01,Dầu khí,3.26
2026-06-01,Vật liệu,3.16
2026-06-01,Ô tô,2.97
2026-06-01,Sản xuất,2.22
2026-06-01,Hạ tầng,1.57
2026-06-01,Bán lẻ,0.9
2026-06-01,Điện,0.06
2026-07-01,Ngân hàng,41.209999999999994
2026-07-01,BĐS,7.44
2026-07-01,Vật liệu,4.24
2026-07-01,Chứng khoán,3.54
2026-07-01,Dầu khí,3.48
2026-07-01,Thực phẩm,3.45
2026-07-01,Ô tô,3.06
2026-07-01,Sản xuất,2.27
2026-07-01,Hạ tầng,1.95
2026-07-01,Bán lẻ,0.91
2026-07-01,Thực phẩm - Đồ uống,0.38
2026-07-01,Điện,0.06
