date,industry,weight_pct
2025-02-01,Ngân hàng,43.57
2025-02-01,Công nghệ,7.76
2025-02-01,BĐS,7.48
2025-02-01,Vật liệu,6.84
2025-02-01,Hạ tầng,5.510000000000001
2025-02-01,Thực phẩm,4.21
2025-02-01,Đồ uống,3.38
2025-02-01,Xây dựng,2.91
2025-02-01,Bán lẻ,2.52
2025-02-01,Chứng khoán,2.5
2025-02-01,Bảo hiểm,2.43
2025-02-01,Dầu khí,1.56
2025-02-01,Logistics,0.84
2025-02-01,Ô tô,0.56
2025-02-01,Tiện ích,0.49
2025-03-01,Ngân hàng,42.18
2025-03-01,Vật liệu,7.630000000000001
2025-03-01,BĐS,7.45
2025-03-01,Thực phẩm,5.989999999999999
2025-03-01,Hạ tầng,4.67
2025-03-01,Công nghệ,4.53
2025-03-01,Xây dựng,3.55
2025-03-01,Đồ uống,3.3
2025-03-01,Bảo hiểm,2.55
2025-03-01,Ô tô,2.08
2025-03-01,Logistics,1.87
2025-03-01,Dầu khí,1.75
2025-03-01,Tiện ích,1.01
2025-03-01,Bán lẻ,0.9299999999999999
2025-03-01,Điện,0.51
2025-03-01,Chứng khoán,0.43
2025-04-01,Ngân hàng,41.290000000000006
2025-04-01,Vật liệu,9.719999999999999
2025-04-01,Công nghệ,6.61
2025-04-01,BĐS,5.8
2025-04-01,Thực phẩm,5.74
2025-04-01,Xây dựng,5.45
2025-04-01,Bán lẻ,4.050000000000001
2025-04-01,Hạ tầng,3.83
2025-04-01,Đồ uống,3.44
2025-04-01,Bảo hiểm,2.34
2025-04-01,Dầu khí,1.57
2025-04-01,Tiện ích,1.2
2025-04-01,Ô tô,0.98
2025-04-01,Điện,0.9299999999999999
2025-04-01,Chứng khoán,0.4
2025-05-01,Ngân hàng,41.14
2025-05-01,Vật liệu,10.59
2025-05-01,Công nghệ,6.42
2025-05-01,Xây dựng,5.83
2025-05-01,Thực phẩm,5.709999999999999
2025-05-01,Bán lẻ,5.68
2025-05-01,BĐS,5.57
2025-05-01,Hạ tầng,4.55
2025-05-01,Đồ uống,3.3
2025-05-01,Bảo hiểm,2.13
2025-05-01,Điện,2.03
2025-05-01,Dầu khí,1.95
2025-05-01,Chứng khoán,0.19
2025-06-01,Ngân hàng,38.83
2025-06-01,Vật liệu,10.38
2025-06-01,Xây dựng,6.720000000000001
2025-06-01,Bán lẻ,6.359999999999999
2025-06-01,Công nghệ,5.93
2025-06-01,Thực phẩm,5.43
2025-06-01,BĐS,5.23
2025-06-01,Hạ tầng,4.53
2025-06-01,Đồ uống,2.9
2025-06-01,Bảo hiểm,1.98
2025-06-01,Điện,1.91
2025-06-01,Dầu khí,1.91
2025-06-01,Chứng khoán,1.5
2025-07-01,Ngân hàng,42.620000000000005
2025-07-01,Vật liệu,10.78
2025-07-01,Xây dựng,7.44
2025-07-01,Công nghệ,6.39
2025-07-01,Bán lẻ,5.42
2025-07-01,Hạ tầng,4.86
2025-07-01,Thực phẩm,3.8
2025-07-01,BĐS,3.03
2025-07-01,Đồ uống,2.83
2025-07-01,Điện,1.93
2025-07-01,Bảo hiểm,1.77
2025-07-01,Dầu khí,1.47
2025-07-01,Chứng khoán,1.35
2025-07-01,Tiện ích,0.98
2025-08-01,Ngân hàng,43.78
2025-08-01,Vật liệu,11.209999999999999
2025-08-01,Xây dựng,6.76
2025-08-01,Bán lẻ,6.489999999999999
2025-08-01,Hạ tầng,6.340000000000001
2025-08-01,Công nghệ,5.55
2025-08-01,Thực phẩm,4.2
2025-08-01,BĐS,2.9399999999999995
2025-08-01,Đồ uống,2.46
2025-08-01,Dầu khí,2.2
2025-08-01,Bảo hiểm,1.88
2025-08-01,Tiện ích,1.33
2025-09-01,Ngân hàng,37.190000000000005
2025-09-01,Vật liệu,9.599999999999998
2025-09-01,Bán lẻ,9.45
2025-09-01,Xây dựng,7.28
2025-09-01,Hạ tầng,6.62
2025-09-01,Dầu khí,4.9
2025-09-01,Công nghệ,4.46
2025-09-01,Thực phẩm,4.17
2025-09-01,Tiện ích,2.51
2025-09-01,BĐS,2.43
2025-09-01,Đồ uống,2.17
2025-09-01,Bảo hiểm,1.6
2025-09-01,Điện,1.55
2025-10-01,Ngân hàng,31.24
2025-10-01,Bán lẻ,11.45
2025-10-01,Vật liệu,10.719999999999999
2025-10-01,Xây dựng,9.16
2025-10-01,Hạ tầng,6.76
2025-10-01,Thực phẩm,5.67
2025-10-01,Công nghệ,5.17
2025-10-01,Dầu khí,3.19
2025-10-01,Điện,3.09
2025-10-01,Tiện ích,2.13
2025-10-01,Đồ uống,2.05
2025-10-01,Bảo hiểm,1.78
2025-10-01,Chứng khoán,1.26
2025-10-01,BĐS,1.1
2025-11-01,Ngân hàng,31.059999999999995
2025-11-01,Vật liệu,10.67
2025-11-01,Bán lẻ,10.459999999999999
2025-11-01,Hạ tầng,7.6
2025-11-01,Xây dựng,6.59
2025-11-01,Thực phẩm,6.5600000000000005
2025-11-01,Công nghệ,5.359999999999999
2025-11-01,BĐS,3.6100000000000003
2025-11-01,Dầu khí,3.31
2025-11-01,Điện,3.0199999999999996
2025-11-01,Đồ uống,2.12
2025-11-01,Tiện ích,1.9
2025-11-01,Bảo hiểm,1.86
2025-11-01,Chứng khoán,1.0699999999999998
2025-12-01,Ngân hàng,30.09
2025-12-01,Bán lẻ,11.47
2025-12-01,Vật liệu,9.19
2025-12-01,Thực phẩm,7.9
2025-12-01,Hạ tầng,6.12
2025-12-01,Dầu khí,5.720000000000001
2025-12-01,Xây dựng,5.51
2025-12-01,Công nghệ,5.2
2025-12-01,Điện,3.96
2025-12-01,BĐS,3.16
2025-12-01,Đồ uống,2.21
2025-12-01,Bảo hiểm,2.0
2025-12-01,Chứng khoán,1.47
2025-12-01,Ô tô,1.02
2026-01-01,Ngân hàng,29.96
2026-01-01,Vật liệu,12.040000000000001
2026-01-01,Bán lẻ,8.94
2026-01-01,Thực phẩm,8.65
2026-01-01,Dầu khí,6.16
