date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,CTG,Ngân hàng,7.92,45650000000,STOCK
2025-02-01,FPT,Công nghệ,5.84,33672000000,STOCK
2025-02-01,TCB,Ngân hàng,5.61,32364000000,STOCK
2025-02-01,ACB,Ngân hàng,5.18,29900000000,STOCK
2025-02-01,MWG,Bán lẻ,5.16,29733000000,STOCK
2025-02-01,HPG,Vật liệu,4.61,26600000000,STOCK
2025-02-01,BID,Ngân hàng,4.54,26208000000,STOCK
2025-02-01,VCB,Ngân hàng,2.91,16794000000,STOCK
2025-02-01,MBB,Ngân hàng,2.79,16100000000,STOCK
2025-02-01,VPB,Ngân hàng,2.68,15440000000,STOCK
2025-02-01,SZC,BĐS,2.61,15048000000,STOCK
2025-02-01,FRT,Bán lẻ,2.54,14640000000,STOCK
2025-02-01,VIB,Ngân hàng,2.52,14525000000,STOCK
2025-02-01,CTD,Xây dựng,2.39,13800000000,STOCK
2025-02-01,HDB,Ngân hàng,2.2,12677500000,STOCK
2025-02-01,BWE,Tiện ích,1.95,11250000000,STOCK
2025-02-01,QNS,Thực phẩm,1.92,11088000000,STOCK
2025-02-01,BVH,Bảo hiểm,1.8,10408740000,STOCK
2025-02-01,PNJ,Bán lẻ,1.79,10340000000,STOCK
2025-02-01,MCH,Bán lẻ,1.68,9685000000,STOCK
2025-02-01,VEA,Sản xuất,1.47,8463000000,STOCK
2025-02-01,REE,Hạ tầng,1.38,7964000000,STOCK
2025-02-01,ACV,Hạ tầng,1.29,7434000000,STOCK
2025-02-01,VCI,Chứng khoán,1.26,7290000000,STOCK
2025-02-01,VGC,Xây dựng,1.26,7294000000,STOCK
2025-02-01,CTR,Xây dựng,1.25,7224000000,STOCK
2025-02-01,SIP,BĐS,1.23,7098000000,STOCK
2025-02-01,DGC,Vật liệu,1.2,6913000000,STOCK
2025-02-01,KDH,BĐS,1.16,6700000000,STOCK
2025-02-01,VCG,Xây dựng,1.15,6618500000,STOCK
2025-02-01,EIB,Ngân hàng,1.11,6390000000,STOCK
2025-02-01,HAH,Hạ tầng,1.11,6384000000,STOCK
2025-02-01,NT2,Điện,1.08,6210000000,STOCK
2025-02-01,BMP,Xây dựng,1.04,5975000000,STOCK
2025-02-01,PC1,Hạ tầng,1.0,5760000000,STOCK
2025-02-01,OIL,Dầu khí,0.99,5709740000,STOCK
2025-02-01,VNM,Thực phẩm,0.97,5598000000,STOCK
2025-02-01,GMD,Hạ tầng,0.95,5463000000,STOCK
2025-02-01,LPB,Ngân hàng,0.94,5422500000,STOCK
2025-02-01,DCM,Vật liệu,0.89,5125750000,STOCK
2025-02-01,IDC,BĐS,0.89,5148000000,STOCK
2025-02-01,PVD,Dầu khí,0.6,3465000000,STOCK
2025-02-01,DBC,Thực phẩm,0.51,2960000000,STOCK
2025-02-01,PAN,Thực phẩm,0.49,2825000000,STOCK
2025-02-01,SSI,Chứng khoán,0.46,2630000000,STOCK
2025-02-01,HDG,BĐS,0.31,1801600000,STOCK
2025-02-01,TCH,Ô tô,0.3,1750000000,STOCK
2025-02-01,TTN,Viễn thông,0.13,731500000,STOCK
2025-02-01,MASAN CONSUMER CORP,,0.71,4074785000,BOND
2025-03-01,CTG,Ngân hàng,7.91,43522500000,STOCK
2025-03-01,TCB,Ngân hàng,7.29,40150000000,STOCK
2025-03-01,HPG,Vật liệu,4.86,26750000000,STOCK
2025-03-01,MWG,Bán lẻ,4.82,26550000000,STOCK
2025-03-01,ACB,Ngân hàng,4.72,26000000000,STOCK
2025-03-01,VCB,Ngân hàng,4.0,22006400000,STOCK
2025-03-01,BID,Ngân hàng,3.94,21700000000,STOCK
2025-03-01,VHM,BĐS,3.26,17955000000,STOCK
2025-03-01,MBB,Ngân hàng,3.06,16870000000,STOCK
2025-03-01,FPT,Công nghệ,2.97,16335000000,STOCK
2025-03-01,MCH,Bán lẻ,2.47,13581360000,STOCK
