date,industry,weight_pct
2025-02-01,Ngân hàng,38.4
2025-02-01,Bán lẻ,11.17
2025-02-01,Xây dựng,7.090000000000001
2025-02-01,Vật liệu,6.7
2025-02-01,BĐS,6.199999999999999
2025-02-01,Công nghệ,5.84
2025-02-01,Hạ tầng,5.73
2025-02-01,Thực phẩm,3.8899999999999997
2025-02-01,Tiện ích,1.95
2025-02-01,Bảo hiểm,1.8
2025-02-01,Chứng khoán,1.72
2025-02-01,Dầu khí,1.5899999999999999
2025-02-01,Sản xuất,1.47
2025-02-01,Điện,1.08
2025-02-01,Ô tô,0.3
2025-02-01,Viễn thông,0.13
2025-03-01,Ngân hàng,37.379999999999995
2025-03-01,Bán lẻ,9.180000000000001
2025-03-01,BĐS,6.999999999999999
2025-03-01,Vật liệu,5.73
2025-03-01,Hạ tầng,3.6799999999999997
2025-03-01,Xây dựng,3.63
2025-03-01,Thực phẩm,3.3
2025-03-01,Công nghệ,2.97
2025-03-01,Bảo hiểm,1.94
2025-03-01,Chứng khoán,1.91
2025-03-01,Sản xuất,1.54
2025-03-01,Ô tô,1.31
2025-03-01,Điện,1.23
2025-03-01,Tiện ích,0.95
2025-04-01,Ngân hàng,35.26
2025-04-01,Bán lẻ,9.23
2025-04-01,BĐS,7.39
2025-04-01,Thực phẩm,6.87
2025-04-01,Vật liệu,6.21
2025-04-01,Xây dựng,4.6899999999999995
2025-04-01,Công nghệ,3.65
2025-04-01,Hạ tầng,3.5300000000000002
2025-04-01,Ô tô,2.56
2025-04-01,Chứng khoán,1.77
2025-04-01,Sản xuất,1.67
2025-04-01,Điện,1.03
2025-04-01,Tiện ích,1.01
2025-04-01,Dịch vụ,0.75
2025-04-01,Viễn thông,0.31
2025-05-01,Ngân hàng,30.12
2025-05-01,BĐS,14.65
2025-05-01,Bán lẻ,10.5
2025-05-01,Vật liệu,6.739999999999999
2025-05-01,Thực phẩm,5.12
2025-05-01,Hạ tầng,4.5200000000000005
2025-05-01,Công nghệ,3.71
2025-05-01,Xây dựng,3.7
2025-05-01,Ô tô,3.0
2025-05-01,Chứng khoán,1.59
2025-05-01,Tiện ích,0.96
2025-05-01,Dịch vụ,0.84
2025-05-01,Sản xuất,0.75
2025-05-01,Viễn thông,0.29
2025-06-01,Ngân hàng,34.45
2025-06-01,BĐS,12.61
2025-06-01,Bán lẻ,11.149999999999999
2025-06-01,Vật liệu,9.32
2025-06-01,Thực phẩm,5.1899999999999995
2025-06-01,Hạ tầng,3.5
2025-06-01,Công nghệ,3.06
2025-06-01,Xây dựng,2.71
2025-06-01,Chứng khoán,2.4699999999999998
2025-06-01,Ô tô,2.41
2025-06-01,Dịch vụ,0.94
2025-06-01,Điện,0.78
2025-06-01,Sản xuất,0.76
2025-06-01,Dầu khí,0.53
2025-06-01,Viễn thông,0.31
2025-07-01,Ngân hàng,34.88
2025-07-01,BĐS,10.95
2025-07-01,Bán lẻ,8.91
2025-07-01,Vật liệu,7.93
2025-07-01,Chứng khoán,5.300000000000001
2025-07-01,Thực phẩm,4.3500000000000005
2025-07-01,Công nghệ,3.54
2025-07-01,Hạ tầng,2.83
2025-07-01,Ô tô,2.17
2025-07-01,Xây dựng,1.19
2025-07-01,Dầu khí,0.8
2025-07-01,Điện,0.76
2025-07-01,Viễn thông,0.33
2025-07-01,Bảo hiểm,0.1
2025-08-01,Ngân hàng,42.35999999999999
2025-08-01,BĐS,15.519999999999996
2025-08-01,Chứng khoán,12.47
2025-08-01,Vật liệu,7.11
2025-08-01,Bán lẻ,5.0200000000000005
2025-08-01,Hạ tầng,2.78
2025-08-01,Thực phẩm,2.2
2025-08-01,Công nghệ,1.24
2025-08-01,Ô tô,0.98
2025-08-01,Xây dựng,0.93
2025-08-01,Bảo hiểm,0.65
2025-08-01,Điện,0.54
2025-08-01,Dầu khí,0.33
2025-09-01,Ngân hàng,31.36
2025-09-01,BĐS,19.6
2025-09-01,Chứng khoán,8.820000000000002
2025-09-01,Vật liệu,7.51
2025-09-01,Bán lẻ,5.75
2025-09-01,Hạ tầng,4.959999999999999
2025-09-01,Thực phẩm,3.09
2025-09-01,Ô tô,2.9699999999999998
2025-09-01,Xây dựng,1.7
2025-09-01,Bảo hiểm,0.88
2025-09-01,Công nghệ,0.67
2025-09-01,Dầu khí,0.67
2025-09-01,Điện,0.56
2025-10-01,Ngân hàng,30.109999999999996
2025-10-01,BĐS,15.359999999999998
2025-10-01,Bán lẻ,7.620000000000001
2025-10-01,Thực phẩm,4.8500000000000005
2025-10-01,Chứng khoán,4.79
2025-10-01,Hạ tầng,4.71
2025-10-01,Vật liệu,3.71
2025-10-01,Công nghệ,2.76
2025-10-01,Ô tô,2.3600000000000003
2025-10-01,Xây dựng,2.29
2025-10-01,Bảo hiểm,0.86
2025-10-01,Điện,0.27
2025-11-01,Ngân hàng,25.86
2025-11-01,BĐS,19.610000000000003
2025-11-01,Chứng khoán,7.639999999999999
2025-11-01,Bán lẻ,6.24
2025-11-01,Thực phẩm,5.89
2025-11-01,Vật liệu,5.63
2025-11-01,Hạ tầng,4.12
2025-11-01,Dầu khí,2.56
2025-11-01,Xây dựng,2.25
2025-11-01,Công nghệ,1.79
2025-11-01,Bảo hiểm,1.64
2025-11-01,Điện,1.07
2025-11-01,Ô tô,1.03
2025-12-01,Ngân hàng,28.82
2025-12-01,BĐS,14.569999999999997
2025-12-01,Chứng khoán,9.46
2025-12-01,Bán lẻ,7.46
2025-12-01,Thực phẩm,5.05
2025-12-01,Dầu khí,4.9
2025-12-01,Vật liệu,3.28
2025-12-01,Công nghệ,2.04
2025-12-01,Đồ uống,1.15
2025-12-01,Điện,1.14
2025-12-01,Vận tải,1.14
2025-12-01,Xây dựng,1.14
2025-12-01,Bảo hiểm,1.08
2025-12-01,Hạ tầng,0.92
2025-12-01,Ô tô,0.37
2025-12-01,Dệt may,0.26
2026-01-01,Ngân hàng,28.679999999999996
2026-01-01,Dầu khí,12.32
2026-01-01,Bán lẻ,10.350000000000001
2026-01-01,Chứng khoán,8.44
2026-01-01,BĐS,6.180000000000001
2026-01-01,Vật liệu,5.49
2026-01-01,Thực phẩm,5.34
2026-01-01,Công nghệ,3.34
2026-01-01,Hạ tầng,2.73
2026-01-01,Bảo hiểm,1.81
2026-01-01,Điện,1.39
2026-01-01,Đồ uống,1.02
2026-01-01,Xây dựng,0.97
2026-01-01,Dệt may,0.56
2026-01-01,Viễn thông,0.54
2026-01-01,Logistics,0.4
2026-01-01,Ô tô,0.18
2026-02-01,Ngân hàng,21.59
2026-02-01,Dầu khí,11.879999999999999
2026-02-01,Bán lẻ,10.989999999999998
