date,stock_code,industry,weight_pct,asset_value,type_asset
2018-12-01,MWG,Bán lẻ,12.36,137832360000,STOCK
2018-12-01,PNJ,Bán lẻ,5.63,62766472000,STOCK
2018-12-01,ACB,Ngân hàng,4.81,53565699200,STOCK
2018-12-01,TCB,Ngân hàng,4.61,51334998000,STOCK
2018-12-01,FPT,Công nghệ và thông tin,4.27,47601304600,STOCK
2018-12-01,VHM,Bất động sản,4.18,46561290000,STOCK
2018-12-01,HPG,Vật liệu xây dựng,3.89,43310130100,STOCK
2018-12-01,BID,Ngân hàng,3.82,42579976000,STOCK
2018-12-01,VCB,Ngân hàng,3.66,40793482500,STOCK
2018-12-01,MBB,Ngân hàng,3.2,35673906300,STOCK
2018-12-01,VNM,Thực phẩm - Đồ uống,2.92,32503560000,STOCK
2018-12-01,VJC,Vận tải - kho bãi,2.04,22731720000,STOCK
2018-12-01,KDH,Bất động sản,1.99,22139733000,STOCK
2018-12-01,GAS,Tiện ích,1.63,18224104000,STOCK
2018-12-01,MSN,Thực phẩm - Đồ uống,1.61,17914900000,STOCK
2018-12-01,SAB,Thực phẩm - Đồ uống,1.48,16456600000,STOCK
2018-12-01,SSI,Chứng khoán,1.37,15258990500,STOCK
2018-12-01,VPB,Ngân hàng,1.32,14752286850,STOCK
2018-12-01,VCI,Chứng khoán,1.26,14054376000,STOCK
2018-12-01,CTG,Ngân hàng,1.13,12612550000,STOCK
2018-12-01,PME,Chăm sóc sức khỏe,1.1,12312967500,STOCK
2018-12-01,ACV,Vận tải - kho bãi,1.06,11826000000,STOCK
2018-12-01,CTD,Xây dựng,1.04,11592000000,STOCK
2018-12-01,DXG,Bất động sản,0.86,9612820000,STOCK
2018-12-01,POW,Tiện ích,0.54,6059200000,STOCK
2018-12-01,PLX,Bán buôn,0.54,6026100000,STOCK
2018-12-01,NLG,Bất động sản,0.34,3766155000,STOCK
2018-12-01,VTP,Vận tải - kho bãi,0.24,2684180000,STOCK
2018-12-01,KBC,Bất động sản,0.22,2498500000,STOCK
2018-12-01,VIC,Bất động sản,0.21,2382785900,STOCK
2018-12-01,BOND,,7.19,80147300000,BOND
2018-12-01,CASH,,17.84,198883445853,CASH
2018-12-01,OTHER,,1.64,18295043671,OTHER
2019-01-01,MWG,Bán lẻ,8.13,87814830000,STOCK
2019-01-01,PNJ,Bán lẻ,5.92,63978700000,STOCK
2019-01-01,VHM,Bất động sản,4.7,50748000000,STOCK
2019-01-01,FPT,Công nghệ và thông tin,4.51,48729297600,STOCK
2019-01-01,TCB,Ngân hàng,4.15,44834820000,STOCK
2019-01-01,ACB,Ngân hàng,4.1,44236768800,STOCK
2019-01-01,VCB,Ngân hàng,4.01,43309716000,STOCK
2019-01-01,BID,Ngân hàng,3.61,38990385000,STOCK
2019-01-01,MBB,Ngân hàng,3.48,37539534600,STOCK
2019-01-01,VNM,Thực phẩm - Đồ uống,3.39,36566505000,STOCK
2019-01-01,HPG,Vật liệu xây dựng,3.22,34745716600,STOCK
2019-01-01,KDH,Bất động sản,1.87,20194120100,STOCK
2019-01-01,GAS,Tiện ích,1.71,18476632000,STOCK
2019-01-01,MSN,Thực phẩm - Đồ uống,1.66,17961132000,STOCK
2019-01-01,VJC,Vận tải - kho bãi,1.56,16849228500,STOCK
2019-01-01,SSI,Chứng khoán,1.38,14944077000,STOCK
2019-01-01,VPB,Ngân hàng,1.38,14937152600,STOCK
2019-01-01,SAB,Thực phẩm - Đồ uống,1.33,14334160000,STOCK
2019-01-01,CTG,Ngân hàng,1.19,12873950000,STOCK
2019-01-01,ACV,Vận tải - kho bãi,1.02,11050740000,STOCK
2019-01-01,VCI,Chứng khoán,1.01,10899312000,STOCK
2019-01-01,PME,Chăm sóc sức khỏe,0.99,10703556000,STOCK
2019-01-01,CTD,Xây dựng,0.9,9766260000,STOCK
2019-01-01,DXG,Bất động sản,0.87,9350285000,STOCK
2019-01-01,VIC,Bất động sản,0.64,6961611700,STOCK
2019-01-01,POW,Tiện ích,0.58,6229615000,STOCK
2019-01-01,PLX,Bán buôn,0.57,6128430000,STOCK
2019-01-01,KBC,Bất động sản,0.53,5752800000,STOCK
2019-01-01,VTP,Vận tải - kho bãi,0.39,4224000000,STOCK
2019-01-01,NLG,Bất động sản,0.35,3817246250,STOCK
2019-01-01,VRE,Bất động sản,0.08,831032000,STOCK
2019-01-01,BOND,,14.52,156803550000,BOND
2019-01-01,CASH,,15.37,165924601596,CASH
2019-01-01,OTHER,,0.88,9561654204,OTHER
2019-02-01,MWG,Bán lẻ,8.18,91835268000,STOCK
2019-02-01,PNJ,Bán lẻ,5.78,64921544000,STOCK
2019-02-01,VHM,Bất động sản,4.94,55505625000,STOCK
2019-02-01,FPT,Công nghệ và thông tin,4.82,54078390600,STOCK
2019-02-01,VCB,Ngân hàng,4.11,46130947500,STOCK
2019-02-01,TCB,Ngân hàng,3.99,44834820000,STOCK
2019-02-01,HPG,Vật liệu xây dựng,3.99,44834428800,STOCK
2019-02-01,ACB,Ngân hàng,3.98,44688164400,STOCK
2019-02-01,VIC,Bất động sản,3.64,40847682000,STOCK
2019-02-01,BID,Ngân hàng,3.58,40228175000,STOCK
2019-02-01,VNM,Thực phẩm - Đồ uống,3.4,38218769300,STOCK
2019-02-01,MBB,Ngân hàng,3.28,36853881000,STOCK
2019-02-01,GAS,Tiện ích,1.93,21647208000,STOCK
2019-02-01,KDH,Bất động sản,1.84,20663750800,STOCK
2019-02-01,MSN,Thực phẩm - Đồ uống,1.83,20550124000,STOCK
2019-02-01,VPB,Ngân hàng,1.55,17376884100,STOCK
2019-02-01,VJC,Vận tải - kho bãi,1.45,16235289000,STOCK
2019-02-01,SSI,Chứng khoán,1.42,15974703000,STOCK
2019-02-01,SAB,Thực phẩm - Đồ uống,1.31,14764800000,STOCK
2019-02-01,CTG,Ngân hàng,1.21,13592800000,STOCK
2019-02-01,VCI,Chứng khoán,1.18,13284480000,STOCK
2019-02-01,VRE,Bất động sản,1.04,11690910000,STOCK
2019-02-01,ACV,Vận tải - kho bãi,1.03,11563200000,STOCK
2019-02-01,PME,Chăm sóc sức khỏe,0.98,10955632500,STOCK
2019-02-01,DXG,Bất động sản,0.88,9895550000,STOCK
2019-02-01,CTD,Xây dựng,0.86,9693810000,STOCK
2019-02-01,KBC,Bất động sản,0.85,9573900000,STOCK
2019-02-01,VTP,Vận tải - kho bãi,0.57,6435600000,STOCK
2019-02-01,PLX,Bán buôn,0.57,6424050000,STOCK
2019-02-01,POW,Tiện ích,0.54,6097070000,STOCK
2019-02-01,NLG,Bất động sản,0.34,3853740000,STOCK
2019-02-01,BOND,,7.14,80147300000,BOND
2019-02-01,CASH,,17.18,192890826677,CASH
2019-02-01,OTHER,,0.59,6583739442,OTHER
2019-03-01,MWG,Bán lẻ,8.2,89719248000,STOCK
2019-03-01,PNJ,Bán lẻ,6.12,67009270000,STOCK
2019-03-01,VHM,Bất động sản,5.3,58043025000,STOCK
2019-03-01,FPT,Công nghệ và thông tin,5.26,57534431500,STOCK
2019-03-01,HPG,Vật liệu xây dựng,4.71,51595927600,STOCK
2019-03-01,VCB,Ngân hàng,4.64,50777513500,STOCK
2019-03-01,BID,Ngân hàng,4.05,44312882000,STOCK
2019-03-01,ACB,Ngân hàng,4.0,43803255600,STOCK
2019-03-01,TCB,Ngân hàng,3.91,42774528000,STOCK
2019-03-01,VIC,Bất động sản,3.79,41528476700,STOCK
2019-03-01,MBB,Ngân hàng,3.51,38396601600,STOCK
2019-03-01,VNM,Thực phẩm - Đồ uống,3.34,36512332400,STOCK
2019-03-01,GAS,Tiện ích,2.34,25575208000,STOCK
2019-03-01,KDH,Bất động sản,1.91,20950561700,STOCK
2019-03-01,MSN,Thực phẩm - Đồ uống,1.89,20666988000,STOCK
2019-03-01,VPB,Ngân hàng,1.44,15765352600,STOCK
2019-03-01,SAB,Thực phẩm - Đồ uống,1.4,15361544000,STOCK
2019-03-01,KBC,Bất động sản,1.35,14817600000,STOCK
2019-03-01,CTG,Ngân hàng,1.28,14020025000,STOCK
2019-03-01,VJC,Vận tải - kho bãi,1.12,12282711500,STOCK
2019-03-01,VRE,Bất động sản,1.12,12257742000,STOCK
2019-03-01,ACV,Vận tải - kho bãi,1.02,11129580000,STOCK
2019-03-01,BVH,Bảo hiểm,0.99,10887000000,STOCK
2019-03-01,VTP,Vận tải - kho bãi,0.94,10335600000,STOCK
2019-03-01,CTD,Xây dựng,0.92,10102530000,STOCK
2019-03-01,PME,Chăm sóc sức khỏe,0.89,9738490000,STOCK
2019-03-01,VCI,Chứng khoán,0.88,9598176000,STOCK
2019-03-01,SSI,Chứng khoán,0.88,9589904000,STOCK
2019-03-01,DXG,Bất động sản,0.81,8917770000,STOCK
2019-03-01,PLX,Bán buôn,0.62,6753780000,STOCK
2019-03-01,POW,Tiện ích,0.52,5737305000,STOCK
2019-03-01,NLG,Bất động sản,0.37,4014312500,STOCK
2019-03-01,BOND,,7.32,80147300000,BOND
2019-03-01,CASH,,12.53,137122604245,CASH
2019-03-01,OTHER,,0.61,6694097180,OTHER
2019-04-01,MWG,Bán lẻ,8.43,89060949000,STOCK
2019-04-01,PNJ,Bán lẻ,6.38,67413346000,STOCK
2019-04-01,FPT,Công nghệ và thông tin,5.93,62655628150,STOCK
2019-04-01,VCB,Ngân hàng,4.9,51730633500,STOCK
2019-04-01,HPG,Vật liệu xây dựng,4.88,51520828800,STOCK
2019-04-01,VHM,Bất động sản,4.83,51000200000,STOCK
2019-04-01,MBB,Ngân hàng,4.57,48253951200,STOCK
2019-04-01,BID,Ngân hàng,4.08,43075092000,STOCK
2019-04-01,ACB,Ngân hàng,3.92,41407125200,STOCK
2019-04-01,VNM,Thực phẩm - Đồ uống,3.33,35158017400,STOCK
2019-04-01,VIC,Bất động sản,3.27,34486688100,STOCK
2019-04-01,TCB,Ngân hàng,3.09,32623752000,STOCK
2019-04-01,GAS,Tiện ích,2.78,29377632000,STOCK
2019-04-01,KDH,Bất động sản,1.94,20487931000,STOCK
2019-04-01,MSN,Thực phẩm - Đồ uống,1.93,20348504000,STOCK
2019-04-01,SAB,Thực phẩm - Đồ uống,1.39,14715584000,STOCK
2019-04-01,KBC,Bất động sản,1.38,14565600000,STOCK
2019-04-01,CTG,Ngân hàng,1.26,13270625000,STOCK
2019-04-01,VRE,Bất động sản,1.21,12753720000,STOCK
2019-04-01,VJC,Vận tải - kho bãi,1.16,12219452900,STOCK
2019-04-01,ACV,Vận tải - kho bãi,1.03,10906200000,STOCK
2019-04-01,VPB,Ngân hàng,0.97,10238670150,STOCK
2019-04-01,BVH,Bảo hiểm,0.96,10153560000,STOCK
2019-04-01,VTP,Vận tải - kho bãi,0.96,10126800000,STOCK
2019-04-01,PME,Chăm sóc sức khỏe,0.87,9178425000,STOCK
2019-04-01,DXG,Bất động sản,0.81,8517870000,STOCK
2019-04-01,SSI,Chứng khoán,0.76,8064306000,STOCK
2019-04-01,VCI,Chứng khoán,0.75,7904376000,STOCK
2019-04-01,PLX,Bán buôn,0.67,7083510000,STOCK
2019-04-01,POW,Tiện ích,0.53,5604760000,STOCK
2019-04-01,NLG,Bất động sản,0.41,4313561250,STOCK
2019-04-01,VEA,SX Thiết bị - máy móc,0.15,1574400000,STOCK
2019-04-01,LHG,Bất động sản,0.08,795012000,STOCK
2019-04-01,BOND,,7.59,80147300000,BOND
2019-04-01,CASH,,10.75,113525177273,CASH
2019-04-01,OTHER,,2.06,21798496859,OTHER
2019-05-01,MWG,Bán lẻ,9.02,89889261000,STOCK
2019-05-01,PNJ,Bán lẻ,6.92,68919257000,STOCK
2019-05-01,VCB,Ngân hàng,5.14,51197328000,STOCK
2019-05-01,FPT,Công nghệ và thông tin,5.06,50425792200,STOCK
2019-05-01,MBB,Ngân hàng,4.84,48236141400,STOCK
2019-05-01,VHM,Bất động sản,4.56,45456700000,STOCK
2019-05-01,HPG,Vật liệu xây dựng,4.3,42800791800,STOCK
2019-05-01,BID,Ngân hàng,3.91,38990385000,STOCK
2019-05-01,VNM,Thực phẩm - Đồ uống,3.52,35076758500,STOCK
2019-05-01,VIC,Bất động sản,3.49,34759669800,STOCK
2019-05-01,ACB,Ngân hàng,3.42,34093908000,STOCK
2019-05-01,GAS,Tiện ích,3.05,30377375000,STOCK
2019-05-01,TCB,Ngân hàng,2.52,25151088000,STOCK
