date,industry,weight_pct
2018-12-01,Ngân hàng,22.54
2018-12-01,Bán lẻ,17.99
2018-12-01,Bất động sản,7.8
2018-12-01,Thực phẩm - Đồ uống,6.0
2018-12-01,Công nghệ và thông tin,4.27
2018-12-01,Vật liệu xây dựng,3.89
2018-12-01,Vận tải - kho bãi,3.34
2018-12-01,Chứng khoán,2.63
2018-12-01,Tiện ích,2.18
2018-12-01,Chăm sóc sức khỏe,1.1
2018-12-01,Xây dựng,1.04
2018-12-01,Bán buôn,0.54
2019-01-01,Ngân hàng,21.92
2019-01-01,Bán lẻ,14.05
2019-01-01,Bất động sản,9.04
2019-01-01,Thực phẩm - Đồ uống,6.38
2019-01-01,Công nghệ và thông tin,4.51
2019-01-01,Vật liệu xây dựng,3.22
2019-01-01,Vận tải - kho bãi,2.97
2019-01-01,Chứng khoán,2.39
2019-01-01,Tiện ích,2.29
2019-01-01,Chăm sóc sức khỏe,0.99
2019-01-01,Xây dựng,0.9
2019-01-01,Bán buôn,0.57
2019-02-01,Ngân hàng,21.7
2019-02-01,Bán lẻ,13.96
2019-02-01,Bất động sản,13.54
2019-02-01,Thực phẩm - Đồ uống,6.55
2019-02-01,Công nghệ và thông tin,4.82
2019-02-01,Vật liệu xây dựng,3.99
2019-02-01,Vận tải - kho bãi,3.05
2019-02-01,Chứng khoán,2.61
2019-02-01,Tiện ích,2.47
2019-02-01,Chăm sóc sức khỏe,0.98
2019-02-01,Xây dựng,0.86
2019-02-01,Bán buôn,0.57
2019-03-01,Ngân hàng,22.83
2019-03-01,Bất động sản,14.67
2019-03-01,Bán lẻ,14.32
2019-03-01,Thực phẩm - Đồ uống,6.63
2019-03-01,Công nghệ và thông tin,5.26
2019-03-01,Vật liệu xây dựng,4.71
2019-03-01,Vận tải - kho bãi,3.08
2019-03-01,Tiện ích,2.86
2019-03-01,Chứng khoán,1.75
2019-03-01,Bảo hiểm,0.99
2019-03-01,Xây dựng,0.92
2019-03-01,Chăm sóc sức khỏe,0.89
2019-03-01,Bán buôn,0.62
2019-04-01,Ngân hàng,22.78
2019-04-01,Bán lẻ,14.82
2019-04-01,Bất động sản,13.91
2019-04-01,Thực phẩm - Đồ uống,6.65
2019-04-01,Công nghệ và thông tin,5.93
2019-04-01,Vật liệu xây dựng,4.88
2019-04-01,Tiện ích,3.31
2019-04-01,Vận tải - kho bãi,3.15
2019-04-01,Chứng khoán,1.51
2019-04-01,Bảo hiểm,0.96
2019-04-01,Chăm sóc sức khỏe,0.87
2019-04-01,Bán buôn,0.67
2019-04-01,SX Thiết bị - máy móc,0.15
2019-05-01,Ngân hàng,21.98
2019-05-01,Bán lẻ,15.94
2019-05-01,Bất động sản,14.08
2019-05-01,Thực phẩm - Đồ uống,7.18
2019-05-01,Công nghệ và thông tin,5.06
2019-05-01,Vật liệu xây dựng,4.3
2019-05-01,Tiện ích,3.63
2019-05-01,Vận tải - kho bãi,3.45
2019-05-01,SX Nhựa - Hóa chất,0.98
2019-05-01,Chế biến Thủy sản,0.91
2019-05-01,Bảo hiểm,0.88
2019-05-01,Bán buôn,0.72
2019-05-01,Chứng khoán,0.68
2019-05-01,Khai khoáng,0.34
2019-05-01,SX Thiết bị - máy móc,0.17
2019-05-01,Xây dựng,0.0
2019-05-01,Chăm sóc sức khỏe,0.0
2019-06-01,Ngân hàng,21.12
2019-06-01,Bán lẻ,14.84
2019-06-01,Bất động sản,14.03
2019-06-01,Thực phẩm - Đồ uống,6.89
2019-06-01,Công nghệ và thông tin,5.14
2019-06-01,Vật liệu xây dựng,3.64
2019-06-01,Vận tải - kho bãi,3.57
2019-06-01,Tiện ích,3.5
2019-06-01,SX Nhựa - Hóa chất,1.31
2019-06-01,Bảo hiểm,0.92
2019-06-01,Chế biến Thủy sản,0.87
2019-06-01,Bán buôn,0.67
2019-06-01,Khai khoáng,0.44
2019-06-01,Chứng khoán,0.38
2019-06-01,SX Thiết bị - máy móc,0.18
2019-06-01,Xây dựng,0.0
2019-06-01,Chăm sóc sức khỏe,0.0
2019-07-01,Ngân hàng,21.91
2019-07-01,Bất động sản,16.05
2019-07-01,Bán lẻ,14.87
2019-07-01,Thực phẩm - Đồ uống,6.93
2019-07-01,Công nghệ và thông tin,5.55
2019-07-01,Tiện ích,4.62
2019-07-01,Vận tải - kho bãi,1.6
2019-07-01,SX Nhựa - Hóa chất,1.59
2019-07-01,Vật liệu xây dựng,1.5
2019-07-01,Bảo hiểm,1.02
2019-07-01,Chế biến Thủy sản,0.94
2019-07-01,Bán buôn,0.79
2019-07-01,Khai khoáng,0.43
2019-07-01,Chứng khoán,0.33
2019-07-01,SX Thiết bị - máy móc,0.21
2019-07-01,Xây dựng,0.0
2019-07-01,Chăm sóc sức khỏe,0.0
2019-08-01,Ngân hàng,22.57
2019-08-01,Bất động sản,17.02
2019-08-01,Bán lẻ,15.73
2019-08-01,Thực phẩm - Đồ uống,6.94
2019-08-01,Công nghệ và thông tin,6.48
2019-08-01,Tiện ích,5.09
2019-08-01,SX Nhựa - Hóa chất,1.68
2019-08-01,Chế biến Thủy sản,1.49
2019-08-01,Vật liệu xây dựng,1.46
