date,industry,weight_pct
2026-07-01,Ngân hàng,26.79
2026-07-01,Bất động sản,13.93
2026-07-01,Vật liệu xây dựng,3.7
2026-07-01,Chứng khoán,3.3
2026-07-01,Thực phẩm - Đồ uống,1.92
2026-07-01,Công nghệ và thông tin,1.82
2026-07-01,Bán lẻ,1.58
2026-07-01,Tiện ích,1.32
2026-07-01,Sản xuất Nhựa - Hóa chất,1.32
2026-07-01,Thiết bị điện,1.24
2026-07-01,Sản xuất Phụ trợ,1.12
2026-07-01,Dịch vụ lưu trú, ăn uống, giải trí,0.9
2026-07-01,Sản xuất,0.76
2026-07-01,Vận tải - Kho bãi,0.7
2026-07-01,Khai khoáng,0.62
