date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,VIC,Bất động sản,18.44,470469763000,STOCK
2026-07-01,VCB,Ngân hàng,9.1,232247264000,STOCK
2026-07-01,VHM,Bất động sản,8.32,212271730000,STOCK
2026-07-01,BID,Ngân hàng,3.78,96421200000,STOCK
2026-07-01,STB,Ngân hàng,3.56,90850460000,STOCK
2026-07-01,CTG,Ngân hàng,3.33,84973380800,STOCK
2026-07-01,HPG,Vật liệu xây dựng,3.1,79050062000,STOCK
2026-07-01,MBB,Ngân hàng,3.09,78887385000,STOCK
2026-07-01,TCB,Ngân hàng,2.92,74540460000,STOCK
2026-07-01,VPB,Ngân hàng,2.83,72267200000,STOCK
2026-08-01,VIC,Bất động sản,19.52,518593480000,STOCK
2026-08-01,VCB,Ngân hàng,8.86,235380448000,STOCK
2026-08-01,VHM,Bất động sản,7.58,201326700000,STOCK
2026-08-01,BID,Ngân hàng,3.99,106106848100,STOCK
2026-08-01,STB,Ngân hàng,3.62,96202100000,STOCK
2026-08-01,CTG,Ngân hàng,3.54,94095178200,STOCK
2026-08-01,MBB,Ngân hàng,3.18,84559344550,STOCK
2026-08-01,TCB,Ngân hàng,3.14,83326320000,STOCK
2026-08-01,VPB,Ngân hàng,2.95,78507200000,STOCK
2026-08-01,HPG,Vật liệu xây dựng,2.71,71894836000,STOCK
