date,industry,weight_pct
2026-07-01,Ngân hàng,37.17
2026-07-01,Bất động sản,28.48
2026-07-01,Chứng khoán,4.88
2026-07-01,Thực phẩm - Đồ uống,4.28
2026-07-01,Vật liệu xây dựng,3.37
2026-07-01,Bán lẻ,3.29
2026-07-01,Tiện ích,2.45
2026-07-01,Sản xuất Nhựa - Hóa chất,1.92
2026-07-01,Công nghệ và thông tin,1.82
2026-07-01,Dịch vụ lưu trú, ăn uống, giải trí,1.68
2026-07-01,Thiết bị điện,1.62
2026-07-01,Sản xuất,1.45
2026-07-01,Sản xuất Phụ trợ,1.13
2026-07-01,Vận tải - Kho bãi,1.01
2026-07-01,Khai khoáng,0.75
2026-07-01,Bán buôn,0.01
2026-08-01,Ngân hàng,36.74
2026-08-01,Bất động sản,28.84
2026-08-01,Chứng khoán,6.59
2026-08-01,Thực phẩm - Đồ uống,4.24
2026-08-01,Bán lẻ,3.31
2026-08-01,Vật liệu xây dựng,3.01
2026-08-01,Tiện ích,2.59
2026-08-01,Sản xuất Nhựa - Hóa chất,2.11
2026-08-01,Công nghệ và thông tin,1.77
2026-08-01,Dịch vụ lưu trú, ăn uống, giải trí,1.57
2026-08-01,Thiết bị điện,1.56
2026-08-01,Sản xuất,1.46
2026-08-01,Sản xuất Phụ trợ,1.22
2026-08-01,Vận tải - Kho bãi,1.0
2026-08-01,Khai khoáng,0.82
2026-08-01,Bán buôn,0.01
