date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,HPG,Vật liệu xây dựng,8.98,3819200000,STOCK
2026-07-01,PHP,Vận tải - Kho bãi,7.96,3384700000,STOCK
2026-07-01,MBB,Ngân hàng,5.92,2520000000,STOCK
2026-07-01,MSN,Thực phẩm - Đồ uống,4.66,1983000000,STOCK
2026-07-01,FPT,Công nghệ và thông tin,4.57,1945900000,STOCK
2026-07-01,HHV,Xây dựng,4.42,1882440000,STOCK
2026-07-01,VNM,Thực phẩm - Đồ uống,4.29,1827000000,STOCK
2026-07-01,MWG,Bán lẻ,4.27,1817400000,STOCK
2026-07-01,CTG,Ngân hàng,3.81,1620080000,STOCK
2026-07-01,PVD,Khai khoáng,3.63,1544909850,STOCK
2026-08-01,PHP,Vận tải - Kho bãi,9.47,4253500000,STOCK
2026-08-01,HPG,Vật liệu xây dựng,8.66,3889600000,STOCK
2026-08-01,MBB,Ngân hàng,6.04,2711240000,STOCK
2026-08-01,FPT,Công nghệ và thông tin,4.73,2122800000,STOCK
2026-08-01,MSN,Thực phẩm - Đồ uống,4.69,2106000000,STOCK
2026-08-01,MWG,Bán lẻ,4.34,1950000000,STOCK
2026-08-01,HHV,Xây dựng,4.23,1899450000,STOCK
2026-08-01,VNM,Thực phẩm - Đồ uống,4.16,1869000000,STOCK
2026-08-01,CTG,Ngân hàng,3.74,1680570000,STOCK
2026-08-01,PVD,Khai khoáng,3.63,1630028850,STOCK
