date,industry,weight_pct
2026-07-01,Ngân hàng,12.32
2026-07-01,Thực phẩm - Đồ uống,10.81
2026-07-01,Vật liệu xây dựng,8.98
2026-07-01,Vận tải - Kho bãi,8.57
2026-07-01,Chế biến thủy sản,5.3
2026-07-01,Công nghệ và thông tin,4.57
2026-07-01,Xây dựng,4.42
2026-07-01,Bán lẻ,4.27
2026-07-01,Bất động sản,3.66
2026-07-01,Khai khoáng,3.63
2026-07-01,Chứng khoán,3.57
2026-07-01,Bán buôn,2.97
2026-07-01,Tiện ích,1.53
2026-08-01,Ngân hàng,12.61
2026-08-01,Thực phẩm - Đồ uống,10.62
2026-08-01,Vận tải - Kho bãi,9.95
2026-08-01,Vật liệu xây dựng,8.66
2026-08-01,Công nghệ và thông tin,4.73
2026-08-01,Bán lẻ,4.34
2026-08-01,Xây dựng,4.23
2026-08-01,Bất động sản,3.82
2026-08-01,Khai khoáng,3.63
2026-08-01,Chứng khoán,3.52
2026-08-01,Bán buôn,3.24
2026-08-01,Chế biến thủy sản,2.11
2026-08-01,Tiện ích,1.45
