date,industry,weight_pct
2026-07-01,Ngân hàng,28.44
2026-07-01,Xây dựng,14.07
2026-07-01,Chăm sóc sức khỏe,11.28
2026-07-01,Bất động sản,7.96
2026-07-01,Chứng khoán,6.9
2026-07-01,Vật liệu xây dựng,6.23
2026-07-01,Thực phẩm - Đồ uống,6.0
2026-07-01,Bán lẻ,4.59
2026-07-01,Sản xuất Nhựa - Hóa chất,4.33
2026-07-01,Bán buôn,3.35
2026-07-01,Công nghệ và thông tin,1.71
2026-07-01,Sản xuất Phụ trợ,0.96
2026-08-01,Ngân hàng,30.51
2026-08-01,Chăm sóc sức khỏe,10.67
2026-08-01,Bất động sản,8.15
2026-08-01,Chứng khoán,7.37
2026-08-01,Vật liệu xây dựng,6.12
2026-08-01,Thực phẩm - Đồ uống,5.98
2026-08-01,Sản xuất Nhựa - Hóa chất,5.37
2026-08-01,Bán lẻ,4.78
2026-08-01,Bán buôn,3.77
2026-08-01,Xây dựng,3.52
2026-08-01,Công nghệ và thông tin,1.81
2026-08-01,Sản xuất Phụ trợ,1.77
