date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,CTG,Ngân hàng,10.85,61815827000,STOCK
2025-02-01,FPT,Công nghệ,6.9,39284000000,STOCK
2025-02-01,VCB,Ngân hàng,6.72,38253000000,STOCK
2025-02-01,HPG,Vật liệu,5.8,33040000000,STOCK
2025-02-01,MBB,Ngân hàng,5.64,32108000000,STOCK
2025-02-01,VPB,Ngân hàng,4.81,27406000000,STOCK
2025-02-01,ACB,Ngân hàng,4.79,27300000000,STOCK
2025-02-01,GMD,Hạ tầng,4.05,23066000000,STOCK
2025-02-01,KDH,BĐS,3.43,19530500000,STOCK
2025-02-01,STB,Ngân hàng,3.06,17403750000,STOCK
2025-02-01,PNJ,Bán lẻ,2.81,15980000000,STOCK
2025-02-01,IDC,BĐS,2.61,14872000000,STOCK
2025-02-01,DPG,Xây dựng,2.56,14595000000,STOCK
2025-02-01,MWG,Bán lẻ,2.56,14575000000,STOCK
2025-02-01,PAN,Thực phẩm,2.48,14125000000,STOCK
2025-02-01,MSN,Thực phẩm,2.38,13540000000,STOCK
2025-02-01,DCM,Vật liệu,2.3,13079500000,STOCK
2025-02-01,HCM,Chứng khoán,2.3,13083000000,STOCK
2025-02-01,SSI,Chứng khoán,2.29,13044800000,STOCK
2025-02-01,KBC,BĐS,2.24,12771000000,STOCK
2025-02-01,DGC,Vật liệu,2.15,12265000000,STOCK
2025-02-01,NT2,Điện,2.0,11385000000,STOCK
2025-02-01,BID,Ngân hàng,1.97,11199825000,STOCK
2025-02-01,TCB,Ngân hàng,1.83,10440000000,STOCK
2025-02-01,REE,Hạ tầng,1.65,9412000000,STOCK
2025-02-01,TPB,Ngân hàng,1.32,7515000000,STOCK
2025-02-01,PVD,Dầu khí,1.09,6187500000,STOCK
2025-02-01,NLG,BĐS,0.61,3470000000,STOCK
2025-02-01,OCB,Ngân hàng,0.59,3375000000,STOCK
2025-03-01,CTG,Ngân hàng,10.28,53451350100,STOCK
2025-03-01,HPG,Vật liệu,7.1,36915000000,STOCK
2025-03-01,MBB,Ngân hàng,6.7,34848600000,STOCK
2025-03-01,VCB,Ngân hàng,5.82,30268800000,STOCK
2025-03-01,FPT,Công nghệ,5.35,27830000000,STOCK
2025-03-01,VPB,Ngân hàng,5.08,26410000000,STOCK
2025-03-01,ACB,Ngân hàng,4.85,25220000000,STOCK
2025-03-01,GMD,Hạ tầng,4.2,21850000000,STOCK
2025-03-01,TCB,Ngân hàng,3.7,19250000000,STOCK
2025-03-01,STB,Ngân hàng,2.91,15128500000,STOCK
