date,stock_code,industry,weight_pct,asset_value,type_asset
2026-01-01,NVL122001,,61.4,173425776524,BOND
2026-01-01,VIC124004,,8.84,24976432500,BOND
2026-01-01,VDS12504,,5.31,15000000000,BOND
2026-01-01,CASH,,24.44,69028442603,CASH
2026-02-01,NVL122001,,61.15,173425776524,BOND
2026-02-01,VIC124004,,10.51,29800000000,BOND
2026-02-01,VDS12504,,5.29,15000000000,BOND
2026-02-01,CASH,,23.04,65366960097,CASH
2026-03-01,NVL122001,,61.82,173425776524,BOND
2026-03-01,VDS12504,,5.35,15000000000,BOND
2026-03-01,NLG12501,,3.21,8999999963,BOND
2026-03-01,BAF123020,,3.03,8510802553,BOND
2026-03-01,CASH,,26.6,74574762050,CASH
2026-04-01,NVL122001,,62.3,173425776524,BOND
2026-04-01,VDS12504,,5.39,15000000000,BOND
2026-04-01,NLG12501,,4.68,13025999999,BOND
2026-04-01,BAF123020,,3.07,8537826045,BOND
2026-04-01,CASH,,24.57,68385363136,CASH
2026-05-01,NVL122001,,61.8,173425776524,BOND
2026-05-01,VDS12504,,5.35,15000000000,BOND
2026-05-01,NLG12501,,4.63,12999999986,BOND
2026-05-01,BAF123020,,2.69,7557729369,BOND
2026-05-01,CASH,,25.52,71618040665,CASH
2026-06-01,NVL122001,,62.53,173425776524,BOND
2026-06-01,NLG12501,,7.88,21855847631,BOND
2026-06-01,VDS12504,,5.41,15000000000,BOND
2026-06-01,CASH,,24.18,67083307656,CASH
2026-07-01,NVL122001,,62.95,173425776524,BOND
2026-07-01,VDS12504,,5.44,15000000000,BOND
2026-07-01,NLG12501,,3.23,8899999971,BOND
2026-07-01,CASH,,3.84,10579286125,CASH
2026-07-01,OTHER,,24.53,67579163719,OTHER
