date,industry,weight_pct
2025-02-01,Ngân hàng,26.0
2025-02-01,Vật liệu,7.1
2025-02-01,Công nghệ,5.32
2025-02-01,BĐS,5.3100000000000005
2025-02-01,Bán lẻ,3.95
2025-02-01,Chứng khoán,3.56
2025-02-01,Thực phẩm,2.99
2025-02-01,Hạ tầng,2.82
2025-02-01,Điện,1.32
2025-02-01,Xây dựng,1.24
2025-02-01,Dầu khí,1.18
2025-03-01,Ngân hàng,27.939999999999998
2025-03-01,Vật liệu,5.96
2025-03-01,BĐS,5.76
2025-03-01,Công nghệ,4.47
2025-03-01,Bán lẻ,3.98
2025-03-01,Chứng khoán,3.7299999999999995
2025-03-01,Hạ tầng,3.3499999999999996
2025-03-01,Thực phẩm,2.36
2025-03-01,Xây dựng,1.39
2025-03-01,Điện,1.35
2025-03-01,Dầu khí,1.12
2025-03-01,Ô tô,0.66
2025-04-01,Ngân hàng,21.67
2025-04-01,Vật liệu,6.62
2025-04-01,BĐS,4.75
2025-04-01,Thực phẩm,2.9099999999999997
2025-04-01,Xây dựng,2.7
2025-04-01,Công nghệ,2.66
2025-04-01,Hạ tầng,2.6399999999999997
2025-04-01,Bán lẻ,2.17
2025-04-01,Điện,1.24
2025-04-01,Chứng khoán,0.76
2025-05-01,Bán lẻ,25.65
2025-05-01,Ngân hàng,22.89
2025-05-01,Vật liệu,5.71
2025-05-01,Thực phẩm,4.58
2025-05-01,BĐS,3.98
2025-05-01,Hạ tầng,3.79
2025-05-01,Chứng khoán,2.8200000000000003
2025-05-01,Công nghệ,2.78
2025-05-01,Bảo hiểm,1.58
2025-05-01,Xây dựng,1.37
2025-05-01,Ô tô,1.37
2025-05-01,Vận tải,1.31
2025-05-01,Điện,1.29
2025-06-01,Ngân hàng,22.599999999999998
2025-06-01,BĐS,5.9
2025-06-01,Vật liệu,5.28
2025-06-01,Công nghệ,4.95
2025-06-01,Hạ tầng,4.77
2025-06-01,Bán lẻ,3.9
2025-06-01,Thực phẩm,3.58
2025-06-01,Chứng khoán,3.55
2025-06-01,Dầu khí,1.8900000000000001
2025-06-01,Bảo hiểm,1.63
2025-06-01,Xây dựng,1.46
2025-06-01,Ô tô,1.36
2025-06-01,Vận tải,1.29
2025-06-01,Điện,0.92
2025-07-01,Ngân hàng,23.090000000000003
2025-07-01,BĐS,7.28
2025-07-01,Vật liệu,5.48
2025-07-01,Chứng khoán,4.58
2025-07-01,Công nghệ,4.54
2025-07-01,Hạ tầng,3.58
2025-07-01,Bán lẻ,3.28
2025-07-01,Xây dựng,1.99
2025-07-01,Ô tô,1.59
2025-07-01,Bảo hiểm,1.47
2025-07-01,Thực phẩm,1.3699999999999999
2025-07-01,Vận tải,1.09
2025-07-01,Dầu khí,1.03
2025-08-01,Ngân hàng,21.39
2025-08-01,BĐS,6.81
2025-08-01,Chứng khoán,5.869999999999999
2025-08-01,Vật liệu,5.21
2025-08-01,Công nghệ,3.88
2025-08-01,Bán lẻ,3.71
2025-08-01,Hạ tầng,2.12
2025-08-01,Xây dựng,1.8
2025-08-01,Bảo hiểm,1.48
2025-08-01,Vận tải,1.17
2025-08-01,Ô tô,1.17
2025-08-01,Dầu khí,0.96
2025-09-01,BĐS,36.300000000000004
2025-09-01,Ngân hàng,16.78
2025-09-01,Vật liệu,4.32
2025-09-01,Bán lẻ,3.9
2025-09-01,Chứng khoán,3.6
2025-09-01,Xây dựng,1.92
2025-09-01,Bảo hiểm,1.47
2025-09-01,Vận tải,1.17
2025-09-01,Hạ tầng,0.99
2025-09-01,Công nghệ,0.85
2025-09-01,Ô tô,0.82
2025-10-01,Ngân hàng,17.07
2025-10-01,BĐS,5.79
2025-10-01,Bán lẻ,4.75
2025-10-01,Vật liệu,4.07
2025-10-01,Chứng khoán,3.7
2025-10-01,Xây dựng,2.53
2025-10-01,Bảo hiểm,1.34
2025-10-01,Vận tải,1.05
2025-10-01,Hạ tầng,0.99
2025-10-01,Công nghệ,0.94
2025-10-01,Ô tô,0.79
2025-11-01,Ngân hàng,18.32
2025-11-01,BĐS,7.49
2025-11-01,Bán lẻ,4.73
2025-11-01,Vật liệu,4.18
2025-11-01,Chứng khoán,3.32
2025-11-01,Xây dựng,2.16
2025-11-01,Bảo hiểm,1.42
2025-11-01,Hạ tầng,1.01
2025-11-01,Vận tải,0.99
2025-11-01,Công nghệ,0.9
2025-11-01,Ô tô,0.81
2025-11-01,Thực phẩm,0.79
2025-12-01,Ngân hàng,19.200000000000003
2025-12-01,BĐS,8.540000000000001
2025-12-01,Bán lẻ,6.159999999999999
2025-12-01,Vật liệu,4.13
2025-12-01,Chứng khoán,3.19
2025-12-01,Xây dựng,2.0
2025-12-01,Bảo hiểm,1.54
2025-12-01,Dầu khí,1.39
2025-12-01,Hạ tầng,0.94
2025-12-01,Công nghệ,0.89
2025-12-01,Thực phẩm,0.78
2025-12-01,Ô tô,0.72
2025-12-01,Vận tải,0.04
2026-01-01,Ngân hàng,19.259999999999998
2026-01-01,Bán lẻ,6.72
2026-01-01,BĐS,5.3
2026-01-01,Vật liệu,5.2299999999999995
2026-01-01,Dầu khí,3.46
2026-01-01,Hạ tầng,3.21
2026-01-01,Thực phẩm,3.0199999999999996
2026-01-01,Chứng khoán,2.99
2026-01-01,Công nghệ,1.98
2026-01-01,Xây dựng,1.97
2026-01-01,Bảo hiểm,1.84
2026-02-01,Ngân hàng,18.64
2026-02-01,Bán lẻ,6.61
2026-02-01,Vật liệu,6.260000000000001
2026-02-01,BĐS,4.960000000000001
2026-02-01,Hạ tầng,4.29
2026-02-01,Dầu khí,3.96
2026-02-01,Thực phẩm,3.54
2026-02-01,Chứng khoán,3.5199999999999996
2026-02-01,Xây dựng,2.26
2026-02-01,Bảo hiểm,1.49
2026-02-01,Công nghệ,1.14
2026-03-01,Ngân hàng,16.45
2026-03-01,Vật liệu,6.459999999999999
2026-03-01,Bán lẻ,5.81
2026-03-01,Hạ tầng,3.91
2026-03-01,Thực phẩm,3.38
2026-03-01,BĐS,3.1000000000000005
2026-03-01,Chứng khoán,2.8
2026-03-01,Dầu khí,2.39
2026-03-01,Bảo hiểm,1.87
2026-03-01,Xây dựng,1.11
2026-04-01,Ngân hàng,19.4
2026-04-01,BĐS,7.380000000000001
2026-04-01,Bán lẻ,6.1
2026-04-01,Vật liệu,5.25
2026-04-01,Thực phẩm,3.12
2026-04-01,Chứng khoán,3.0999999999999996
2026-04-01,Hạ tầng,2.5
2026-04-01,Dầu khí,2.23
2026-04-01,Xây dựng,1.49
2026-04-01,Bảo hiểm,1.09
2026-05-01,Ngân hàng,18.65
2026-05-01,BĐS,9.54
2026-05-01,Bán lẻ,5.390000000000001
2026-05-01,Vật liệu,5.18
2026-05-01,Chứng khoán,3.4699999999999998
2026-05-01,Thực phẩm,2.98
2026-05-01,Dầu khí,1.67
2026-05-01,Hạ tầng,1.58
2026-05-01,Bảo hiểm,1.08
2026-05-01,Xây dựng,1.01
2026-06-01,Ngân hàng,16.82
2026-06-01,BĐS,7.9
2026-06-01,Bán lẻ,5.36
2026-06-01,Vật liệu,3.8699999999999997
2026-06-01,Chứng khoán,3.42
2026-06-01,Thực phẩm,2.84
2026-06-01,Công nghệ,1.69
2026-06-01,Dầu khí,1.12
2026-06-01,Hạ tầng,1.12
2026-06-01,Bảo hiểm,1.03
2026-06-01,Xây dựng,1.03
2026-06-01,Điện,0.48
2026-07-01,Ngân hàng,13.79
2026-07-01,BĐS,7.760000000000001
2026-07-01,Bán lẻ,4.96
