date,stock_code,industry,weight_pct,asset_value,type_asset
2026-03-01,MBB,Ngân hàng,11.5,0,STOCK
2026-03-01,HCM,Chứng khoán,6.6,0,STOCK
2026-03-01,FPT,Công nghệ và thông tin,5.4,0,STOCK
2026-03-01,STB,Ngân hàng,5.0,0,STOCK
2026-03-01,TCB,Ngân hàng,4.4,0,STOCK
2026-03-01,CTD,Xây dựng,4.4,0,STOCK
2026-03-01,HPG,Vật liệu xây dựng,4.4,0,STOCK
2026-03-01,MWG,Bán lẻ,4.1,0,STOCK
2026-03-01,MSN,Thực phẩm - Đồ uống,4.0,0,STOCK
2026-03-01,SSI,Chứng khoán,3.9,0,STOCK
2026-07-01,MBB,Ngân hàng,11.5,0,STOCK
2026-07-01,HCM,Chứng khoán,6.6,0,STOCK
2026-07-01,FPT,Công nghệ và thông tin,5.4,0,STOCK
2026-07-01,STB,Ngân hàng,5.0,0,STOCK
2026-07-01,TCB,Ngân hàng,4.4,0,STOCK
2026-07-01,CTD,Xây dựng,4.4,0,STOCK
2026-07-01,HPG,Vật liệu xây dựng,4.4,0,STOCK
2026-07-01,MWG,Bán lẻ,4.1,0,STOCK
2026-07-01,MSN,Thực phẩm - Đồ uống,4.0,0,STOCK
2026-07-01,SSI,Chứng khoán,3.9,0,STOCK
