date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,VPB,Ngân hàng,4.32,1240000000,STOCK
2026-07-01,CTD,Xây dựng,2.59,744200000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,0.34,97650000,STOCK
2026-08-01,MBB,Ngân hàng,4.97,1473500000,STOCK
2026-08-01,TCH,Bất động sản,4.97,1474000000,STOCK
2026-08-01,KDH,Bất động sản,4.91,1456000000,STOCK
2026-08-01,VND,Chứng khoán,4.78,1415250000,STOCK
2026-08-01,CTD,Xây dựng,4.66,1381600000,STOCK
2026-08-01,BID,Ngân hàng,4.35,1289750000,STOCK
2026-08-01,CTG,Ngân hàng,4.31,1278000000,STOCK
