date,industry,weight_pct
2026-07-01,Bất động sản,31.41
2026-07-01,Ngân hàng,22.33
2026-07-01,Vận tải - Kho bãi,3.5
2026-07-01,Vật liệu xây dựng,3.27
2026-07-01,Bán lẻ,2.74
2026-07-01,Thực phẩm - Đồ uống,2.72
2026-07-01,Chứng khoán,2.01
2026-07-01,Xây dựng,1.99
2026-07-01,Sản xuất Nhựa - Hóa chất,1.81
2026-07-01,Thiết bị điện,1.49
2026-08-01,Bất động sản,28.11
2026-08-01,Ngân hàng,25.68
2026-08-01,Thực phẩm - Đồ uống,9.89
2026-08-01,Vận tải - Kho bãi,3.59
2026-08-01,Vật liệu xây dựng,3.19
2026-08-01,Bán lẻ,2.82
2026-08-01,Chứng khoán,2.07
2026-08-01,Xây dựng,1.96
2026-08-01,Sản xuất Nhựa - Hóa chất,1.88
2026-08-01,Thiết bị điện,1.4
2026-08-01,Công nghệ và thông tin,0.8
