date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,DRI,Sản phẩm cao su,4.67,3046980000,STOCK
2026-07-01,TLG,Sản xuất Phụ trợ,4.49,2929290000,STOCK
2026-07-01,VIP,Vận tải - Kho bãi,4.3,2800000000,STOCK
2026-07-01,FMC,Chế biến thủy sản,4.2,2738465000,STOCK
2026-07-01,FPT,Công nghệ và thông tin,4.12,2684000000,STOCK
2026-07-01,DPR,Sản xuất Nhựa - Hóa chất,2.21,1440000000,STOCK
2026-07-01,MWG,Bán lẻ,2.14,1398000000,STOCK
2026-07-01,BWE,Tiện ích,1.33,867000000,STOCK
2026-07-01,SIP,Tiện ích,1.07,697450000,STOCK
2026-07-01,HPA,Thực phẩm - Đồ uống,0.02,15950000,STOCK
