date,industry,weight_pct
2026-07-01,Sản phẩm cao su,4.67
2026-07-01,Sản xuất Phụ trợ,4.49
2026-07-01,Vận tải - Kho bãi,4.3
2026-07-01,Chế biến thủy sản,4.2
2026-07-01,Công nghệ và thông tin,4.12
2026-07-01,Tiện ích,2.4
2026-07-01,Sản xuất Nhựa - Hóa chất,2.21
2026-07-01,Bán lẻ,2.14
2026-07-01,Thực phẩm - Đồ uống,0.02
2026-08-01,Sản phẩm cao su,4.98
2026-08-01,Sản xuất Phụ trợ,4.81
2026-08-01,Chế biến thủy sản,4.1
2026-08-01,Vận tải - Kho bãi,4.09
2026-08-01,Công nghệ và thông tin,3.28
2026-08-01,Tiện ích,2.33
2026-08-01,Bán lẻ,2.24
2026-08-01,Sản xuất Nhựa - Hóa chất,2.22
2026-08-01,Thực phẩm - Đồ uống,0.02
