date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,CTG,Ngân hàng,12.32,37839700000,STOCK
2025-02-01,STB,Ngân hàng,10.76,33032700000,STOCK
2025-02-01,HPG,Vật liệu,5.06,15541680000,STOCK
2025-02-01,BCM,BĐS,4.97,15253550000,STOCK
2025-02-01,HDB,Ngân hàng,4.76,14620615000,STOCK
2025-02-01,VPB,Ngân hàng,4.73,14519390000,STOCK
2025-02-01,ACB,Ngân hàng,4.7,14439022000,STOCK
2025-02-01,MSN,Thực phẩm,4.69,14406560000,STOCK
2025-02-01,VCB,Ngân hàng,4.67,14333399100,STOCK
2025-02-01,FPT,Công nghệ,4.66,14314809000,STOCK
2025-02-01,MBB,Ngân hàng,4.66,14306345000,STOCK
2025-02-01,TPB,Ngân hàng,4.66,14315908000,STOCK
2025-02-01,BVH,Bảo hiểm,4.61,14166980000,STOCK
2025-02-01,SSI,Chứng khoán,4.61,14155186000,STOCK
2025-02-01,REE,Hạ tầng,4.44,13647400000,STOCK
2025-02-01,MWG,Bán lẻ,3.9,11963160000,STOCK
2025-02-01,VIB,Ngân hàng,2.19,6729225000,STOCK
2025-02-01,GAS,Dầu khí,1.94,5963600000,STOCK
2025-02-01,GVR,Ô tô,1.62,4976600000,STOCK
2025-03-01,CTG,Ngân hàng,13.53,37794110000,STOCK
2025-03-01,STB,Ngân hàng,11.84,33075880000,STOCK
2025-03-01,BCM,BĐS,5.4,15072200000,STOCK
2025-03-01,MBB,Ngân hàng,5.37,14990561500,STOCK
2025-03-01,ACB,Ngân hàng,4.87,13612222000,STOCK
2025-03-01,REE,Hạ tầng,4.82,13458900000,STOCK
2025-03-01,VPB,Ngân hàng,4.82,13471000000,STOCK
2025-03-01,BVH,Bảo hiểm,4.78,13340990000,STOCK
2025-03-01,VCB,Ngân hàng,4.77,13317568000,STOCK
2025-03-01,HPG,Vật liệu,4.73,13213430000,STOCK
2025-03-01,SSI,Chứng khoán,4.72,13198120000,STOCK
2025-03-01,MSN,Thực phẩm,4.71,13146240000,STOCK
2025-03-01,HDB,Ngân hàng,4.64,12968280000,STOCK
2025-03-01,MWG,Bán lẻ,4.33,12106800000,STOCK
2025-03-01,FPT,Công nghệ,2.5,6997430000,STOCK
2025-03-01,GVR,Ô tô,2.42,6771600000,STOCK
2025-03-01,VIB,Ngân hàng,2.3,6437355000,STOCK
2025-03-01,VHM,BĐS,2.2,6156000000,STOCK
2025-03-01,GAS,Dầu khí,2.1,5858360000,STOCK
2025-04-01,CTG,Ngân hàng,12.87,33918960000,STOCK
2025-04-01,STB,Ngân hàng,12.81,33766760000,STOCK
2025-04-01,MBB,Ngân hàng,10.19,26847353250,STOCK
2025-04-01,MWG,Bán lẻ,4.73,12476160000,STOCK
2025-04-01,HPG,Vật liệu,4.69,12348630000,STOCK
2025-04-01,MSN,Thực phẩm,4.67,12300000000,STOCK
2025-04-01,REE,Hạ tầng,4.62,12165600000,STOCK
2025-04-01,HDB,Ngân hàng,4.59,12097800000,STOCK
2025-04-01,ACB,Ngân hàng,4.5,11867400350,STOCK
2025-04-01,VIC,BĐS,4.46,11764000000,STOCK
2025-04-01,SSI,Chứng khoán,4.42,11649879000,STOCK
2025-04-01,VPB,Ngân hàng,4.2,11060365000,STOCK
2025-04-01,VCB,Ngân hàng,4.18,11018045100,STOCK
2025-04-01,FPT,Công nghệ,3.95,10418162000,STOCK
2025-04-01,BVH,Bảo hiểm,2.09,5509405000,STOCK
2025-04-01,SHB,Ngân hàng,1.97,5191200000,STOCK
2025-04-01,GAS,Dầu khí,1.94,5112910000,STOCK
2025-04-01,VGI,Viễn thông,1.81,4760000000,STOCK
2025-04-01,VCI,Chứng khoán,1.54,4070000000,STOCK
2025-05-01,STB,Ngân hàng,13.31,35148520000,STOCK
2025-05-01,CTG,Ngân hàng,9.33,24638390000,STOCK
2025-05-01,REE,Hạ tầng,4.82,12733920000,STOCK
2025-05-01,HPG,Vật liệu,4.72,12469695000,STOCK
2025-05-01,MBB,Ngân hàng,4.69,12384775250,STOCK
2025-05-01,SHB,Ngân hàng,4.68,12357600000,STOCK
2025-05-01,GVR,Ô tô,4.67,12341000000,STOCK
2025-05-01,HDB,Ngân hàng,4.64,12238800000,STOCK
2025-05-01,MSN,Thực phẩm,4.62,12201600000,STOCK
2025-05-01,VPB,Ngân hàng,4.54,11995985000,STOCK
2025-05-01,BCM,BĐS,4.28,11295840000,STOCK
2025-05-01,FPT,Công nghệ,4.2,11094295000,STOCK
2025-05-01,PLX,Dầu khí,4.18,11040000000,STOCK
2025-05-01,VCB,Ngân hàng,4.11,10844986800,STOCK
2025-05-01,VIC,BĐS,4.04,10676400000,STOCK
2025-05-01,MWG,Bán lẻ,3.42,9016920000,STOCK
2025-05-01,BVH,Bảo hiểm,2.3,6066940000,STOCK
2025-05-01,VHM,BĐS,1.47,3880000000,STOCK
2025-06-01,STB,Ngân hàng,12.29,32890810000,STOCK
2025-06-01,CTG,Ngân hàng,10.07,26954270000,STOCK
2025-06-01,HPG,Vật liệu,6.76,18094442400,STOCK
2025-06-01,MSN,Thực phẩm,5.12,13693440000,STOCK
2025-06-01,MBB,Ngân hàng,4.63,12389547000,STOCK
2025-06-01,REE,Hạ tầng,4.55,12179004000,STOCK
2025-06-01,VPB,Ngân hàng,4.53,12117500000,STOCK
2025-06-01,BCM,BĐS,4.47,11966880000,STOCK
