date,industry,weight_pct
2025-02-01,Ngân hàng,53.44999999999999
2025-02-01,Vật liệu,5.06
2025-02-01,BĐS,4.97
2025-02-01,Thực phẩm,4.69
2025-02-01,Công nghệ,4.66
2025-02-01,Bảo hiểm,4.61
2025-02-01,Chứng khoán,4.61
2025-02-01,Hạ tầng,4.44
2025-02-01,Bán lẻ,3.9
2025-02-01,Dầu khí,1.94
2025-02-01,Ô tô,1.62
2025-03-01,Ngân hàng,52.14
2025-03-01,BĐS,7.6000000000000005
2025-03-01,Hạ tầng,4.82
2025-03-01,Bảo hiểm,4.78
2025-03-01,Vật liệu,4.73
2025-03-01,Chứng khoán,4.72
2025-03-01,Thực phẩm,4.71
2025-03-01,Bán lẻ,4.33
2025-03-01,Công nghệ,2.5
2025-03-01,Ô tô,2.42
2025-03-01,Dầu khí,2.1
2025-04-01,Ngân hàng,55.309999999999995
2025-04-01,Chứng khoán,5.96
2025-04-01,Bán lẻ,4.73
2025-04-01,Vật liệu,4.69
2025-04-01,Thực phẩm,4.67
2025-04-01,Hạ tầng,4.62
2025-04-01,BĐS,4.46
2025-04-01,Công nghệ,3.95
2025-04-01,Bảo hiểm,2.09
2025-04-01,Dầu khí,1.94
2025-04-01,Viễn thông,1.81
2025-05-01,Ngân hàng,45.300000000000004
2025-05-01,BĐS,9.790000000000001
2025-05-01,Hạ tầng,4.82
2025-05-01,Vật liệu,4.72
2025-05-01,Ô tô,4.67
2025-05-01,Thực phẩm,4.62
2025-05-01,Công nghệ,4.2
2025-05-01,Dầu khí,4.18
2025-05-01,Bán lẻ,3.42
2025-05-01,Bảo hiểm,2.3
2025-06-01,Ngân hàng,40.0
2025-06-01,BĐS,8.77
2025-06-01,Vật liệu,6.76
2025-06-01,Hạ tầng,6.279999999999999
2025-06-01,Chứng khoán,5.4399999999999995
2025-06-01,Thực phẩm,5.12
2025-06-01,Công nghệ,4.2
2025-06-01,Ô tô,4.17
2025-06-01,Dầu khí,3.06
2025-06-01,Bán lẻ,2.69
2025-06-01,Bảo hiểm,2.38
