date,industry,weight_pct
2026-07-01,Ngân hàng,31.43
2026-07-01,Bất động sản,23.69
2026-07-01,Chứng khoán,8.12
2026-07-01,Sản xuất Nhựa - Hóa chất,7.98
2026-07-01,Nông - Lâm - Ngư,7.93
2026-07-01,Thực phẩm - Đồ uống,5.88
2026-07-01,Công nghệ và thông tin,2.07
2026-07-01,Vận tải - Kho bãi,2.03
2026-07-01,Bán lẻ,1.66
2026-07-01,Vật liệu xây dựng,1.43
2026-07-01,Sản xuất Phụ trợ,0.77
2026-07-01,Thiết bị điện,0.57
2026-07-01,Tiện ích,0.41
2026-07-01,Sản xuất Hàng gia dụng,0.38
2026-07-01,Khai khoáng,0.28
2026-07-01,Xây dựng,0.01
2026-08-01,Ngân hàng,30.54
2026-08-01,Bất động sản,23.15
2026-08-01,Chứng khoán,7.76
2026-08-01,Nông - Lâm - Ngư,7.55
2026-08-01,Sản xuất Nhựa - Hóa chất,7.51
2026-08-01,Thực phẩm - Đồ uống,2.32
2026-08-01,Công nghệ và thông tin,2.06
2026-08-01,Vận tải - Kho bãi,2.04
2026-08-01,Bán lẻ,1.7
2026-08-01,Vật liệu xây dựng,1.39
2026-08-01,Sản xuất Phụ trợ,0.99
2026-08-01,Thiết bị điện,0.53
2026-08-01,Tiện ích,0.39
2026-08-01,Khai khoáng,0.31
2026-08-01,Chế biến thủy sản,0.29
