date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,VIC,Bất động sản,18.12,119339340000,STOCK
2026-07-01,VHM,Bất động sản,7.26,47836300000,STOCK
2026-07-01,VCB,Ngân hàng,5.3,34883936600,STOCK
2026-07-01,HPG,Vật liệu xây dựng,4.55,29981501200,STOCK
2026-07-01,CTG,Ngân hàng,4.45,29324772400,STOCK
2026-07-01,MBB,Ngân hàng,4.32,28451362500,STOCK
2026-07-01,TCB,Ngân hàng,4.0,26309760000,STOCK
2026-07-01,HDB,Ngân hàng,3.59,23616356400,STOCK
2026-07-01,MWG,Bán lẻ,3.43,22612650000,STOCK
2026-07-01,STB,Ngân hàng,3.23,21283050000,STOCK
2026-08-01,VIC,Bất động sản,20.3,143346400000,STOCK
2026-08-01,VHM,Bất động sản,6.68,47158000000,STOCK
2026-08-01,VCB,Ngân hàng,5.71,40282746200,STOCK
2026-08-01,MBB,Ngân hàng,4.34,30610489000,STOCK
2026-08-01,HPG,Vật liệu xây dựng,4.32,30534155600,STOCK
2026-08-01,CTG,Ngân hàng,4.31,30419690850,STOCK
2026-08-01,TCB,Ngân hàng,4.3,30353920000,STOCK
2026-08-01,HDB,Ngân hàng,3.69,26052964600,STOCK
2026-08-01,MWG,Bán lẻ,3.44,24262500000,STOCK
2026-08-01,STB,Ngân hàng,2.87,20271750000,STOCK
