date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,ACB,Ngân hàng,4.91,7632150000,STOCK
2026-07-01,MBB,Ngân hàng,4.54,7049610000,STOCK
2026-07-01,STB,Ngân hàng,4.13,6417000000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,3.02,4687200000,STOCK
2026-07-01,ABB,Ngân hàng,2.91,4519650000,STOCK
2026-07-01,VCB,Ngân hàng,2.67,4151000000,STOCK
2026-07-01,POW,Tiện ích,2.63,4080000000,STOCK
2026-07-01,LPB,Ngân hàng,2.33,3626000000,STOCK
2026-07-01,VPB,Ngân hàng,2.15,3348000000,STOCK
2026-07-01,VIC,Bất động sản,2.07,3211500000,STOCK
2026-08-01,ACB,Ngân hàng,4.9,7893525000,STOCK
2026-08-01,MBB,Ngân hàng,4.71,7584588650,STOCK
2026-08-01,STB,Ngân hàng,4.22,6795000000,STOCK
2026-08-01,VPB,Ngân hàng,3.02,4865000000,STOCK
2026-08-01,HPG,Vật liệu xây dựng,2.97,4773600000,STOCK
2026-08-01,ABB,Ngân hàng,2.79,4493675000,STOCK
2026-08-01,VCB,Ngân hàng,2.61,4207000000,STOCK
2026-08-01,TCB,Ngân hàng,2.59,4175000000,STOCK
2026-08-01,VIC,Bất động sản,2.2,3540000000,STOCK
2026-08-01,POW,Tiện ích,2.03,3275000000,STOCK
