date,industry,weight_pct
2026-07-01,Ngân hàng,26.69
2026-07-01,Bất động sản,6.73
2026-07-01,Thực phẩm - Đồ uống,4.11
2026-07-01,Bán lẻ,3.93
2026-07-01,Tiện ích,3.61
2026-07-01,Chứng khoán,3.14
2026-07-01,Vật liệu xây dựng,3.02
2026-07-01,Sản xuất Nhựa - Hóa chất,2.61
2026-07-01,Bảo hiểm,2.53
2026-07-01,Công nghệ và thông tin,2.5
2026-07-01,Sản xuất Phụ trợ,2.45
2026-07-01,Vận tải - Kho bãi,1.83
2026-07-01,Sản xuất,1.31
2026-07-01,Dịch vụ lưu trú, ăn uống, giải trí,1.28
2026-08-01,Ngân hàng,27.32
2026-08-01,Bất động sản,5.82
2026-08-01,Tiện ích,4.26
2026-08-01,Thực phẩm - Đồ uống,4.13
2026-08-01,Chứng khoán,3.81
2026-08-01,Bảo hiểm,3.14
2026-08-01,Vật liệu xây dựng,2.97
2026-08-01,Sản xuất Nhựa - Hóa chất,2.59
2026-08-01,Công nghệ và thông tin,2.53
2026-08-01,Sản xuất Phụ trợ,2.4
2026-08-01,Bán lẻ,2.06
2026-08-01,Vận tải - Kho bãi,1.89
2026-08-01,Dịch vụ lưu trú, ăn uống, giải trí,1.69
2026-08-01,Sản xuất,1.32
