date,industry,weight_pct
2026-07-01,Ngân hàng,32.94
2026-07-01,Tiện ích,12.79
2026-07-01,Sản xuất Phụ trợ,9.47
2026-07-01,Sản xuất Nhựa - Hóa chất,7.94
2026-07-01,Chứng khoán,7.81
2026-07-01,Khai khoáng,4.92
2026-07-01,Thực phẩm - Đồ uống,4.01
2026-07-01,Xây dựng,3.81
2026-07-01,Nguyên vật liệu/hóa chất,3.24
2026-08-01,Sản xuất Nhựa - Hóa chất,17.99
2026-08-01,Ngân hàng,17.63
2026-08-01,Khai khoáng,14.75
2026-08-01,Tiện ích,11.94
2026-08-01,Thực phẩm - Đồ uống,6.3
2026-08-01,Sản xuất Phụ trợ,5.31
2026-08-01,Dịch vụ viễn thông,4.34
2026-08-01,Chứng khoán,4.07
2026-08-01,Bảo hiểm,4.07
2026-08-01,Bán buôn,3.66
