date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,ACB,Ngân hàng,5.99,28276535400,STOCK
2026-07-01,VNM,Thực phẩm - Đồ uống,5.93,28007910000,STOCK
2026-07-01,MBB,Ngân hàng,5.88,27782550000,STOCK
2026-07-01,MWG,Bán lẻ,4.03,19033770000,STOCK
2026-07-01,TCB,Ngân hàng,3.95,18666960000,STOCK
2026-07-01,CTG,Ngân hàng,3.91,18483264800,STOCK
2026-07-01,FPT,Công nghệ và thông tin,3.91,18493431000,STOCK
2026-07-01,BWE,Tiện ích,3.57,16871820000,STOCK
2026-07-01,TLG,Sản xuất Phụ trợ,3.02,14276080000,STOCK
2026-07-01,VIB,Ngân hàng,2.96,13961180000,STOCK
