date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,FPT,Công nghệ,6.54,26716767800,STOCK
2025-02-01,MBB,Ngân hàng,4.99,20396584000,STOCK
2025-02-01,STB,Ngân hàng,4.57,18681300000,STOCK
2025-02-01,MWG,Bán lẻ,3.8,15535784000,STOCK
2025-02-01,HPG,Vật liệu,3.29,13441876000,STOCK
2025-02-01,PNJ,Bán lẻ,3.03,12392772000,STOCK
2025-02-01,CTG,Ngân hàng,2.65,10825150500,STOCK
2025-02-01,BWE,Tiện ích,2.5,10235970000,STOCK
2025-02-01,ACB,Ngân hàng,2.47,10097100000,STOCK
2025-02-01,CTD,Xây dựng,2.16,8832000000,STOCK
2025-02-01,BVH,Bảo hiểm,1.91,7821554000,STOCK
2025-02-01,HCM,Chứng khoán,1.9,7771302000,STOCK
2025-02-01,TCB,Ngân hàng,1.9,7751700000,STOCK
2025-02-01,VNM,Thực phẩm,1.87,7647365600,STOCK
2025-02-01,GMD,Hạ tầng,1.8,7362910000,STOCK
2025-02-01,BID,Ngân hàng,1.73,7074808650,STOCK
2025-02-01,PVS,Dầu khí,1.41,5758122000,STOCK
2025-02-01,QNS,Thực phẩm,1.38,5659920000,STOCK
2025-02-01,VHM,BĐS,1.35,5513219200,STOCK
2025-02-01,NLG,BĐS,1.34,5472398200,STOCK
2025-02-01,VPB,Ngân hàng,1.26,5153100000,STOCK
2025-02-01,CTR,Xây dựng,1.24,5056800000,STOCK
2025-02-01,VIB,Ngân hàng,1.17,4782667500,STOCK
2025-02-01,ACV,Hạ tầng,1.06,4332960000,STOCK
2025-02-01,VRE,BĐS,0.78,3175500000,STOCK
2025-02-01,VIC,BĐS,0.74,3007600000,STOCK
2025-02-01,NCT,Hạ tầng,0.72,2928620000,STOCK
2025-02-01,REE,Hạ tầng,0.71,2896000000,STOCK
2025-02-01,SAB,Đồ uống,0.69,2822200000,STOCK
2025-02-01,TLG,Dịch vụ,0.63,2592000000,STOCK
2025-02-01,MSN,Thực phẩm,0.56,2301800000,STOCK
2025-02-01,MML121021,,5.67,23189866610,BOND
2025-02-01,BCM12406,,4.36,17817850980,BOND
2025-02-01,MSN123008,,2.97,12130739760,BOND
2025-02-01,VHM121025,,1.74,7127407700,BOND
2025-02-01,TNG122017,,0.89,3655872972,BOND
2025-03-01,FPT,Công nghệ,5.73,24251546000,STOCK
2025-03-01,MBB,Ngân hàng,5.05,21372072800,STOCK
2025-03-01,STB,Ngân hàng,4.42,18705720000,STOCK
2025-03-01,MWG,Bán lẻ,3.72,15722320000,STOCK
2025-03-01,PNJ,Bán lẻ,3.05,12898005400,STOCK
2025-03-01,HPG,Vật liệu,3.04,12841792250,STOCK
2025-03-01,CTG,Ngân hàng,2.56,10812108150,STOCK
2025-03-01,ACB,Ngân hàng,2.48,10487100000,STOCK
2025-03-01,BWE,Tiện ích,2.45,10373271000,STOCK
2025-03-01,CTD,Xây dựng,1.93,8160000000,STOCK
2025-03-01,TCB,Ngân hàng,1.93,8167500000,STOCK
2025-03-01,BVH,Bảo hiểm,1.88,7967817000,STOCK
2025-03-01,GMD,Hạ tầng,1.85,7837250000,STOCK
2025-03-01,HCM,Chứng khoán,1.8,7634088000,STOCK
2025-03-01,BID,Ngân hàng,1.77,7469721250,STOCK
2025-03-01,VNM,Thực phẩm,1.76,7450648800,STOCK
2025-03-01,VHM,BĐS,1.62,6864760800,STOCK
2025-03-01,VIB,Ngân hàng,1.36,5766226500,STOCK
2025-03-01,NLG,BĐS,1.28,5401430500,STOCK
2025-03-01,QNS,Thực phẩm,1.26,5345480000,STOCK
2025-03-01,CTR,Xây dựng,1.24,5253000000,STOCK
2025-03-01,VPB,Ngân hàng,1.2,5073000000,STOCK
2025-03-01,PVS,Dầu khí,1.18,4981746000,STOCK
2025-03-01,VIC,BĐS,1.0,4234000000,STOCK
2025-03-01,ACV,Hạ tầng,0.95,4039200000,STOCK
2025-03-01,TLG,Dịch vụ,0.9,3790500000,STOCK
2025-03-01,VRE,BĐS,0.83,3494875000,STOCK
2025-03-01,NCT,Hạ tầng,0.68,2875280000,STOCK
2025-03-01,REE,Hạ tầng,0.68,2856000000,STOCK
2025-03-01,IDC,BĐS,0.64,2700000000,STOCK
2025-03-01,SAB,Đồ uống,0.63,2679720000,STOCK
2025-03-01,MSN,Thực phẩm,0.62,2605200000,STOCK
2025-03-01,MML121021,,5.48,23173927150,BOND
2025-03-01,BCM12406,,4.21,17820836280,BOND
2025-03-01,MSN123008,,2.94,12416646600,BOND
2025-03-01,VHM121025,,1.68,7099188110,BOND
2025-03-01,TNG122017,,0.86,3655872972,BOND
2025-04-01,FPT,Công nghệ,5.45,21926604400,STOCK
2025-04-01,MBB,Ngân hàng,5.19,20884328400,STOCK
2025-04-01,STB,Ngân hàng,4.75,19096440000,STOCK
2025-04-01,MWG,Bán lẻ,4.03,16201984000,STOCK
2025-04-01,HPG,Vật liệu,3.04,12241708500,STOCK
2025-04-01,BWE,Tiện ích,2.9,11660987400,STOCK
2025-04-01,PNJ,Bán lẻ,2.74,11008981800,STOCK
2025-04-01,TCB,Ngân hàng,2.5,10046600000,STOCK
2025-04-01,ACB,Ngân hàng,2.41,9700567500,STOCK
2025-04-01,CTG,Ngân hàng,2.41,9703508400,STOCK
2025-04-01,VHM,BĐS,1.94,7814854400,STOCK
2025-04-01,CTD,Xây dựng,1.93,7766400000,STOCK
2025-04-01,GMD,Hạ tầng,1.8,7223900000,STOCK
2025-04-01,VNM,Thực phẩm,1.76,7081804800,STOCK
2025-04-01,BVH,Bảo hiểm,1.71,6869065500,STOCK
2025-04-01,BID,Ngân hàng,1.66,6660099850,STOCK
2025-04-01,HCM,Chứng khoán,1.56,6274422000,STOCK
2025-04-01,QNS,Thực phẩm,1.28,5143340000,STOCK
2025-04-01,VIB,Ngân hàng,1.25,5040001500,STOCK
2025-04-01,VIC,BĐS,1.23,4964000000,STOCK
2025-04-01,VPB,Ngân hàng,1.1,4418850000,STOCK
2025-04-01,CTR,Xây dựng,1.08,4324800000,STOCK
2025-04-01,NLG,BĐS,1.08,4344800300,STOCK
2025-04-01,VRE,BĐS,1.07,4316125000,STOCK
2025-04-01,PVS,Dầu khí,1.03,4140672000,STOCK
2025-04-01,ACV,Hạ tầng,0.95,3839280000,STOCK
2025-04-01,TLG,Dịch vụ,0.8,3211950000,STOCK
2025-04-01,REE,Hạ tầng,0.68,2740000000,STOCK
2025-04-01,SAB,Đồ uống,0.66,2635880000,STOCK
2025-04-01,NCT,Hạ tầng,0.64,2590800000,STOCK
2025-04-01,MSN,Thực phẩm,0.61,2437500000,STOCK
2025-04-01,IDC,BĐS,0.45,1810000000,STOCK
2025-04-01,MCH,Bán lẻ,0.42,1686360000,STOCK
2025-04-01,MML121021,,5.66,22772941240,BOND
2025-04-01,BCM12406,,4.43,17824968360,BOND
2025-04-01,MSN123008,,3.02,12144462000,BOND
