date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,MBB,Ngân hàng,6.72,72182050000,STOCK
2025-02-01,VCB,Ngân hàng,6.67,71655053100,STOCK
2025-02-01,CTG,Ngân hàng,6.36,68313150000,STOCK
2025-02-01,FPT,Công nghệ,5.71,61309276100,STOCK
2025-02-01,MWG,Bán lẻ,5.37,57666862000,STOCK
2025-02-01,ACB,Ngân hàng,4.31,46286370000,STOCK
2025-02-01,VIB,Ngân hàng,4.11,44093750000,STOCK
2025-02-01,HPG,Vật liệu,3.91,42043092000,STOCK
2025-02-01,VPB,Ngân hàng,3.83,41089700000,STOCK
2025-02-01,VHC,Thực phẩm,3.33,35799010000,STOCK
2025-02-01,STB,Ngân hàng,3.31,35572500000,STOCK
2025-02-01,GMD,Hạ tầng,3.17,34064840000,STOCK
2025-02-01,NTC,BĐS,3.11,33370350000,STOCK
2025-02-01,DGC,Vật liệu,2.96,31744050000,STOCK
2025-02-01,HDG,BĐS,2.81,30213113500,STOCK
2025-02-01,SZC,BĐS,2.79,29913600000,STOCK
2025-02-01,IDC,BĐS,2.47,26477880000,STOCK
2025-02-01,QNS,Thực phẩm,2.42,25991280000,STOCK
2025-02-01,DXG,BĐS,2.24,24068302900,STOCK
2025-02-01,PTB,Tiêu dùng,2.21,23731100000,STOCK
2025-02-01,KBC,BĐS,2.13,22880880000,STOCK
2025-02-01,VEA,Sản xuất,2.1,22531730000,STOCK
2025-02-01,KDH,BĐS,1.75,18772495500,STOCK
2025-02-01,BVH,Bảo hiểm,1.72,18423300000,STOCK
2025-02-01,PNJ,Bán lẻ,1.17,12565356000,STOCK
2025-02-01,QTP,Điện,0.86,9226000000,STOCK
2025-02-01,GVR,Ô tô,0.67,7207720000,STOCK
2025-02-01,DXS,BĐS,0.55,5941611730,STOCK
2025-03-01,MBB,Ngân hàng,7.09,75634235000,STOCK
2025-03-01,CTG,Ngân hàng,6.76,72127145000,STOCK
2025-03-01,MWG,Bán lẻ,5.47,58359260000,STOCK
2025-03-01,HPG,Vật liệu,5.29,56456918250,STOCK
2025-03-01,FPT,Công nghệ,4.95,52875427000,STOCK
2025-03-01,STB,Ngân hàng,4.8,51191780000,STOCK
2025-03-01,VIB,Ngân hàng,4.41,47104050000,STOCK
2025-03-01,ACB,Ngân hàng,4.34,46286370000,STOCK
2025-03-01,VPB,Ngân hàng,3.79,40451000000,STOCK
2025-03-01,TCB,Ngân hàng,3.56,38016000000,STOCK
2025-03-01,DXG,BĐS,3.3,35208451400,STOCK
2025-03-01,NTC,BĐS,3.05,32591000000,STOCK
2025-03-01,GMD,Hạ tầng,3.02,32269000000,STOCK
2025-03-01,VHC,Thực phẩm,2.92,31118750000,STOCK
2025-03-01,DGC,Vật liệu,2.66,28356120000,STOCK
2025-03-01,HDG,BĐS,2.65,28281191500,STOCK
2025-03-01,GVR,Ô tô,2.58,27546480000,STOCK
2025-03-01,SZC,BĐS,2.55,27224000000,STOCK
2025-03-01,IDC,BĐS,2.34,24996600000,STOCK
2025-03-01,QNS,Thực phẩm,2.3,24547320000,STOCK
2025-03-01,VCB,Ngân hàng,2.28,24356480000,STOCK
2025-03-01,KBC,BĐS,2.21,23612760000,STOCK
2025-03-01,VEA,Sản xuất,2.11,22531730000,STOCK
2025-03-01,PTB,Tiêu dùng,2.07,22107800000,STOCK
2025-03-01,PNJ,Bán lẻ,1.8,19215144200,STOCK
2025-03-01,KDH,BĐS,1.71,18268159800,STOCK
2025-03-01,BVH,Bảo hiểm,1.63,17349150000,STOCK
2025-03-01,PHR,Ô tô,1.27,13558860000,STOCK
2025-03-01,QTP,Điện,0.86,9226000000,STOCK
2025-04-01,MBB,Ngân hàng,7.84,80973142500,STOCK
2025-04-01,HPG,Vật liệu,7.26,74958244500,STOCK
2025-04-01,CTG,Ngân hàng,7.19,74202840000,STOCK
2025-04-01,MWG,Bán lẻ,5.83,60139712000,STOCK
2025-04-01,STB,Ngân hàng,5.06,52261060000,STOCK
2025-04-01,TCB,Ngân hàng,4.77,49244120000,STOCK
2025-04-01,FPT,Công nghệ,4.63,47806377800,STOCK
2025-04-01,ACB,Ngân hàng,4.15,42814892250,STOCK
2025-04-01,DXG,BĐS,4.01,41384997450,STOCK
2025-04-01,VIB,Ngân hàng,3.99,41171550000,STOCK
2025-04-01,HDG,BĐS,3.63,37526346000,STOCK
2025-04-01,DGC,Vật liệu,3.58,37000600000,STOCK
2025-04-01,VPB,Ngân hàng,3.41,35234950000,STOCK
2025-04-01,BVH,Bảo hiểm,2.49,25741190000,STOCK
2025-04-01,VHC,Thực phẩm,2.4,24745630000,STOCK
2025-04-01,QNS,Thực phẩm,2.29,23619060000,STOCK
2025-04-01,VCB,Ngân hàng,2.11,21806661000,STOCK
2025-04-01,VEA,Sản xuất,2.11,21748990000,STOCK
2025-04-01,GMD,Hạ tầng,1.86,19164800000,STOCK
2025-04-01,IDC,BĐS,1.62,16756980000,STOCK
2025-04-01,PNJ,Bán lẻ,1.59,16400921400,STOCK
2025-04-01,NTC,BĐS,1.5,15530380000,STOCK
2025-04-01,KDH,BĐS,1.43,14765828550,STOCK
2025-04-01,PHR,Ô tô,1.33,13710060000,STOCK
2025-04-01,KBC,BĐS,1.13,11637120000,STOCK
2025-04-01,QTP,Điện,0.86,8896500000,STOCK
2025-04-01,OIL,Dầu khí,0.29,3043720000,STOCK
2025-05-01,MBB,Ngân hàng,7.67,83723822500,STOCK
2025-05-01,CTG,Ngân hàng,7.0,76397010000,STOCK
2025-05-01,HPG,Vật liệu,6.93,75693129250,STOCK
2025-05-01,STB,Ngân hàng,5.93,64737420000,STOCK
2025-05-01,MWG,Bán lẻ,5.62,61425594000,STOCK
2025-05-01,TCB,Ngân hàng,5.3,57928080000,STOCK
2025-05-01,FPT,Công nghệ,4.66,50908985500,STOCK
2025-05-01,DXG,BĐS,4.53,49443462300,STOCK
2025-05-01,ACB,Ngân hàng,3.96,43197629100,STOCK
2025-05-01,VIB,Ngân hàng,3.89,42476700000,STOCK
2025-05-01,HDG,BĐS,3.85,42016678000,STOCK
2025-05-01,VPB,Ngân hàng,3.5,38215550000,STOCK
2025-05-01,BVH,Bảo hiểm,3.11,33947540000,STOCK
2025-05-01,VHC,Thực phẩm,2.53,27633450000,STOCK
2025-05-01,IDC,BĐS,2.25,24542440000,STOCK
2025-05-01,QNS,Thực phẩm,2.25,24547320000,STOCK
2025-05-01,OIL,Dầu khí,2.18,23861880000,STOCK
2025-05-01,DGC,Vật liệu,2.03,22196310000,STOCK
2025-05-01,VEA,Sản xuất,2.01,21916720000,STOCK
2025-05-01,GMD,Hạ tầng,1.98,21623680000,STOCK
2025-05-01,VCB,Ngân hàng,1.97,21464148000,STOCK
2025-05-01,PNJ,Bán lẻ,1.74,19030605000,STOCK
2025-05-01,NTC,BĐS,1.65,18007900000,STOCK
2025-05-01,KDH,BĐS,1.51,16474966200,STOCK
2025-05-01,PHR,Ô tô,1.48,16205670000,STOCK
2025-05-01,KBC,BĐS,1.23,13423520000,STOCK
2025-05-01,NLG,BĐS,0.98,10649740000,STOCK
2025-05-01,QTP,Điện,0.8,8764700000,STOCK
2025-06-01,MBB,Ngân hàng,7.79,88709430000,STOCK
2025-06-01,CTG,Ngân hàng,7.34,83577930000,STOCK
2025-06-01,HPG,Vật liệu,7.03,80073024200,STOCK
2025-06-01,STB,Ngân hàng,6.52,74281020000,STOCK
2025-06-01,TCB,Ngân hàng,6.31,71902080000,STOCK
2025-06-01,MWG,Bán lẻ,5.69,64788670000,STOCK
2025-06-01,DXG,BĐS,4.74,54013566100,STOCK
2025-06-01,FPT,Công nghệ,4.53,51651863400,STOCK
2025-06-01,HDG,BĐS,3.93,44718895650,STOCK
2025-06-01,ACB,Ngân hàng,3.83,43607085300,STOCK
2025-06-01,VIB,Ngân hàng,3.81,43425900000,STOCK
2025-06-01,VPB,Ngân hàng,3.46,39386500000,STOCK
2025-06-01,BVH,Bảo hiểm,3.43,39081600000,STOCK
2025-06-01,VHC,Thực phẩm,2.61,29724630000,STOCK
2025-06-01,PNJ,Bán lẻ,2.47,28118879400,STOCK
2025-06-01,OIL,Dầu khí,2.36,26903100000,STOCK
2025-06-01,DGC,Vật liệu,2.2,25109730000,STOCK
2025-06-01,IDC,BĐS,2.18,24880180000,STOCK
2025-06-01,QNS,Thực phẩm,2.16,24547320000,STOCK
2025-06-01,NLG,BĐS,2.15,24472690000,STOCK
2025-06-01,VEA,Sản xuất,1.93,21972630000,STOCK
2025-06-01,VCB,Ngân hàng,1.9,21692490000,STOCK
2025-06-01,GMD,Hạ tầng,1.84,20936640000,STOCK
2025-06-01,PHR,Ô tô,1.77,20184900000,STOCK
2025-06-01,NTC,BĐS,1.67,19017260000,STOCK
2025-06-01,KDH,BĐS,1.45,16474966200,STOCK
2025-06-01,KBC,BĐS,1.2,13653200000,STOCK
2025-06-01,QTP,Điện,0.77,8764700000,STOCK
2025-06-01,ACG,Vật liệu,0.42,4795200000,STOCK
