date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,ACB,Ngân hàng,8.21,218981880000,STOCK
2025-02-01,BVH,Bảo hiểm,7.54,201058482000,STOCK
2025-02-01,FPT,Công nghệ,6.49,173067065000,STOCK
2025-02-01,GMD,Hạ tầng,6.08,161978557000,STOCK
2025-02-01,MWG,Bán lẻ,5.65,150745727000,STOCK
2025-02-01,MBB,Ngân hàng,4.81,128157380000,STOCK
2025-02-01,DGC,Vật liệu,4.16,110853300000,STOCK
2025-02-01,VIB,Ngân hàng,4.11,109648187500,STOCK
2025-02-01,VPB,Ngân hàng,3.94,105124591000,STOCK
2025-02-01,FMC,Thực phẩm,3.69,98326368000,STOCK
2025-02-01,TCB,Ngân hàng,3.63,96831000000,STOCK
2025-02-01,FOX,Viễn thông,3.56,94786815000,STOCK
2025-02-01,PVT,Dầu khí,3.51,93709257000,STOCK
2025-02-01,PVS,Dầu khí,3.19,85005680000,STOCK
2025-02-01,QNS,Thực phẩm,2.97,79111872000,STOCK
2025-02-01,PTB,Tiêu dùng,2.9,77253480000,STOCK
2025-02-01,NTC,BĐS,2.46,65680950000,STOCK
2025-02-01,SZC,BĐS,2.05,54691728000,STOCK
2025-02-01,PNJ,Bán lẻ,1.95,52015840000,STOCK
2025-02-01,KDH,BĐS,1.89,50505069000,STOCK
2025-02-01,TLG,Dịch vụ,1.82,48541680000,STOCK
2025-02-01,REE,Hạ tầng,1.71,45626480000,STOCK
2025-02-01,DPG,Xây dựng,1.67,44602320000,STOCK
2025-02-01,CTG,Ngân hàng,1.62,43093600000,STOCK
2025-02-01,BWE,Tiện ích,1.28,34124400000,STOCK
2025-02-01,TTN,Viễn thông,1.03,27443790000,STOCK
2025-02-01,HDG,BĐS,0.73,19350310000,STOCK
2025-02-01,TCI,Chứng khoán,0.51,13536377550,STOCK
2025-02-01,STB,Ngân hàng,0.31,8223750000,STOCK
2025-03-01,MBB,Ngân hàng,13.56,347571646000,STOCK
2025-03-01,TCB,Ngân hàng,7.33,187987800000,STOCK
