date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,MBB,Ngân hàng,6.68,60127244000,STOCK
2025-02-01,ACB,Ngân hàng,3.71,33414706000,STOCK
2025-02-01,FPT,Công nghệ,3.66,32950296800,STOCK
2025-02-01,HPG,Vật liệu,3.49,31413508000,STOCK
2025-02-01,VEA,Sản xuất,3.25,29233620000,STOCK
2025-02-01,STB,Ngân hàng,3.24,29207700000,STOCK
2025-02-01,CTG,Ngân hàng,2.97,26759200000,STOCK
2025-02-01,MWG,Bán lẻ,2.1,18953330000,STOCK
2025-02-01,TCB,Ngân hàng,1.96,17695800000,STOCK
2025-02-01,DGC,Vật liệu,1.93,17398460000,STOCK
2025-02-01,HDC,BĐS,1.76,15851966000,STOCK
2025-02-01,BWE,Tiện ích,1.73,15610500000,STOCK
2025-02-01,PVP,Dầu khí,1.66,14954735000,STOCK
2025-02-01,SGP,Hạ tầng,1.51,13560750000,STOCK
2025-02-01,PTB,Tiêu dùng,1.44,12949260000,STOCK
2025-02-01,VLB,Vật liệu,1.42,12747240000,STOCK
2025-02-01,PVD,Dầu khí,1.35,12127500000,STOCK
2025-02-01,ILB,Logistics,1.02,9165000000,STOCK
2025-02-01,DPG,Xây dựng,0.82,7351015000,STOCK
2025-02-01,QTP,Điện,0.81,7340200000,STOCK
2025-02-01,IDC,BĐS,0.48,4347200000,STOCK
2025-02-01,PHR,Ô tô,0.11,991500000,STOCK
2025-02-01,TN1122016,,7.45,67133075100,BOND
2025-02-01,KDH12202,,3.89,35000000000,BOND
2025-02-01,VN00DS150127,,2.78,25000000000,BOND
2025-02-01,TCX124012,,2.56,23032550710,BOND
2025-02-01,BAF122029,,2.22,20033994600,BOND
2025-02-01,MSN123008,,1.12,10054189000,BOND
2025-02-01,VRE12007,,1.05,9414682489,BOND
2025-02-01,KBC12401,,0.56,5000000000,BOND
2025-02-01,HDB124006,,0.33,3000000000,BOND
2025-02-01,SBT12401,,0.17,1500000000,BOND
2025-03-01,MBB,Ngân hàng,6.17,65412894800,STOCK
2025-03-01,HPG,Vật liệu,3.75,39798944250,STOCK
2025-03-01,CTG,Ngân hàng,3.3,35016960000,STOCK
2025-03-01,ACB,Ngân hàng,3.15,33414706000,STOCK
2025-03-01,VEA,Sản xuất,3.01,31925660000,STOCK
2025-03-01,STB,Ngân hàng,2.76,29245880000,STOCK
