date,industry,weight_pct
2025-02-01,Ngân hàng,18.560000000000002
2025-02-01,Vật liệu,6.84
2025-02-01,Công nghệ,3.66
2025-02-01,Sản xuất,3.25
2025-02-01,Dầu khí,3.01
2025-02-01,BĐS,2.24
2025-02-01,Bán lẻ,2.1
2025-02-01,Tiện ích,1.73
2025-02-01,Hạ tầng,1.51
2025-02-01,Tiêu dùng,1.44
2025-02-01,Logistics,1.02
2025-02-01,Xây dựng,0.82
2025-02-01,Điện,0.81
2025-02-01,Ô tô,0.11
2025-03-01,Ngân hàng,17.14
2025-03-01,Vật liệu,6.64
2025-03-01,Sản xuất,3.01
2025-03-01,Công nghệ,2.68
2025-03-01,Dầu khí,2.33
2025-03-01,Tiện ích,1.91
2025-03-01,Xây dựng,1.84
2025-03-01,Bán lẻ,1.81
2025-03-01,BĐS,1.68
2025-03-01,Ô tô,1.54
2025-03-01,Tiêu dùng,1.14
2025-03-01,Hạ tầng,1.0
2025-03-01,Logistics,0.7
2025-03-01,Điện,0.69
2025-04-01,Ngân hàng,18.06
2025-04-01,Vật liệu,6.63
2025-04-01,Sản xuất,2.97
2025-04-01,Bán lẻ,2.49
2025-04-01,Công nghệ,2.48
2025-04-01,Tiện ích,2.28
2025-04-01,Dầu khí,2.0
2025-04-01,Xây dựng,1.88
2025-04-01,Ô tô,1.26
2025-04-01,Logistics,1.01
2025-04-01,Hạ tầng,0.72
2025-04-01,Điện,0.68
2025-04-01,BĐS,0.63
2025-04-01,Tiêu dùng,0.25
2025-05-01,Ngân hàng,17.970000000000002
2025-05-01,Vật liệu,5.49
2025-05-01,Sản xuất,2.88
2025-05-01,Công nghệ,2.51
2025-05-01,Bán lẻ,2.43
2025-05-01,Tiện ích,2.25
2025-05-01,BĐS,2.06
2025-05-01,Ô tô,2.03
2025-05-01,Dầu khí,2.02
2025-05-01,Đồ uống,1.92
2025-05-01,Xây dựng,1.71
2025-05-01,Logistics,0.95
2025-05-01,Điện,0.64
2025-05-01,Hạ tầng,0.51
2025-06-01,Ngân hàng,19.740000000000002
2025-06-01,Vật liệu,5.71
2025-06-01,Sản xuất,2.87
2025-06-01,Dầu khí,2.6399999999999997
2025-06-01,Bán lẻ,2.55
2025-06-01,Công nghệ,2.54
2025-06-01,Ô tô,2.4
2025-06-01,Tiện ích,2.12
2025-06-01,BĐS,2.09
2025-06-01,Đồ uống,1.84
2025-06-01,Xây dựng,1.0
2025-06-01,Logistics,0.94
2025-06-01,Điện,0.64
2025-06-01,Hạ tầng,0.52
2025-07-01,Ngân hàng,20.61
2025-07-01,Vật liệu,5.930000000000001
2025-07-01,Dầu khí,2.79
2025-07-01,BĐS,2.75
2025-07-01,Bán lẻ,2.46
2025-07-01,Ô tô,2.44
2025-07-01,Tiện ích,2.12
2025-07-01,Sản xuất,1.89
2025-07-01,Đồ uống,1.81
2025-07-01,Công nghệ,1.76
2025-07-01,Xây dựng,0.97
2025-07-01,Logistics,0.91
2025-07-01,Hạ tầng,0.3
2025-08-01,Ngân hàng,21.88
2025-08-01,Vật liệu,5.9399999999999995
2025-08-01,BĐS,3.2600000000000002
2025-08-01,Dầu khí,2.76
2025-08-01,Bán lẻ,2.74
2025-08-01,Ô tô,2.23
2025-08-01,Tiện ích,1.88
2025-08-01,Công nghệ,1.88
2025-08-01,Sản xuất,1.81
2025-08-01,Đồ uống,1.65
2025-08-01,Hạ tầng,1.45
2025-08-01,Xây dựng,0.92
2025-08-01,Logistics,0.82
2025-09-01,Ngân hàng,20.57
2025-09-01,Vật liệu,5.71
2025-09-01,BĐS,3.55
2025-09-01,Bán lẻ,2.81
2025-09-01,Ô tô,2.09
2025-09-01,Dầu khí,2.02
2025-09-01,Tiện ích,1.83
2025-09-01,Sản xuất,1.7
2025-09-01,Công nghệ,1.62
2025-09-01,Đồ uống,1.51
2025-09-01,Hạ tầng,1.36
2025-09-01,Xây dựng,0.89
2025-09-01,Logistics,0.75
2025-09-01,Thực phẩm,0.74
2025-10-01,Ngân hàng,17.93
2025-10-01,Vật liệu,5.2700000000000005
2025-10-01,Bán lẻ,4.949999999999999
2025-10-01,BĐS,2.43
2025-10-01,Hạ tầng,2.07
2025-10-01,Ô tô,2.01
2025-10-01,Tiện ích,1.75
2025-10-01,Dầu khí,1.7399999999999998
2025-10-01,Công nghệ,1.72
2025-10-01,Sản xuất,1.54
2025-10-01,Đồ uống,1.45
2025-10-01,Xây dựng,1.3
2025-10-01,Thực phẩm,1.28
2025-10-01,Logistics,0.71
2025-10-01,Chứng khoán,0.55
2025-11-01,Ngân hàng,15.61
2025-11-01,Vật liệu,4.99
2025-11-01,Bán lẻ,4.54
2025-11-01,BĐS,2.5500000000000003
2025-11-01,Hạ tầng,2.06
2025-11-01,Thực phẩm,1.96
2025-11-01,Xây dựng,1.94
2025-11-01,Công nghệ,1.93
2025-11-01,Ô tô,1.9
2025-11-01,Dầu khí,1.62
2025-11-01,Tiện ích,1.6
2025-11-01,Chứng khoán,1.58
2025-11-01,Đồ uống,1.39
2025-11-01,Sản xuất,1.25
2025-11-01,Logistics,0.68
2025-12-01,Ngân hàng,16.3
