date,adjusted_price,unadjusted_price
2020-12-28,5910,13400
2020-12-29,5960,13500
2020-12-30,6000,13600
2020-12-31,5960,13500
2021-01-04,5780,13100
2021-01-05,5820,13200
2021-01-06,6000,13600
2021-01-07,5960,13500
2021-01-08,6050,13700
2021-01-11,6050,13700
2021-01-12,6000,13600
2021-01-13,5960,13500
2021-01-14,6000,13600
2021-01-15,6220,14100
2021-01-18,6310,14300
2021-01-19,5960,13500
2021-01-20,5910,13400
2021-01-21,6050,13700
2021-01-22,5960,13500
2021-01-25,5870,13300
2021-01-26,5560,12600
2021-01-27,5470,12400
2021-01-28,4770,10800
2021-01-29,5300,12000
2021-02-01,5120,11600
2021-02-02,5250,11900
2021-02-03,5430,12300
2021-02-04,5520,12500
2021-02-05,5650,12800
2021-02-09,5600,12700
2021-02-17,5650,12800
2021-02-18,5740,13000
2021-02-19,5740,13000
2021-02-22,5690,12900
2021-02-23,5690,12900
2021-02-24,5650,12800
2021-02-25,5600,12700
2021-02-26,5600,12700
2021-03-01,5650,12800
2021-03-02,5650,12800
2021-03-03,5650,12800
2021-03-04,5740,13000
2021-03-05,5690,12900
2021-03-09,6180,14000
2021-03-10,6220,14100
2021-03-11,6130,13900
2021-03-12,6180,14000
2021-03-15,6220,14100
2021-03-16,6440,14600
2021-03-17,6620,15000
2021-03-18,6620,15000
2021-03-19,6530,14800
2021-03-22,6440,14600
2021-03-23,6400,14500
2021-03-24,6180,14000
2021-03-25,6180,14000
2021-03-26,6180,14000
2021-03-29,6310,14300
2021-03-30,6400,14500
2021-03-31,6440,14600
2021-04-01,6570,14900
2021-04-02,7100,16100
2021-04-05,7590,17200
2021-04-06,7460,16900
2021-04-07,7770,17600
2021-04-08,7900,17900
2021-04-12,8120,18400
2021-04-13,7810,17700
2021-04-14,7900,17900
2021-04-15,7770,17600
2021-04-16,7500,17000
2021-04-19,7590,17200
2021-04-20,7550,17100
2021-04-22,7240,16400
2021-04-23,7370,16700
2021-04-26,7150,16200
2021-04-27,7190,16300
2021-04-28,7370,16700
2021-04-29,7550,17100
2021-05-04,7500,17000
2021-05-05,7630,17300
2021-05-06,7940,18000
2021-05-07,7850,17800
2021-05-11,7850,17800
2021-05-12,7900,17900
2021-05-13,7940,18000
2021-05-14,8300,18800
2021-05-17,8160,18500
2021-05-18,8070,18300
2021-05-19,8160,18500
2021-05-20,8430,19100
2021-05-21,8600,19500
2021-05-24,8560,19400
2021-05-25,8650,19600
2021-05-26,8830,20000
2021-05-27,9490,21500
2021-05-28,10020,22700
2021-05-31,11030,25000
2021-06-01,10770,24400
2021-06-02,10410,23600
