date,adjusted_price,unadjusted_price
2007-01-02,4520,148000
2007-01-03,4570,149900
2007-01-04,4730,155000
2007-01-05,4810,157800
2007-01-08,4800,157300
2007-01-09,4760,156000
2007-01-10,4860,159000
2007-01-11,4890,160000
2007-01-12,4950,162000
2007-01-15,4980,163000
2007-01-16,5030,164500
2007-01-17,4980,163000
2007-01-18,5160,169000
2007-01-19,5420,177500
2007-01-22,5620,184000
2007-01-23,5930,194000
2007-01-24,6170,202000
2007-01-25,5930,194000
2007-01-26,5830,191000
2007-01-29,5810,190200
2007-01-30,5990,196000
2007-01-31,6030,197400
2007-02-01,5960,195000
2007-02-02,5940,194500
2007-02-05,5880,192500
2007-02-06,5910,193500
2007-02-07,6020,197000
2007-02-08,5950,194800
2007-02-09,5950,194900
2007-02-12,5960,195000
2007-02-13,6080,199000
2007-02-14,6380,209000
2007-02-15,6550,214500
2007-02-26,7130,233400
2007-02-27,7700,252000
2007-02-28,7580,248000
2007-03-01,7550,247000
2007-03-02,7450,244000
2007-03-05,7940,260000
2007-03-06,8520,279000
2007-03-07,8720,285500
2007-03-08,8710,285000
2007-03-09,8680,284000
2007-03-12,8420,275500
2007-03-13,8220,269000
2007-03-14,7790,255000
2007-03-15,8100,265000
2007-03-16,8550,279900
2007-03-19,8920,292000
2007-03-20,8250,270000
2007-03-21,8250,270000
2007-03-22,8230,269400
2007-03-23,8030,263000
2007-03-26,7330,240000
2007-03-27,6950,227500
2007-03-28,7760,253900
2007-03-29,7850,257000
2007-03-30,7640,250000
2007-04-02,7480,245000
2007-04-03,7330,240100
2007-04-04,7700,252000
2007-04-05,7580,248000
2007-04-06,7790,255000
2007-04-09,7820,255900
2007-04-10,8160,267000
2007-04-11,8220,269000
2007-04-12,7910,259100
2007-04-13,8130,266000
2007-04-16,7550,247000
2007-04-17,7440,243700
2007-04-18,7940,259900
2007-04-19,7610,249000
2007-04-20,7390,242000
2007-04-23,6710,169000
2007-04-24,6640,167100
2007-04-25,7240,182200
2007-05-02,6890,173500
2007-05-03,6670,167900
2007-05-04,6530,164500
2007-05-07,6610,166500
2007-05-08,6710,169000
2007-05-09,6700,168800
2007-05-10,6600,166200
2007-05-11,6710,168900
2007-05-14,6670,168000
2007-05-15,6710,168900
2007-05-16,6630,167000
2007-05-17,6690,168400
2007-05-18,6670,167900
2007-05-21,6670,167900
2007-05-22,6670,168000
2007-05-23,6690,168400
2007-05-24,6690,168400
2007-05-25,6650,167500
2007-05-28,6600,166100
2007-05-29,6530,164500
2007-05-30,6350,160000
2007-05-31,6400,161200
2007-06-01,6470,163000
2007-06-04,6350,160000
2007-06-05,6210,156400
2007-06-06,6270,157800
2007-06-07,6180,155600
2007-06-08,6080,153000
2007-06-11,5800,146000
2007-06-12,5600,141000
2007-06-13,5460,137600
2007-06-14,5640,142000
2007-06-15,5890,148200
2007-06-18,5980,150500
2007-06-19,5930,149400
2007-06-20,5810,146200
2007-06-21,5560,140000
2007-06-22,5580,140500
2007-06-25,5440,137000
2007-06-26,5420,136500
2007-06-27,5410,136300
2007-06-28,5300,133500
2007-06-29,5010,126200
2007-07-02,4530,114000
2007-07-03,4440,111800
2007-07-04,4790,120700
2007-07-05,4750,119500
2007-07-06,4780,120300
2007-07-09,4770,120000
2007-07-10,5080,128000
2007-07-11,5110,128700
2007-07-12,4940,124300
2007-07-13,5040,127000
2007-07-16,4840,121800
2007-07-17,4930,124200
2007-07-18,4930,124200
2007-07-19,4900,123300
2007-07-20,4870,122600
2007-07-23,4850,122000
2007-07-24,4790,120500
2007-07-25,4730,119200
2007-07-26,4680,117900
2007-07-27,4690,118000
2007-07-30,4630,116500
2007-07-31,4580,115300
2007-08-01,4750,119500
2007-08-02,4690,118000
2007-08-03,4650,117000
2007-08-06,4600,115800
2007-08-07,4610,116000
2007-08-08,4650,117000
2007-08-09,4730,119100
2007-08-10,4700,118300
2007-08-13,4670,117500
2007-08-14,4660,117300
2007-08-15,4690,118000
2007-08-16,4680,117800
2007-08-17,4650,117100
2007-08-20,4630,116500
2007-08-21,4630,116500
2007-08-22,4640,116800
2007-08-23,4640,116800
2007-08-24,4710,118500
2007-08-27,4690,118000
2007-08-28,4670,117600
2007-08-29,4690,118000
2007-08-30,4690,118200
2007-08-31,4730,119000
2007-09-04,4850,122000
2007-09-05,4770,120100
2007-09-06,4760,119800
2007-09-07,4750,119700
2007-09-10,4750,119600
2007-09-11,4750,119600
2007-09-12,4740,119400
2007-09-13,4760,119800
2007-09-14,4810,121200
2007-09-17,4980,125400
2007-09-18,5360,134900
2007-09-19,5640,141900
2007-09-20,5440,137000
2007-09-21,5350,134700
2007-09-24,5740,144500
2007-09-25,5890,148400
2007-09-26,5810,146400
2007-09-27,5820,146500
2007-09-28,6120,154000
2007-10-01,6610,166500
2007-10-02,6510,164000
2007-10-03,6530,164500
2007-10-04,6430,162000
2007-10-05,6350,160000
2007-10-08,6570,165500
