kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
cash_dividend,2007-01-10,2007-01-12,2007-01-30,,,200,0.05,,,,,,VCI event 6708f3da0ec61045ab7f9fc0
stock_dividend,2007-04-23,2007-04-25,2007-07-02,,,,,0.3,,,,,VCI event 6708f3ec0ec61045ab7fe1d5
stock_dividend,2008-09-11,2008-09-15,2008-11-10,,,,,0.55,,,,,VCI event 6708f3ec0ec61045ab7fe292
cash_dividend,2008-11-13,2008-11-17,2008-11-28,,,2500,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa271
stock_dividend,2008-12-04,2008-12-08,2008-12-30,,,,,0.36636,,,,,VCI event 6708f3ec0ec61045ab7fe29d
cash_dividend,2009-03-17,2009-03-19,2009-04-03,,,880,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa2e2
cash_dividend,2009-06-11,2009-06-15,2009-06-30,,,900,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa373
stock_dividend,2009-11-17,2009-11-19,2009-12-29,,,,,0.0141,,,,,VCI event 6708f3ed0ec61045ab7fe3bf
cash_dividend,2010-03-04,2010-03-08,2010-03-31,,,1500,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa4ed
cash_dividend,2010-11-08,2010-11-10,2010-11-30,,,1700,0.05,,,,,,VCI event 6708f3dc0ec61045ab7fa6df
rights_issue,2010-11-26,2010-11-30,,2011-03-11,2011-03-11,,,,0.2,10000,exercise,external,VCI event 6708f3ed0ec61045ab7fe539; price assumption
cash_dividend,2011-04-21,2011-04-25,2011-05-12,,,700,0.05,,,,,,VCI event 6708f3dc0ec61045ab7fa836
rights_issue,2011-04-26,2011-04-26,,2011-04-26,2011-04-26,,,,0.2,10000,exercise,external,VCI event 6708f3ee0ec61045ab7fea5f; price assumption
cash_dividend,2012-01-03,2012-01-05,2012-01-18,,,2000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7faa8a
rights_issue,2012-03-30,2012-03-30,,2012-03-30,2012-03-30,,,,0.2,10000,exercise,external,VCI event 6708f3ef0ec61045ab7feb5e; price assumption
stock_dividend,2012-03-30,2012-03-30,2012-03-30,,,,,0.1,,,,,VCI event 6708f3ef0ec61045ab7feb5d
cash_dividend,2013-05-17,2013-05-21,2013-06-04,,,685,0.05,,,,,,VCI event 6708f3de0ec61045ab7fae94
cash_dividend,2014-05-13,2014-05-15,2014-05-30,,,700,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb182
cash_dividend,2015-05-15,2015-05-19,2015-05-29,,,700,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb476
stock_dividend,2016-12-01,2016-12-02,2017-01-25,,,,,0.1,,,,,VCI event 6708f3f10ec61045ab7ff2b6
stock_dividend,2018-03-20,2018-03-21,2018-06-04,,,,,0.1,,,,,VCI event 6708f3f20ec61045ab7ff64e
stock_dividend,2018-09-06,2018-09-07,2018-11-05,,,,,0.15,,,,,VCI event 6708f3f30ec61045ab7ffa93
stock_dividend,2019-07-25,2019-07-26,2019-09-16,,,,,0.3,,,,,VCI event 6708f3f40ec61045ab7ffd63
stock_dividend,2020-08-20,2020-08-21,2020-10-05,,,,,0.3,,,,,VCI event 6708f3f50ec61045ab7fffda
stock_dividend,2021-06-10,2021-06-11,2021-07-26,,,,,0.25,,,,,VCI event 6708f3f50ec61045ab80020c
stock_dividend,2022-06-02,2022-06-03,2022-07-18,,,,,0.25,,,,,VCI event 6708f3f70ec61045ab800599
cash_dividend,2023-06-01,2023-06-02,2023-06-12,,,1000,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fda44
stock_dividend,2023-06-01,2023-06-02,2023-07-18,,,,,0.15,,,,,VCI event 6708f3f70ec61045ab8008b8
cash_dividend,2024-05-31,2024-06-03,2024-06-13,,,1000,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fde47
stock_dividend,2024-05-31,2024-06-03,2024-07-04,,,,,0.15,,,,,VCI event 6708f3f80ec61045ab800a92
cash_dividend,2025-05-23,2025-05-26,2025-06-05,,,1000,0.05,,,,,,VCI event 682686150e8a716db6f52eec
stock_dividend,2025-05-23,2025-05-26,2025-07-07,,,,,0.15,,,,,VCI event 67f8616490c07f62ae421e9e
cash_dividend,2026-06-15,2026-06-16,2026-06-23,,,700,0.05,,,,,,VCI event 6a20c5956c972745c9f99a93
stock_dividend,2026-06-15,2026-06-16,2026-07-21,,,,,0.13,,,,,VCI event 69d994c5714770f525e6bd38
