date,adjusted_price,unadjusted_price
2014-01-24,7450,18800
2014-01-27,7290,18400
2014-02-06,6980,17600
2014-02-07,6580,16600
2014-02-10,6740,17000
2014-02-11,6700,16900
2014-02-12,6660,16800
2014-02-13,6580,16600
2014-02-14,6660,16800
2014-02-17,6620,16700
2014-02-18,6580,16600
2014-02-19,6580,16600
2014-02-20,6700,16900
2014-02-21,6620,16700
2014-02-24,6620,16700
2014-02-25,6620,16700
2014-02-26,6620,16700
2014-02-27,6700,16900
2014-02-28,6740,17000
2014-03-03,6620,16700
2014-03-04,6580,16600
2014-03-05,6580,16600
2014-03-06,6580,16600
2014-03-07,6580,16600
2014-03-10,6620,16700
2014-03-11,6580,16600
2014-03-12,6540,16500
2014-03-13,6540,16500
2014-03-14,6580,16600
2014-03-17,6580,16600
2014-03-18,6660,16800
2014-03-19,6900,17400
2014-03-20,7020,17700
2014-03-21,6940,17500
2014-03-24,6980,17600
2014-03-25,6820,17200
2014-03-26,6660,16800
2014-03-27,6660,16800
2014-03-28,6740,17000
2014-03-31,6660,16800
2014-04-01,6620,16700
2014-04-02,6620,16700
2014-04-03,6660,16800
2014-04-04,6700,16900
2014-04-07,6660,16800
2014-04-08,6620,16700
2014-04-10,6620,16700
2014-04-11,6580,16600
2014-04-14,6620,16700
2014-04-15,6540,16500
2014-04-16,6340,16000
2014-04-17,6380,16100
2014-04-18,6300,15900
2014-04-21,6140,15500
2014-04-22,6260,15800
2014-04-23,6260,15800
2014-04-24,6300,15900
2014-04-25,6220,15700
2014-04-28,6220,15700
2014-04-29,6260,15800
2014-05-05,6180,15600
2014-05-06,6030,15200
2014-05-07,6140,15500
2014-05-08,5790,14600
2014-05-09,5870,14800
2014-05-12,5550,14000
2014-05-13,5590,14100
2014-05-14,5830,14700
2014-05-15,5630,14200
2014-05-16,5790,14600
2014-05-19,5750,14500
2014-05-20,5830,14700
2014-05-21,5910,14900
2014-05-22,5790,14600
2014-05-23,5830,14700
2014-05-26,5790,14600
2014-05-27,5950,15000
2014-05-28,5910,14900
2014-05-29,5910,14900
2014-05-30,5870,14800
2014-06-02,5790,14600
2014-06-03,5750,14500
2014-06-04,5750,14500
