date,adjusted_price,unadjusted_price
2007-01-02,7500,144000
2007-01-03,7760,149000
2007-01-04,8130,156000
2007-01-05,8280,159000
2007-01-08,8650,166000
2007-01-09,9070,174000
2007-01-10,9480,182000
2007-01-11,9950,191000
2007-01-12,10420,200000
2007-01-15,10940,210000
2007-01-16,11460,220000
2007-01-17,10890,209000
2007-01-18,11250,216000
2007-01-19,11780,226000
2007-01-22,11780,226000
2007-01-23,12350,237000
2007-01-24,11780,226000
2007-01-25,11980,230000
2007-01-26,11410,219000
2007-01-29,11930,229000
2007-01-30,12510,240000
2007-01-31,13080,251000
2007-02-01,13030,250000
2007-02-02,13550,260000
2007-02-05,12970,249000
2007-02-06,13030,250000
2007-02-07,13030,250000
2007-02-08,12400,238000
2007-02-09,11830,227000
2007-02-12,12400,238000
2007-02-13,12970,249000
2007-02-14,13080,249000
2007-02-15,13030,248000
2007-02-26,13660,260000
2007-02-27,13130,250000
2007-02-28,12500,238000
2007-03-01,12610,240000
2007-03-02,13130,250000
2007-03-05,12870,245000
2007-03-06,12870,245000
2007-03-07,12240,233000
2007-03-08,12130,231000
2007-03-09,12710,242000
2007-03-12,12870,245000
2007-03-13,12290,234000
2007-03-14,11710,223000
2007-03-15,11140,212000
2007-03-16,11660,222000
2007-03-19,11140,212000
2007-03-20,11140,212000
2007-03-21,11290,215000
2007-03-22,11290,215000
2007-03-23,11450,218000
2007-03-26,11560,220000
2007-03-27,11560,220000
2007-03-28,11030,210000
2007-03-29,11560,220000
2007-03-30,11560,220000
2007-04-02,11030,210000
2007-04-03,10510,200000
2007-04-04,10560,201000
2007-04-05,10870,207000
2007-04-06,10400,198000
2007-04-09,10400,198000
2007-04-10,10770,205000
2007-04-11,10770,205000
2007-04-12,10820,206000
2007-04-13,10720,204000
2007-04-16,10300,196000
2007-04-17,9820,187000
2007-04-18,10300,196000
2007-04-19,9870,188000
2007-04-20,9870,188000
2007-04-23,9660,184000
2007-04-24,9190,175000
2007-04-25,8770,167000
2007-05-02,8560,163000
2007-05-03,8980,171000
2007-05-04,9400,179000
2007-05-07,9610,183000
2007-05-08,10090,192000
2007-05-09,10560,201000
2007-05-10,10560,201000
2007-05-11,10560,201000
2007-05-14,11080,211000
2007-05-15,11450,218000
2007-05-16,11450,218000
2007-05-17,11030,210000
2007-05-18,10770,205000
2007-05-21,11290,215000
2007-05-22,11820,225000
2007-05-23,11560,220000
2007-05-24,11560,220000
2007-05-25,11560,220000
2007-05-28,11290,215000
2007-05-29,11290,215000
2007-05-30,11030,210000
2007-05-31,11080,211000
2007-06-01,11140,212000
2007-06-04,11030,210000
2007-06-05,11030,210000
2007-06-06,10770,205000
2007-06-07,10770,205000
2007-06-08,10930,208000
2007-06-11,11030,210000
2007-06-12,10930,208000
2007-06-13,10510,200000
2007-06-14,10510,200000
2007-06-15,10300,196000
2007-06-18,9820,187000
2007-06-19,10300,196000
2007-06-20,10450,199000
2007-06-21,10140,193000
2007-06-22,10140,193000
2007-06-25,9980,190000
2007-06-26,10300,196000
2007-06-27,10090,192000
2007-06-28,10140,193000
2007-06-29,10240,195000
2007-07-02,10240,195000
2007-07-03,10190,194000
2007-07-04,10300,196000
2007-07-05,10350,197000
2007-07-06,10090,192000
2007-07-09,9980,190000
2007-07-10,10240,195000
2007-07-11,10090,192000
2007-07-12,10090,192000
2007-07-13,10240,195000
2007-07-16,10030,191000
