date,adjusted_price,unadjusted_price
2017-07-20,11500,17150
2017-07-21,12310,18350
2017-07-24,13150,19600
2017-07-25,14050,20950
2017-07-26,15030,22400
2017-07-27,16070,23950
2017-07-28,17170,25600
2017-07-31,18350,27350
2017-08-01,19620,29250
2017-08-02,19450,29000
2017-08-03,18110,27000
2017-08-04,19320,28800
2017-08-07,19320,28800
2017-08-08,18180,27100
2017-08-09,18580,27700
2017-08-10,17510,26100
2017-08-11,18110,27000
2017-08-14,17740,26450
2017-08-15,16900,25200
2017-08-16,17110,25500
2017-08-17,16970,25300
2017-08-18,16770,25000
2017-08-21,17240,25700
2017-08-22,17040,25400
2017-08-23,16900,25200
2017-08-24,16770,25000
2017-08-25,17040,25400
2017-08-28,17310,25800
2017-08-29,17310,25800
2017-08-30,16970,25300
2017-08-31,16770,25000
2017-09-01,17110,25500
2017-09-05,17110,25500
2017-09-06,16840,25100
2017-09-07,16970,25300
2017-09-08,17370,25900
2017-09-11,17440,26000
2017-09-12,17440,26000
2017-09-13,17780,26500
2017-09-14,18180,27100
2017-09-15,18010,26850
2017-09-18,17780,26500
2017-09-19,17440,26000
2017-09-20,16900,25200
2017-09-21,17110,25500
2017-09-22,18280,27250
2017-09-25,18380,27400
2017-09-26,18110,27000
2017-09-27,18180,27100
2017-09-28,18110,27000
2017-09-29,18040,26900
2017-10-02,17780,26500
2017-10-03,17440,26000
2017-10-04,17540,26150
2017-10-05,17510,26100
2017-10-06,17410,25950
2017-10-09,17410,25950
2017-10-10,17410,25950
2017-10-11,17410,25950
2017-10-12,18110,27000
2017-10-13,18280,27250
2017-10-16,18210,27150
2017-10-17,17880,26650
2017-10-18,17780,26500
2017-10-19,17840,26600
2017-10-20,17640,26300
2017-10-23,17040,25400
2017-10-24,16840,25100
2017-10-25,17510,26100
2017-10-26,17440,26000
2017-10-27,17170,25600
2017-10-30,17170,25600
2017-10-31,16970,25300
2017-11-01,17140,25550
2017-11-02,16770,25000
2017-11-03,16770,25000
2017-11-06,16770,25000
2017-11-07,17110,25500
2017-11-08,16800,25050
2017-11-09,16970,25300
2017-11-10,16800,25050
2017-11-13,16430,24500
2017-11-14,16470,24550
2017-11-15,16640,24800
2017-11-16,17070,25450
2017-11-17,16800,25050
2017-11-20,16700,24650
2017-11-21,16600,24500
2017-11-22,16800,24800
2017-11-23,16940,25000
2017-11-24,16740,24700
2017-11-27,16600,24500
2017-11-28,16600,24500
2017-11-29,15480,22850
2017-11-30,15620,23050
2017-12-01,16130,23800
2017-12-04,16130,23800
2017-12-05,16060,23700
2017-12-06,15860,23400
2017-12-07,15860,23400
2017-12-08,15580,23000
2017-12-11,15450,22800
2017-12-12,14910,22000
2017-12-13,14910,22000
2017-12-14,14230,21000
2017-12-15,15210,22450
2017-12-18,15580,23000
2017-12-19,15250,22500
2017-12-20,15420,22750
2017-12-21,15520,22900
2017-12-22,15450,22800
2017-12-25,15420,22750
2017-12-26,15380,22700
2017-12-27,15310,22600
2017-12-28,15380,22700
2017-12-29,15380,22700
2018-01-02,15720,23200
2018-01-03,16770,24750
2018-01-04,17280,25500
2018-01-05,17080,25200
2018-01-08,17010,25100
2018-01-09,18090,26700
2018-01-10,17960,26500
2018-01-11,17960,26500
2018-01-12,18020,26600
2018-01-15,18020,26600
2018-01-16,17960,26500
2018-01-17,18020,26600
2018-01-18,18400,27150
2018-01-19,18500,27300
2018-01-22,17890,26400
2018-01-25,17750,26200
2018-01-26,18970,28000
2018-01-29,19210,28350
2018-01-30,19240,28400
2018-01-31,18970,28000
2018-02-01,18940,27950
2018-02-02,18770,27700
2018-02-05,17960,26500
2018-02-06,17990,26300
2018-02-07,18470,27000
2018-02-08,18330,26800
2018-02-09,18330,26800
2018-02-12,18810,27500
2018-02-13,18670,27300
2018-02-21,18640,27250
2018-02-22,18470,27000
2018-02-23,18780,27450
2018-02-26,19080,27900
2018-02-27,19120,27950
2018-02-28,19020,27800
2018-03-01,18670,27300
2018-03-02,18570,27150
2018-03-05,18130,26500
2018-03-06,18400,26900
2018-03-07,19020,27800
2018-03-08,19490,28500
2018-03-09,19150,28000
2018-03-12,19290,28200
2018-03-13,19080,27900
2018-03-14,19150,28000
2018-03-15,18400,26900
2018-03-16,18470,27000
2018-03-19,18740,27400
2018-03-20,18740,27400
2018-03-21,18160,26550
2018-03-22,18540,27100
2018-03-23,18500,27050
2018-03-26,17850,26100
2018-03-27,18330,26800
2018-03-28,18130,26500
2018-03-29,17780,26000
2018-03-30,17170,25100
2018-04-02,17510,25600
2018-04-03,17580,25700
2018-04-04,17480,25550
2018-04-05,17510,25400
2018-04-06,17440,25300
2018-04-09,17510,25400
2018-04-10,17440,25300
2018-04-11,17300,25100
2018-04-12,16960,24600
2018-04-13,16550,24000
2018-04-16,16480,23900
2018-04-17,16480,23900
2018-04-18,16370,23750
2018-04-19,16270,23600
2018-04-20,16200,23500
2018-04-23,16130,23400
2018-04-24,15990,23200
2018-04-26,15860,23000
2018-04-27,15790,22900
2018-05-02,15370,22300
2018-05-03,15300,22200
2018-05-04,15240,22100
2018-05-07,15650,22700
2018-05-08,15440,22400
2018-05-09,15170,22000
2018-05-10,15170,22000
2018-05-11,14960,21700
2018-05-14,14680,21300
2018-05-15,14890,21600
2018-05-16,15170,22000
2018-05-17,15130,21950
2018-05-18,15060,21850
2018-05-21,14480,21000
2018-05-22,14410,20900
2018-05-23,13440,19500
2018-05-24,13240,19200
2018-05-25,13650,19800
2018-05-28,13720,19900
2018-05-29,13790,20000
2018-05-30,13550,19650
2018-05-31,13310,19300
2018-06-01,13580,19700
2018-06-04,13620,19750
2018-06-05,13170,19100
2018-06-06,12750,18500
2018-06-07,12960,18800
2018-06-08,12720,18450
2018-06-11,12750,18500
2018-06-12,12270,17800
2018-06-13,12370,17950
2018-06-14,12270,17800
2018-06-15,11720,17000
2018-06-18,11720,17000
2018-06-19,11380,16500
2018-06-20,10960,15900
2018-06-21,11030,16000
2018-06-22,11790,17100
2018-06-25,11790,17100
2018-06-26,11240,16300
2018-06-27,11170,16200
2018-06-28,11380,16500
2018-06-29,11380,16500
2018-07-02,11270,16350
2018-07-03,11240,16300
2018-07-04,11270,16350
2018-07-05,11270,16350
2018-07-06,10890,15800
2018-07-09,11130,16150
2018-07-10,11130,16150
2018-07-11,11030,16000
2018-07-12,11060,16050
2018-07-13,11340,16450
2018-07-16,11440,16600
2018-07-17,11580,16800
2018-07-18,12200,17700
2018-07-19,12680,18400
2018-07-20,12620,18300
2018-07-23,12620,18300
2018-07-24,12550,18200
2018-07-25,12550,18200
2018-07-26,12000,17400
2018-07-27,12130,17600
2018-07-30,11820,17150
2018-07-31,12100,17550
2018-08-01,12060,17500
2018-08-02,12000,17400
2018-08-03,11930,17300
2018-08-06,11930,17300
2018-08-07,11930,17300
2018-08-08,11930,17300
2018-08-09,11860,17200
2018-08-10,11930,17300
2018-08-13,12200,17700
2018-08-14,12790,18550
2018-08-15,12790,18550
2018-08-16,12930,18750
2018-08-17,12890,18700
2018-08-20,12550,18200
2018-08-21,12890,18700
2018-08-22,12930,18750
2018-08-23,12680,18400
2018-08-24,12750,18500
2018-08-27,12790,18550
2018-08-28,12820,18600
2018-08-29,12650,18350
2018-08-30,12680,18400
2018-08-31,12680,18400
2018-09-04,12620,18300
2018-09-05,12550,18200
2018-09-06,12440,18050
2018-09-07,12410,18000
2018-09-10,12410,18000
2018-09-11,12410,18000
2018-09-12,12790,18550
2018-09-13,12750,18500
2018-09-14,12930,18750
2018-09-17,12750,18500
2018-09-18,12750,18500
2018-09-19,12820,18600
2018-09-20,12750,18500
2018-09-21,12750,18500
2018-09-24,12650,18350
2018-09-25,12680,18400
2018-09-26,13550,19650
2018-09-27,13440,19500
2018-09-28,13790,20000
2018-10-01,13580,19700
2018-10-02,13440,19500
2018-10-03,14030,20350
2018-10-04,13820,20050
2018-10-05,13580,19700
2018-10-08,13510,19600
2018-10-09,13680,19850
2018-10-10,13480,19550
2018-10-11,12930,18750
2018-10-12,13310,19300
2018-10-15,13170,19100
2018-10-16,13370,19400
2018-10-17,13580,19700
2018-10-18,13580,19700
2018-10-19,13580,19700
2018-10-22,13650,19800
2018-10-23,13790,20000
2018-10-24,13750,19950
2018-10-25,13580,19700
2018-10-26,13510,19600
2018-10-29,13480,19550
2018-10-30,13480,19550
2018-10-31,13440,19500
2018-11-01,13340,19350
2018-11-02,13720,19900
2018-11-05,13720,19900
2018-11-06,14410,20900
2018-11-07,14300,20750
2018-11-08,14720,21350
2018-11-09,14200,20600
2018-11-12,14200,20600
2018-11-13,14480,21000
2018-11-14,15060,21850
2018-11-15,15170,22000
2018-11-16,15510,22500
2018-11-19,15820,22950
2018-11-20,15820,22950
2018-11-21,16060,23300
2018-11-22,15920,23100
2018-11-23,15720,22800
2018-11-26,16060,23300
2018-11-27,15990,23200
2018-11-28,15790,22900
2018-11-29,15790,22900
2018-11-30,15920,23100
2018-12-03,16270,23600
2018-12-04,16170,23450
2018-12-05,16200,23500
2018-12-06,16890,24500
2018-12-07,16890,24500
2018-12-10,17340,25150
2018-12-11,17100,24800
2018-12-12,17230,25000
2018-12-13,17230,25000
2018-12-14,17030,24700
2018-12-17,17230,25000
2018-12-18,17440,25300
2018-12-19,17440,25300
2018-12-20,17480,25350
2018-12-21,17170,24900
2018-12-24,17230,25000
2018-12-25,17230,25000
2018-12-26,17230,25000
2018-12-27,17380,24500
2018-12-28,17450,24600
2019-01-02,16380,23100
2019-01-03,16450,23200
2019-01-04,16530,23300
2019-01-07,16490,23250
2019-01-08,16450,23200
2019-01-09,16490,23250
2019-01-10,16740,23600
2019-01-11,16740,23600
2019-01-14,16740,23600
2019-01-15,16880,23800
2019-01-16,17340,24450
2019-01-17,17310,24400
2019-01-18,17520,24700
2019-01-21,17590,24800
2019-01-22,17590,24800
2019-01-23,17450,24600
2019-01-24,17160,24200
2019-01-25,17230,24300
2019-01-28,17160,24200
2019-01-29,16670,23500
2019-01-30,17020,24000
2019-01-31,16990,23950
2019-02-01,17020,24000
2019-02-11,17230,24300
2019-02-12,17730,25000
2019-02-13,18720,26400
2019-02-14,18090,25500
2019-02-15,17870,25200
2019-02-18,17730,25000
2019-02-19,17520,24700
2019-02-20,17020,24000
2019-02-21,17020,24000
2019-02-22,17230,24300
2019-02-25,17310,24400
2019-02-26,17550,24750
2019-02-27,18050,25450
2019-02-28,17870,25200
2019-03-01,18020,25400
2019-03-04,18020,25400
2019-03-05,18230,25700
2019-03-06,18260,25750
2019-03-07,18330,25850
2019-03-08,18440,26000
2019-03-11,18580,26200
2019-03-12,18510,26100
2019-03-13,18440,26000
2019-03-14,18800,26500
2019-03-15,19290,27200
2019-03-18,19430,27400
2019-03-19,19580,27600
2019-03-20,19470,27450
2019-03-21,19150,27000
2019-03-22,19150,27000
2019-03-25,18550,26150
2019-03-26,18550,26150
2019-03-27,18650,26300
2019-03-28,19110,26950
2019-03-29,18940,26700
2019-04-01,18440,26000
2019-04-02,18440,26000
2019-04-03,18760,26450
2019-04-04,19010,26800
2019-04-05,18940,26700
2019-04-08,18720,26400
2019-04-09,18230,25700
2019-04-10,18260,25750
2019-04-11,18230,25700
2019-04-12,18020,25400
2019-04-16,17840,25150
2019-04-17,17840,25150
2019-04-18,17700,24950
2019-04-19,17700,24950
2019-04-22,17770,25050
2019-04-23,17770,25050
2019-04-24,18370,25900
2019-04-25,18300,25800
2019-04-26,18410,25950
2019-05-02,18580,26200
2019-05-03,18410,25950
2019-05-06,17980,25350
2019-05-07,17730,25000
2019-05-08,17770,25050
2019-05-09,17870,25200
2019-05-10,17730,25000
2019-05-13,17700,24950
2019-05-14,18020,25400
2019-05-15,17940,25300
2019-05-16,17940,25300
2019-05-17,17660,24900
2019-05-20,17520,24700
2019-05-21,17660,24900
2019-05-22,17660,24900
2019-05-23,17660,24900
2019-05-24,17590,24800
2019-05-27,18020,25400
2019-05-28,18190,25650
2019-05-29,18330,25850
