kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
cash_dividend,2013-09-17,2013-09-19,2013-10-07,,,500,0.05,,,,,,VCI event 6708f3de0ec61045ab7faf7e
cash_dividend,2014-04-02,2014-04-04,2014-04-24,,,300,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb13c
cash_dividend,2015-03-24,2015-03-26,2015-04-20,,,900,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb3fb
stock_dividend,2015-06-03,2015-06-05,2015-07-31,,,,,0.05,,,,,VCI event 6708f3f00ec61045ab7ff058
cash_dividend,2016-04-22,2016-04-25,2016-05-16,,,1600,0.05,,,,,,VCI event 6708f3e10ec61045ab7fb87c
cash_dividend,2017-05-24,2017-05-25,2017-06-01,,,1600,0.05,,,,,,VCI event 6708f3e20ec61045ab7fbe2f
cash_dividend,2018-01-29,2018-01-30,2018-02-08,,,1000,0.05,,,,,,VCI event 6708f3e30ec61045ab7fc1b9
cash_dividend,2018-06-21,2018-06-22,2018-07-05,,,600,0.05,,,,,,VCI event 6708f3e40ec61045ab7fc43a
stock_dividend,2018-06-21,2018-06-22,2018-08-15,,,,,0.1,,,,,VCI event 6708f3f30ec61045ab7ff95f
cash_dividend,2019-08-05,2019-08-06,2019-08-20,,,1500,0.05,,,,,,VCI event 6708f3e50ec61045ab7fc9f4
cash_dividend,2020-07-06,2020-07-07,2020-07-15,,,1000,0.05,,,,,,VCI event 6708f3e60ec61045ab7fcd7f
stock_dividend,2020-08-13,2020-08-14,2020-10-09,,,,,0.06,,,,,VCI event 6708f3f50ec61045ab7fffd8
cash_dividend,2021-07-15,2021-07-16,2021-07-29,,,1600,0.05,,,,,,VCI event 6708f3e80ec61045ab7fd2ae
cash_dividend,2022-05-13,2022-05-16,2022-06-01,,,1500,0.05,,,,,,VCI event 6708f3e90ec61045ab7fd592
cash_dividend,2022-12-07,2022-12-08,2022-12-30,,,1200,0.05,,,,,,VCI event 6708f3e90ec61045ab7fd894
cash_dividend,2023-06-07,2023-06-08,2023-07-05,,,1800,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fda38
cash_dividend,2023-12-26,2023-12-27,2024-01-24,,,800,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdcdf
cash_dividend,2024-09-04,2024-09-05,2024-09-25,,,1700,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdf34
cash_dividend,2025-03-24,2025-03-25,2025-04-10,,,1000,0.05,,,,,,VCI event 67c799b7ac13fa2f17057948
cash_dividend,2025-08-26,2025-08-27,2025-09-24,,,1200,0.05,,,,,,VCI event 686c656b63f1e526ca8b7637
stock_dividend,2025-12-11,2025-12-12,2026-02-10,,,,,0.0731546,,,,,VCI event 69167757d4eafd4c078c958b
cash_dividend,2026-03-13,2026-03-16,2026-03-30,,,1000,0.05,,,,,,VCI event 699f9291f24a113a2feecefb
cash_dividend,2026-08-24,2026-08-25,2026-09-22,,,1800,0.05,,,,,,VCI event 6a35ddb3a3320c0705451ae0
