date,adjusted_price,unadjusted_price
2009-07-16,7490,40100
2009-07-17,7120,38100
2009-07-20,6760,36200
2009-07-21,6520,34900
2009-07-22,6610,35400
2009-07-23,6930,37100
2009-07-24,7270,38900
2009-07-27,7620,40800
2009-07-28,7440,39800
2009-07-29,7210,38600
2009-07-30,7080,37900
2009-07-31,7420,39700
2009-08-03,7470,40000
2009-08-04,7530,40300
2009-08-05,7470,40000
2009-08-06,7380,39500
2009-08-07,7360,39400
2009-08-10,7450,39900
2009-08-11,7360,39400
2009-08-12,7320,39200
2009-08-13,7360,39400
2009-08-14,7420,39700
2009-08-17,7380,39500
2009-08-18,7310,39100
2009-08-19,7310,39100
2009-08-20,7250,38800
2009-08-21,7310,39100
2009-08-24,7310,39100
2009-08-25,7250,38800
2009-08-26,7210,38600
2009-08-27,7170,38400
2009-08-28,7210,38600
2009-08-31,7270,38900
2009-09-01,7230,38700
2009-09-03,7160,38300
2009-09-04,7010,37500
2009-09-07,6880,36800
2009-09-08,7010,37500
2009-09-09,6970,37300
2009-09-10,6880,36800
2009-09-11,6840,36600
2009-09-14,6800,36400
2009-09-15,6820,36500
2009-09-16,7160,38300
2009-09-17,7100,38000
2009-09-18,7100,38000
2009-09-21,7080,37900
2009-09-22,6990,37400
2009-09-23,6990,37400
2009-09-24,6910,37000
2009-09-25,7040,37700
2009-09-28,6970,37300
2009-09-29,6910,37000
2009-09-30,6880,36800
2009-10-01,6800,36400
2009-10-02,6630,35500
2009-10-05,6610,35400
2009-10-06,6600,35300
2009-10-07,6610,35400
2009-10-08,6610,35400
2009-10-09,6630,35500
2009-10-12,6690,35800
2009-10-13,6650,35600
2009-10-14,6950,37200
2009-10-15,7010,37500
2009-10-16,6860,36700
2009-10-19,6860,36700
2009-10-20,6860,36700
2009-10-21,6760,36200
2009-10-22,6840,36600
2009-10-23,6910,37000
2009-10-26,6820,36500
2009-10-27,6690,35800
2009-10-28,6670,35700
2009-10-29,6480,34700
2009-10-30,6500,34800
2009-11-02,6200,33200
2009-11-03,5900,31600
2009-11-04,5960,31900
2009-11-05,6240,33400
2009-11-06,6170,33000
2009-11-09,5890,31500
2009-11-10,5700,30500
2009-11-11,5790,31000
2009-11-12,5940,31800
2009-11-13,5960,31900
2009-11-16,5870,31400
2009-11-17,5750,30800
2009-11-18,5750,30800
2009-11-19,5740,30700
2009-11-20,5700,30500
2009-11-23,5490,29400
2009-11-24,5230,28000
2009-11-25,4970,26600
2009-11-26,4730,25300
2009-11-27,4950,26500
2009-11-30,5190,27800
2009-12-01,5440,29100
2009-12-02,5360,28700
2009-12-03,5420,29000
2009-12-04,5400,28900
2009-12-07,5460,29200
2009-12-08,5440,29100
2009-12-09,5180,27700
2009-12-10,5180,27700
2009-12-11,4970,26600
2009-12-14,5210,27900
2009-12-15,5460,29200
2009-12-16,5420,29000
2009-12-17,5510,29500
2009-12-18,5770,30900
2009-12-21,5870,31400
2009-12-22,5700,30500
2009-12-23,5510,29500
2009-12-24,5420,29000
2009-12-25,5490,29400
2009-12-28,5470,29300
2009-12-29,5510,29500
2009-12-30,5530,29600
2009-12-31,5510,29500
2010-01-04,5770,30900
2010-01-05,5890,31500
2010-01-06,5620,30100
2010-01-07,5530,29600
2010-01-08,5470,29300
2010-01-11,5530,29600
2010-01-12,5440,29100
2010-01-13,5440,29100
2010-01-14,5440,29100
2010-01-15,5420,29000
2010-01-18,5340,28600
2010-01-19,5400,28900
2010-01-20,5230,28000
2010-01-21,5230,28000
2010-01-22,5230,28000
2010-01-25,5310,28400
2010-01-26,5420,29000
2010-01-27,5250,28100
2010-01-28,5320,28500
2010-01-29,5230,28000
2010-02-01,5210,27900
2010-02-02,5210,27900
2010-02-03,5190,27800
2010-02-04,5230,28000
2010-02-05,5180,27700
2010-02-08,5140,27500
2010-02-09,5100,27300
2010-02-10,5190,27800
2010-02-11,5420,29000
2010-02-12,5420,29000
2010-02-22,5590,29900
2010-02-23,5610,30000
2010-02-24,5790,31000
2010-02-25,5850,31300
2010-02-26,6050,32400
2010-03-01,6330,33900
2010-03-02,6050,32400
2010-03-03,5940,31800
2010-03-04,6050,32400
2010-03-05,5890,31500
2010-03-08,5870,31400
2010-03-09,5980,32000
2010-03-10,5980,32000
2010-03-11,5850,31300
2010-03-12,5870,31400
2010-03-15,5790,31000
2010-03-16,5570,29800
2010-03-17,5310,28400
2010-03-18,5400,28900
2010-03-19,5160,27600
2010-03-22,5400,28900
2010-03-23,5460,29200
2010-03-24,5420,29000
2010-03-25,5270,28200
2010-03-26,5400,28900
2010-03-29,5400,28900
2010-03-30,5290,28300
2010-03-31,5230,28000
2010-04-01,5290,28300
2010-04-02,5270,28200
2010-04-05,5270,28200
2010-04-06,5320,28500
2010-04-07,5310,28400
2010-04-08,5270,28200
2010-04-09,5270,28200
2010-04-12,5420,29000
2010-04-13,5320,28500
2010-04-14,5290,28300
2010-04-15,5310,28400
2010-04-16,5270,28200
2010-04-19,5230,28000
2010-04-20,5210,27900
2010-04-21,5230,28000
2010-04-22,5310,28400
2010-04-26,5290,28300
2010-04-27,5290,28300
2010-04-28,5290,28300
2010-04-29,5290,28300
2010-05-04,5460,29200
2010-05-05,5360,28700
2010-05-06,5320,28500
2010-05-07,5250,28100
2010-05-10,5180,27700
2010-05-11,5190,27800
2010-05-12,5140,27500
2010-05-13,5190,27800
2010-05-14,5140,27500
2010-05-17,5040,27000
2010-05-18,5030,26900
2010-05-19,4880,26100
2010-05-20,5010,26800
2010-05-21,4840,25900
2010-05-24,4910,26300
2010-05-25,4910,26300
2010-05-26,4910,26300
2010-05-27,5030,26900
2010-05-28,5040,27000
2010-05-31,5040,27000
2010-06-01,5030,26900
2010-06-02,4970,26600
2010-06-03,4950,26500
2010-06-04,4950,26500
2010-06-07,4860,26000
2010-06-08,4860,26000
2010-06-09,4860,26000
2010-06-10,4860,26000
2010-06-11,4900,26200
2010-06-14,4860,26000
2010-06-15,4880,26100
2010-06-16,4950,26500
2010-06-17,4990,26700
2010-06-18,5120,27400
2010-06-21,5040,27000
2010-06-22,5010,26800
2010-06-23,5010,26800
2010-06-24,5030,26900
2010-06-25,4950,26500
2010-06-28,5010,26800
2010-06-29,5030,26900
2010-06-30,4930,26400
2010-07-01,4840,25900
2010-07-02,4820,25800
2010-07-05,4800,25700
2010-07-06,4800,25700
2010-07-07,4760,25500
2010-07-08,4780,25600
2010-07-09,4780,25600
2010-07-12,4800,25700
2010-07-13,4900,26200
2010-07-14,4840,25900
2010-07-15,4800,25700
2010-07-16,4760,25500
2010-07-19,4780,25600
2010-07-20,4780,25600
2010-07-21,4780,25600
2010-07-22,4730,25300
2010-07-23,4730,25300
2010-07-26,4690,25100
2010-07-27,4710,25200
2010-07-28,4710,25200
2010-07-29,4650,24900
2010-07-30,4670,25000
2010-08-02,4630,24800
2010-08-03,4600,24600
2010-08-04,4560,24400
2010-08-05,4480,24000
2010-08-06,4520,24200
2010-08-09,4480,24000
2010-08-10,4320,23100
2010-08-11,4330,23200
2010-08-12,4200,22500
2010-08-13,4200,22500
2010-08-16,4330,23200
2010-08-17,4330,23200
2010-08-18,4300,23000
2010-08-19,4320,23100
2010-08-20,4320,23100
2010-08-23,4200,22500
2010-08-24,4040,21600
2010-08-25,3870,20700
2010-08-26,3900,20900
2010-08-27,4020,21500
2010-08-30,4150,22200
2010-08-31,4130,22100
2010-09-01,4330,23200
2010-09-06,4540,20200
2010-09-07,4540,20200
2010-09-08,4470,19900
2010-09-09,4500,20000
2010-09-10,4450,19800
2010-09-13,4450,19800
2010-09-14,4360,19400
2010-09-15,4320,19200
2010-09-16,4250,18900
2010-09-17,4230,18800
2010-09-20,4200,18700
2010-09-21,4180,18600
2010-09-22,4180,18600
2010-09-23,4160,18500
2010-09-24,4230,18800
2010-09-27,4230,18800
2010-09-28,4270,19000
2010-09-29,4270,19000
2010-09-30,4250,18900
2010-10-01,4200,18700
2010-10-04,4160,18500
2010-10-05,4200,18700
2010-10-06,4200,18700
2010-10-07,4200,18700
2010-10-08,4200,18700
2010-10-11,4230,18800
2010-10-12,4200,18700
2010-10-13,4230,18800
2010-10-14,4270,19000
2010-10-15,4270,19000
2010-10-18,4270,19000
2010-10-19,4250,18900
2010-10-20,4270,19000
2010-10-21,4270,19000
2010-10-22,4290,19100
2010-10-25,4290,19100
2010-10-26,4290,19100
2010-10-27,4290,19100
2010-10-28,4270,19000
2010-10-29,4320,19200
2010-11-01,4320,19200
2010-11-02,4290,19100
2010-11-03,4290,19100
2010-11-04,4340,19300
2010-11-05,4360,19400
2010-11-08,4340,19300
2010-11-09,4290,19100
2010-11-10,4270,19000
2010-11-11,4290,19100
2010-11-12,4270,19000
2010-11-15,4250,18900
2010-11-16,4110,18300
2010-11-17,4160,18500
2010-11-18,4140,18400
2010-11-19,4140,18400
2010-11-22,4090,18200
2010-11-23,4140,18400
2010-11-24,4110,18300
2010-11-25,4140,18400
2010-11-26,4140,18400
2010-11-29,4140,18400
2010-11-30,4180,18600
2010-12-01,4160,18500
2010-12-02,4180,18600
2010-12-03,4340,19300
2010-12-06,4290,19100
2010-12-07,4180,18600
2010-12-08,4140,18400
2010-12-09,4110,18300
2010-12-10,4140,18400
2010-12-13,4340,19300
2010-12-14,4540,20200
2010-12-15,4770,21200
2010-12-16,4990,22200
2010-12-17,5240,23300
2010-12-20,5420,24100
2010-12-21,5440,24200
2010-12-22,5280,23500
2010-12-23,5150,22900
2010-12-24,5130,22800
2010-12-27,5260,23400
2010-12-28,5260,23400
2010-12-29,5170,23000
2010-12-30,5170,23000
2010-12-31,5170,23000
2011-01-04,5220,23200
2011-01-05,5190,23100
2011-01-06,5240,23300
2011-01-07,5220,23200
2011-01-10,5190,23100
2011-01-11,5100,22700
2011-01-12,5100,22700
2011-01-13,5220,23200
2011-01-14,5320,22300
2011-01-17,5270,22100
2011-01-18,5230,21900
2011-01-19,5200,21800
2011-01-20,5250,22000
2011-01-21,5490,23000
2011-01-24,5580,23400
2011-01-25,5390,22600
2011-01-26,5610,23500
2011-01-27,5580,23400
2011-01-28,5800,24300
2011-02-08,6090,25500
2011-02-09,6370,26700
2011-02-10,6320,26500
2011-02-11,6180,25900
2011-02-14,5940,24900
2011-02-15,6160,25800
2011-02-16,5970,25000
2011-02-17,6060,25400
2011-02-18,5940,24900
2011-02-21,5660,23700
2011-02-22,5630,23600
2011-02-23,5800,24300
2011-02-24,5820,24400
2011-02-25,6040,25300
2011-02-28,6320,26500
2011-03-01,6090,25500
2011-03-02,5920,24800
2011-03-03,5820,24400
2011-03-04,5990,25100
2011-03-07,6180,25900
2011-03-08,6010,25200
2011-03-09,6160,25800
2011-03-10,6320,26500
2011-03-11,6420,26900
2011-03-14,6470,27100
2011-03-15,6560,27500
2011-03-16,6870,28800
2011-03-17,7210,30200
2011-03-18,7570,31700
2011-03-21,7540,31600
2011-03-22,7370,30900
2011-03-23,7020,29400
2011-03-24,6730,28200
2011-03-25,6800,28500
2011-03-28,7020,29400
2011-03-29,6870,28800
2011-03-30,6830,28600
2011-03-31,6730,28200
2011-04-01,6710,28100
2011-04-04,6680,28000
2011-04-05,6940,29100
2011-04-06,7160,30000
2011-04-07,6920,29000
2011-04-08,6990,29300
2011-04-13,6900,28900
2011-04-14,6750,28300
2011-04-15,6750,28300
2011-04-18,6750,28300
2011-04-19,6850,28700
2011-04-20,6920,29000
2011-04-21,6800,28500
2011-04-22,6560,27500
2011-04-25,6710,28100
