date,adjusted_price,unadjusted_price
2009-12-01,6240,49200
2009-12-02,6530,51500
2009-12-03,6340,50000
2009-12-04,6090,48000
2009-12-07,5900,46500
2009-12-08,5610,44200
2009-12-09,5330,42000
2009-12-10,5330,42000
2009-12-11,5060,39900
2009-12-14,5060,39900
2009-12-15,5060,39900
2009-12-16,4820,38000
2009-12-17,4820,38000
2009-12-18,5060,39900
2009-12-21,5300,41800
2009-12-22,5390,42500
2009-12-23,5390,41000
2009-12-24,5400,41100
2009-12-25,5560,42300
2009-12-28,5290,40200
2009-12-29,5300,40300
2009-12-30,5380,40900
2009-12-31,5390,41000
2010-01-04,5650,43000
2010-01-05,5520,42000
2010-01-06,5650,43000
2010-01-07,5650,43000
2010-01-08,5600,42600
2010-01-11,5570,42400
2010-01-12,5390,41000
2010-01-13,5380,40900
2010-01-14,5500,41800
2010-01-15,5470,41600
2010-01-18,5290,40200
2010-01-19,5330,40500
2010-01-20,5130,39000
2010-01-21,5170,39300
2010-01-22,5150,39200
2010-01-25,5140,39100
2010-01-26,5210,39600
2010-01-27,5230,39800
2010-01-28,5190,39500
2010-01-29,5190,39500
2010-02-01,5080,38600
2010-02-02,5100,38800
2010-02-03,5140,39100
2010-02-04,5150,39200
2010-02-05,5100,38800
2010-02-08,5060,38500
2010-02-09,5010,38100
2010-02-10,5060,38500
2010-02-11,5180,39400
2010-02-12,5140,39100
2010-02-22,5260,40000
2010-02-23,5150,39200
2010-02-24,5130,39000
2010-02-25,5130,39000
2010-02-26,5130,39000
2010-03-01,5130,39000
2010-03-02,5020,38200
2010-03-03,5020,38200
2010-03-04,5080,38600
2010-03-05,5020,38200
2010-03-08,5210,39600
2010-03-09,5300,40300
2010-03-10,5260,40000
2010-03-11,5260,40000
2010-03-12,5260,40000
2010-03-15,5420,41200
2010-03-16,5260,40000
2010-03-17,5190,39500
2010-03-18,5190,39500
2010-03-19,5130,39000
2010-03-22,5130,39000
2010-03-23,5130,39000
2010-03-24,5000,38000
2010-03-25,4930,37500
2010-03-26,4940,37600
2010-03-29,5050,38400
2010-03-30,5130,39000
2010-03-31,4880,37100
2010-04-01,5100,38800
2010-04-02,5130,39000
2010-04-05,5150,39200
2010-04-06,5150,39200
2010-04-07,5180,39400
2010-04-08,5180,39400
2010-04-09,5270,40100
2010-04-12,5190,39500
2010-04-13,5330,40500
2010-04-14,5380,40900
2010-04-15,5340,40600
2010-04-16,5330,40500
2010-04-19,5260,40000
2010-04-20,5310,40400
2010-04-21,5270,40100
2010-04-22,5390,41000
2010-04-26,5380,40900
2010-04-27,5380,40900
2010-04-28,5460,41500
2010-04-29,5720,43500
2010-05-04,6000,45600
2010-05-05,5960,45300
2010-05-06,6010,45700
2010-05-07,5720,43500
2010-05-10,5630,42800
2010-05-11,5540,42100
2010-05-12,5500,41800
2010-05-13,5640,42900
2010-05-14,5520,42000
2010-05-17,5520,42000
2010-05-18,5510,41900
2010-05-19,5510,41900
2010-05-20,5340,40600
2010-05-21,5170,39300
2010-05-24,5420,41200
2010-05-25,5340,40600
2010-05-26,5300,40300
2010-05-27,5390,41000
2010-05-28,5520,42000
2010-05-31,5390,41000
2010-06-01,5390,41000
2010-06-02,5400,41100
2010-06-03,5400,41100
2010-06-04,5440,41400
2010-06-07,5300,40300
2010-06-08,5250,39900
2010-06-09,5460,41500
2010-06-10,5560,41300
2010-06-11,5520,41000
2010-06-14,5520,41000
2010-06-15,5390,40000
2010-06-16,5520,41000
2010-06-17,5440,40400
2010-06-18,5460,40500
2010-06-21,5460,40500
2010-06-22,5440,40400
2010-06-23,5400,40100
2010-06-24,5290,39300
2010-06-25,5250,39000
2010-06-28,5390,40000
2010-06-29,5470,40600
2010-06-30,5420,40200
2010-07-01,5400,40100
2010-07-02,5390,40000
2010-07-05,5380,39900
2010-07-06,5390,40000
2010-07-07,5510,40900
2010-07-08,5240,38900
2010-07-09,5390,40000
2010-07-12,5250,39000
2010-07-13,5390,40000
2010-07-14,5390,40000
2010-07-15,5390,40000
2010-07-16,5280,39200
2010-07-19,5250,39000
2010-07-20,5250,39000
2010-07-21,5250,39000
2010-07-22,5160,38300
2010-07-23,5160,38300
2010-07-26,5160,38300
2010-07-27,5380,39900
2010-07-28,5360,39800
2010-07-29,5160,38300
2010-07-30,5250,39000
2010-08-02,5150,38200
2010-08-03,5130,38100
2010-08-04,5130,38100
2010-08-05,5070,37600
2010-08-06,5120,38000
2010-08-09,5120,38000
2010-08-10,5120,38000
