date,adjusted_price,unadjusted_price
2007-01-02,9630,440000
2007-01-03,9850,450000
2007-01-04,10330,472000
2007-01-05,10830,495000
2007-01-08,10720,490000
2007-01-09,10720,490000
2007-01-10,10830,495000
2007-01-11,10940,500000
2007-01-12,11490,525000
2007-01-15,12060,551000
2007-01-16,12650,578000
2007-01-17,12030,550000
2007-01-18,12060,551000
2007-01-19,12650,578000
2007-01-22,13130,600000
2007-01-23,13170,602000
2007-01-24,12690,580000
2007-01-25,12690,580000
2007-01-26,12690,580000
2007-01-29,13240,605000
2007-01-30,13890,635000
2007-01-31,14110,645000
2007-02-01,13570,620000
2007-02-02,13780,630000
2007-02-05,13110,599000
2007-02-06,13670,625000
2007-02-07,13890,635000
2007-02-08,13220,604000
2007-02-09,12560,574000
2007-02-12,13170,602000
2007-02-13,13780,630000
2007-02-14,13350,610000
2007-02-15,13350,610000
2007-02-26,14000,640000
2007-02-27,14550,665000
2007-02-28,13830,632000
2007-03-01,13460,615000
2007-03-02,14110,645000
2007-03-05,13890,635000
2007-03-06,13230,604000
2007-03-07,13360,610000
2007-03-08,13140,600000
2007-03-09,13140,600000
2007-03-12,13360,610000
2007-03-13,13360,610000
2007-03-14,12700,580000
2007-03-15,12070,551000
2007-03-16,12660,578000
2007-03-19,12660,578000
2007-03-20,12310,562000
2007-03-21,11720,535000
2007-03-22,12150,555000
2007-03-23,12150,555000
2007-03-26,11830,540000
2007-03-27,11230,513000
2007-03-28,11230,513000
2007-03-29,11780,538000
2007-03-30,11850,541000
2007-04-02,11390,520000
2007-04-03,10950,500000
2007-04-04,11260,514000
2007-04-05,11280,515000
2007-04-06,11170,510000
2007-04-09,11280,515000
2007-04-10,11410,521000
2007-04-11,11500,525000
2007-04-12,11830,540000
2007-04-13,11390,520000
2007-04-16,11500,525000
2007-04-17,11280,515000
2007-04-18,11390,520000
2007-04-19,11060,505000
2007-04-20,10510,480000
2007-04-23,9990,456000
2007-04-24,9500,434000
2007-04-25,9310,425000
2007-05-02,9480,433000
2007-05-03,9680,442000
2007-05-04,10160,464000
2007-05-07,10660,487000
2007-05-08,10950,500000
2007-05-09,10950,500000
2007-05-10,11500,525000
2007-05-11,12070,551000
2007-05-14,12660,578000
2007-05-15,12040,550000
2007-05-16,11650,532000
2007-05-17,12200,557000
2007-05-18,11850,541000
2007-05-21,12220,372000
2007-05-22,12220,372000
2007-05-23,12150,370000
2007-05-24,11830,360000
2007-05-25,11760,358000
2007-05-28,11730,357000
2007-05-29,11400,347000
2007-05-30,11500,350000
2007-05-31,11460,349000
2007-06-01,11330,345000
2007-06-04,11170,340000
2007-06-05,10610,323000
2007-06-06,10840,330000
2007-06-07,11100,338000
2007-06-08,10840,330000
2007-06-11,10510,320000
2007-06-12,10480,319000
2007-06-13,10050,306000
2007-06-14,10020,305000
2007-06-15,10180,310000
2007-06-18,10050,306000
2007-06-19,10050,306000
2007-06-20,10050,306000
2007-06-21,9850,300000
2007-06-22,9690,295000
2007-06-25,10150,309000
2007-06-26,10640,324000
2007-06-27,10220,311000
2007-06-28,10120,308000
2007-06-29,10080,307000
2007-07-02,9920,302000
2007-07-03,9950,303000
2007-07-04,10250,312000
2007-07-05,10180,310000
2007-07-06,10120,308000
2007-07-09,10120,308000
2007-07-10,10120,308000
2007-07-11,10120,308000
2007-07-12,10050,306000
2007-07-13,9820,299000
2007-07-16,9530,290000
2007-07-17,9530,290000
2007-07-18,9460,288000
2007-07-19,9360,285000
2007-07-20,9300,283000
2007-07-23,8930,272000
2007-07-24,8790,267000
2007-07-25,8390,255000
2007-07-26,8230,250000
2007-07-27,8230,250000
2007-07-30,8330,253000
2007-07-31,8070,245000
2007-08-01,7900,240000
2007-08-02,7510,228000
2007-08-03,7140,217000
2007-08-06,7180,218000
2007-08-07,7510,228000
2007-08-08,7870,239000
2007-08-09,8230,250000
2007-08-10,7900,240000
2007-08-13,7600,231000
2007-08-14,7740,235000
2007-08-15,7570,230000
2007-08-16,7340,223000
2007-08-17,7240,220000
2007-08-20,7410,225000
2007-08-21,7470,227000
2007-08-22,7540,229000
2007-08-23,7410,225000
2007-08-24,7570,230000
2007-08-27,7440,226000
2007-08-28,7440,226000
2007-08-29,7440,226000
2007-08-30,7410,225000
2007-08-31,7410,225000
2007-09-04,7540,229000
2007-09-05,7410,225000
2007-09-06,7410,225000
2007-09-07,7410,225000
2007-09-10,7340,223000
2007-09-11,7340,223000
2007-09-12,7340,223000
2007-09-13,7340,223000
2007-09-14,7410,225000
2007-09-17,7370,224000
2007-09-18,7310,222000
2007-09-19,7340,223000
2007-09-20,7410,225000
2007-09-21,7510,228000
2007-09-24,7870,239000
2007-09-25,8230,250000
2007-09-26,8230,250000
2007-09-27,8560,260000
2007-09-28,8990,273000
2007-10-01,9420,286000
2007-10-02,9740,296000
2007-10-03,9910,301000
2007-10-04,9710,295000
2007-10-05,9250,281000
2007-10-08,9080,274000
2007-10-09,9520,287000
2007-10-10,9520,287000
2007-10-11,9320,281000
2007-10-12,9380,283000
2007-10-15,9280,280000
2007-10-16,9220,278000
2007-10-17,9350,282000
2007-10-18,9220,278000
2007-10-19,9120,275000
2007-10-22,9020,272000
2007-10-23,8990,271000
2007-10-24,9280,280000
2007-10-25,9180,277000
2007-10-26,9120,275000
2007-10-29,8990,271000
2007-10-30,8950,270000
2007-10-31,9020,272000
2007-11-01,8950,270000
2007-11-02,8750,264000
2007-11-05,8520,257000
2007-11-06,8190,247000
2007-11-07,8090,244000
2007-11-08,8190,247000
2007-11-09,8320,251000
2007-11-12,8320,251000
2007-11-13,7960,240000
2007-11-14,8320,251000
2007-11-15,8160,246000
2007-11-16,8260,249000
2007-11-19,8260,249000
2007-11-20,8160,246000
2007-11-21,7960,240000
2007-11-22,8160,246000
2007-11-23,8190,247000
2007-11-26,8190,247000
2007-11-27,8060,243000
2007-11-28,7990,241000
2007-11-29,7920,239000
2007-11-30,7890,238000
2007-12-03,7920,239000
2007-12-04,7820,236000
2007-12-05,7690,232000
2007-12-06,7630,230000
2007-12-07,7690,232000
2007-12-10,7560,228000
2007-12-11,7490,226000
2007-12-12,7530,227000
2007-12-13,7430,224000
2007-12-14,7360,222000
2007-12-17,7330,221000
2007-12-18,7430,224000
2007-12-19,7630,230000
2007-12-20,7460,225000
2007-12-21,7460,225000
2007-12-24,7390,223000
2007-12-25,7360,222000
2007-12-26,7390,223000
2007-12-27,7360,222000
2007-12-28,7390,223000
2008-01-02,7260,219000
2008-01-03,7130,215000
2008-01-04,7030,212000
2008-01-07,6830,206000
2008-01-08,6900,208000
2008-01-09,6700,202000
2008-01-10,6370,192000
2008-01-11,6530,197000
2008-01-14,6400,193000
2008-01-15,6270,189000
2008-01-16,6560,198000
2008-01-17,6600,199000
2008-01-18,6700,202000
2008-01-21,6370,192000
2008-01-22,6070,183000
2008-01-23,5770,174000
2008-01-24,5640,170000
2008-01-25,5900,178000
2008-01-28,6030,182000
2008-01-29,6330,191000
2008-01-30,6630,200000
2008-01-31,6530,197000
2008-02-01,6560,198000
2008-02-12,6400,193000
2008-02-13,6100,184000
2008-02-14,6130,185000
2008-02-15,6100,184000
2008-02-18,5840,176000
2008-02-19,5800,175000
2008-02-20,5540,167000
2008-02-21,5270,159000
2008-02-22,5040,152000
2008-02-25,5270,159000
2008-02-26,5040,152000
2008-02-27,5010,151000
2008-02-28,4910,148000
2008-02-29,4670,141000
2008-03-03,4440,134000
2008-03-04,4240,128000
2008-03-05,4040,122000
2008-03-06,4240,128000
2008-03-07,4440,134000
2008-03-10,4640,140000
2008-03-11,4440,134000
2008-03-12,4540,137000
2008-03-13,4540,137000
2008-03-14,4540,137000
2008-03-17,4340,131000
2008-03-18,4140,125000
2008-03-19,3950,119000
2008-03-20,3780,114000
2008-03-21,3610,109000
2008-03-24,3450,104000
2008-03-25,3280,99000
2008-03-26,3130,94500
2008-03-27,3150,95000
2008-03-28,3170,95500
2008-03-31,3180,96000
2008-04-01,3200,96500
2008-04-02,3220,97000
2008-04-03,3230,97500
2008-04-04,3250,98000
2008-04-07,3300,99500
2008-04-08,3270,98500
2008-04-09,3230,97500
2008-04-10,3180,96000
2008-04-11,3130,94500
2008-04-16,3080,93000
2008-04-17,3120,94000
2008-04-18,3070,92500
2008-04-21,3020,90000
2008-04-22,2970,88500
2008-04-23,2920,87000
2008-04-24,2870,85500
2008-04-25,2820,84000
2008-04-28,2770,82500
2008-04-29,2710,81000
2008-05-05,2660,79500
2008-05-06,2610,78000
2008-05-07,2560,76500
2008-05-08,2510,75000
2008-05-09,2460,73500
2008-05-12,2430,72500
2008-05-13,2400,71500
2008-05-14,2360,70500
2008-05-15,2330,69500
2008-05-16,2300,68500
2008-05-19,2260,67500
2008-05-20,2230,66500
2008-05-21,2200,65500
2008-05-22,2160,64500
2008-05-23,2130,63500
