date,adjusted_price,unadjusted_price
2024-08-15,15860,37000
2024-08-16,16010,37350
2024-08-19,15380,35900
2024-08-20,15040,35100
2024-08-21,15490,36150
2024-08-22,15510,36200
2024-08-23,15280,35650
2024-08-26,14610,34100
2024-08-27,14140,33000
2024-08-28,13950,32550
2024-08-29,14180,33100
2024-08-30,14140,33000
2024-09-04,14120,32950
2024-09-05,14120,32950
2024-09-06,14180,33100
2024-09-09,14180,33100
2024-09-10,14120,32950
2024-09-11,14120,32950
2024-09-12,14060,32800
2024-09-13,13880,32400
2024-09-16,14080,32850
2024-09-17,14120,32950
2024-09-18,13930,32500
2024-09-19,14060,32800
2024-09-20,14100,32900
2024-09-23,14140,33000
2024-09-24,14100,32900
2024-09-25,14140,33000
2024-09-26,14160,33050
2024-09-27,14210,33150
2024-09-30,14140,33000
2024-10-01,14100,32900
2024-10-02,13970,32600
2024-10-03,13970,32600
2024-10-04,14060,32800
2024-10-07,13930,32500
2024-10-08,13930,32500
2024-10-09,13970,32600
2024-10-10,13970,32600
2024-10-11,14140,33000
2024-10-14,14100,32900
2024-10-15,14530,33900
2024-10-16,14570,34000
2024-10-17,14570,34000
2024-10-18,14660,34200
2024-10-21,14700,34300
2024-10-22,14360,33500
2024-10-23,14510,33850
2024-10-24,14360,33500
2024-10-25,14360,33500
2024-10-28,13760,32100
2024-10-29,14530,33900
2024-10-30,14480,33800
2024-10-31,14530,33900
2024-11-01,14530,33900
2024-11-04,14530,33900
2024-11-05,14440,33700
2024-11-06,14440,33700
2024-11-07,14440,33700
2024-11-08,14360,33500
2024-11-11,14140,33000
2024-11-12,14400,33600
2024-11-13,14140,33000
2024-11-14,14140,33000
2024-11-15,14160,33050
2024-11-18,14140,33000
2024-11-19,14060,32800
2024-11-20,13930,32500
2024-11-21,14140,33000
2024-11-22,14120,32950
2024-11-25,14120,32950
2024-11-26,14160,33050
2024-11-27,14120,32950
2024-11-28,14120,32950
2024-11-29,14140,33000
