date,adjusted_price,unadjusted_price
2011-11-01,1370,13800
2011-11-02,1310,13200
2011-11-03,1300,13100
2011-11-04,1280,12900
2011-11-07,1220,12300
2011-11-08,1190,12000
2011-11-09,1150,11600
2011-11-10,1170,11800
2011-11-11,1190,12000
2011-11-14,1180,11900
2011-11-15,1170,11800
2011-11-16,1180,11900
2011-11-17,1180,11900
2011-11-18,1190,12000
2011-11-21,1230,12400
2011-11-22,1270,12800
2011-11-23,1260,12700
2011-11-24,1230,12400
2011-11-25,1220,12300
2011-11-28,1250,12600
2011-11-29,1270,12800
2011-11-30,1240,12500
2011-12-01,1260,12700
2011-12-02,1260,12700
2011-12-05,1290,13000
2011-12-06,1270,12800
2011-12-07,1280,11700
2011-12-08,1270,11600
2011-12-09,1250,11400
2011-12-12,1260,11500
2011-12-13,1250,11400
2011-12-14,1240,11300
2011-12-15,1240,11300
2011-12-16,1240,11300
2011-12-19,1240,11300
2011-12-20,1240,11300
2011-12-21,1250,11400
2011-12-22,1230,11200
2011-12-23,1210,11100
2011-12-26,1200,11000
2011-12-27,1150,10500
2011-12-28,1160,10600
2011-12-29,1180,10800
2011-12-30,1180,10800
2012-01-03,1190,10900
2012-01-04,1190,10900
2012-01-05,1170,10700
2012-01-06,1170,10700
2012-01-09,1180,10800
2012-01-10,1200,11000
2012-01-11,1210,11100
2012-01-12,1240,11300
2012-01-13,1260,11500
2012-01-16,1290,11800
2012-01-17,1260,11500
2012-01-18,1260,11500
2012-01-19,1300,11900
2012-01-20,1290,11800
2012-01-30,1310,12000
2012-01-31,1320,12100
2012-02-01,1310,12000
2012-02-02,1380,12600
2012-02-03,1400,12800
2012-02-06,1370,12500
2012-02-07,1380,12600
2012-02-08,1430,13100
2012-02-09,1470,13400
2012-02-10,1440,13200
2012-02-13,1410,12300
2012-02-14,1450,12700
2012-02-15,1420,12400
2012-02-16,1430,12500
2012-02-17,1450,12700
2012-02-20,1510,13200
2012-02-21,1480,12900
2012-02-22,1520,13300
2012-02-23,1590,13900
2012-02-24,1620,14200
2012-02-27,1680,14700
2012-02-28,1630,14000
2012-02-29,1670,14300
2012-03-01,1740,14900
2012-03-02,1820,15600
2012-03-05,1900,16300
2012-03-06,1930,16500
2012-03-07,1880,16100
2012-03-08,1790,15300
2012-03-09,1740,14900
2012-03-12,1680,14400
2012-03-13,1750,15000
2012-03-14,1700,14600
2012-03-15,1790,15300
2012-03-16,1810,15500
2012-03-19,1810,15500
2012-03-20,1860,15900
2012-03-21,1890,16200
2012-03-22,1840,15800
2012-03-23,1870,16000
2012-03-26,1810,15500
2012-03-27,1730,14800
2012-03-28,1760,15100
2012-03-29,1720,14700
2012-03-30,1690,14500
2012-04-03,1770,15200
2012-04-04,1740,14900
2012-04-05,1790,15300
2012-04-06,1760,15100
2012-04-09,1790,15300
2012-04-10,1740,14900
2012-04-11,1790,15300
2012-04-12,1840,15800
2012-04-13,1810,15500
2012-04-16,1840,15800
2012-04-17,1860,15900
2012-04-18,1830,15700
2012-04-19,1800,15400
2012-04-20,1800,15400
2012-04-23,1800,15400
2012-04-24,1810,15500
2012-04-25,1820,15600
2012-04-26,1790,15300
2012-04-27,1790,15300
2012-05-02,1770,15200
2012-05-03,1760,15100
2012-05-04,1770,15200
2012-05-07,1750,15000
2012-05-08,1830,15700
2012-05-09,1820,15600
2012-05-10,1830,15700
2012-05-11,1810,15500
2012-05-14,1750,15000
2012-05-15,1730,14800
2012-05-16,1740,14900
2012-05-17,1740,14700
2012-05-18,1690,14300
2012-05-21,1780,15000
2012-05-22,1740,14700
2012-05-23,1690,14300
2012-05-24,1670,14100
2012-05-25,1750,14800
2012-05-28,1750,14800
2012-05-29,1740,14700
2012-05-30,1760,14900
2012-05-31,1740,14700
2012-06-01,1750,14800
2012-06-04,1700,14400
2012-06-05,1730,14600
2012-06-06,1730,14600
2012-06-07,1750,14800
2012-06-08,1730,14600
