date,adjusted_price,unadjusted_price
2020-12-23,6450,17000
2020-12-24,6560,17300
2020-12-25,7020,18500
2020-12-28,7110,18750
2020-12-29,7210,19000
2020-12-30,7170,18900
2021-01-04,7130,18800
2021-01-05,7130,18800
2021-01-06,7360,19400
2021-01-07,7580,20000
2021-01-08,7810,20600
2021-01-11,7850,20700
2021-01-12,7770,20500
2021-01-13,7550,19900
2021-01-14,7550,19900
2021-01-15,7600,20050
2021-01-18,7430,19600
2021-01-19,7020,18500
2021-01-20,7020,18500
2021-01-21,7020,18500
2021-01-22,7050,18600
2021-01-25,6980,18400
2021-01-26,6900,18200
2021-01-27,6600,17400
2021-01-28,6140,16200
2021-01-29,6410,16900
2021-02-01,6300,16600
2021-02-02,6280,16550
2021-02-03,6640,17500
2021-02-04,6560,17300
2021-02-05,6600,17400
2021-02-08,6450,17000
2021-02-09,6600,17400
2021-02-17,6830,18000
2021-02-18,6750,17800
2021-02-19,7020,18500
2021-02-22,7130,18800
2021-02-23,7210,19000
2021-02-24,7190,18950
2021-02-25,7090,18700
2021-02-26,7110,18750
2021-03-01,7190,18950
2021-03-02,7190,18950
2021-03-03,7660,20200
2021-03-04,7430,19600
2021-03-05,7510,19800
2021-03-08,7510,19800
2021-03-09,7510,19800
2021-03-10,7570,19950
2021-03-11,7960,21000
2021-03-12,7890,20800
2021-03-15,8150,21500
2021-03-16,8310,21900
2021-03-17,8420,22200
2021-03-18,8530,22500
2021-03-19,8510,22450
2021-03-22,8340,22000
2021-03-23,8150,21500
2021-03-24,8340,22000
2021-03-25,8250,21750
2021-03-26,8250,21750
2021-03-29,8210,21650
2021-03-30,8210,21650
2021-04-01,8400,22150
2021-04-02,8570,22600
2021-04-05,8650,22800
2021-04-06,8630,22750
2021-04-07,8610,22700
2021-04-08,8360,22050
2021-04-09,8360,22050
2021-04-12,8840,23300
2021-04-13,8630,22750
2021-04-14,8680,22900
2021-04-15,8570,22600
2021-04-16,8400,22150
2021-04-19,8480,22350
2021-04-20,8500,22400
2021-04-22,8150,21500
2021-04-23,8310,21900
2021-04-26,8230,21700
2021-04-27,8060,21250
2021-04-28,8190,21600
2021-04-29,8230,21700
2021-05-04,8190,21600
2021-05-05,8460,22300
2021-05-06,8500,22400
2021-05-07,8420,22200
2021-05-10,8570,22600
2021-05-11,8700,22950
2021-05-12,8800,23200
2021-05-13,8820,23250
2021-05-14,8870,23400
2021-05-17,8800,23200
2021-05-18,8720,23000
2021-05-19,8820,23250
2021-05-20,9420,24850
2021-05-21,9460,24950
2021-05-24,9480,25000
2021-05-25,9440,24900
2021-05-26,9580,25250
2021-05-27,9750,25700
2021-05-28,10130,26700
2021-05-31,10410,27450
2021-06-01,10620,28000
2021-06-02,10510,27700
2021-06-03,10960,28900
2021-06-04,11530,30400
2021-06-07,10960,28900
2021-06-08,10200,26900
2021-06-09,10620,28000
2021-06-10,10280,27100
2021-06-11,10620,28000
2021-06-14,10580,27900
2021-06-15,10540,27800
2021-06-16,10350,27300
2021-06-17,10430,27500
2021-06-18,10600,27950
2021-06-21,10540,27800
2021-06-22,10770,28400
2021-06-23,10770,28400
2021-06-24,10750,28350
