date,adjusted_price,unadjusted_price
2010-02-03,4190,13000
2010-02-04,4190,13000
2010-02-05,4190,13000
2010-02-08,3800,11800
2010-02-09,3800,11800
2010-02-10,3800,11800
2010-02-11,3800,11800
2010-02-12,3800,11800
2010-02-22,4130,12800
2010-02-23,3870,12000
2010-02-24,3610,11200
2010-02-25,3320,10300
2010-02-26,3030,9400
2010-03-01,3030,9400
2010-03-02,3030,9400
2010-03-03,3030,9400
2010-03-04,2740,8500
2010-03-05,3000,9300
2010-03-08,2900,9000
2010-03-09,2900,9000
2010-03-10,2640,8200
2010-03-11,2390,7400
2010-03-12,2420,7500
2010-03-15,2450,7600
2010-03-16,2680,8300
2010-03-17,2680,8300
2010-03-18,2740,8500
2010-03-19,2580,8000
2010-03-22,2870,8900
2010-03-23,3090,9600
2010-03-24,3090,9600
2010-03-25,2800,8700
2010-03-26,2840,8800
2010-03-29,3090,9600
2010-03-30,3090,9600
2010-03-31,2800,8700
2010-04-01,3060,9500
2010-04-02,2770,8600
2010-04-05,2900,9000
2010-04-06,3190,9900
2010-04-07,2900,9000
2010-04-08,2610,8100
2010-04-09,2610,8100
2010-04-12,2610,8100
2010-04-13,2390,7400
2010-04-14,2450,7600
2010-04-15,2450,7600
2010-04-16,2680,8300
2010-04-19,2680,8300
2010-04-20,2930,9100
2010-04-21,3220,10000
2010-04-22,3190,9900
2010-04-26,2900,9000
2010-04-27,2610,8100
2010-04-28,2740,8500
2010-04-29,3130,9700
2010-05-04,3380,10500
2010-05-05,3380,10500
2010-05-06,3710,11500
2010-05-07,3930,12200
2010-05-10,4190,13000
2010-05-11,4160,12900
2010-05-12,3770,11700
2010-05-13,3610,11200
2010-05-14,3970,12300
2010-05-17,3550,11000
2010-05-18,3580,11100
2010-05-19,3580,11100
2010-05-20,3610,11200
2010-05-21,3380,10500
2010-05-24,3550,11000
2010-05-25,3510,10900
2010-05-26,3510,10900
2010-05-27,3510,10900
2010-05-28,3510,10900
2010-05-31,3510,10900
2010-06-01,3510,10900
2010-06-02,3510,10900
2010-06-03,3550,11000
2010-06-04,3800,11800
2010-06-07,3710,11500
2010-06-08,3380,10500
2010-06-09,3380,10500
2010-06-10,3380,10500
2010-06-11,3420,10600
2010-06-14,3420,10600
2010-06-15,3420,10600
2010-06-16,3380,10500
2010-06-17,3380,10500
2010-06-18,3380,10500
2010-06-21,3380,10500
2010-06-22,3480,10800
2010-06-23,3550,11000
2010-06-24,3480,10800
2010-06-25,3480,10800
2010-06-28,3510,10900
2010-06-29,3550,11000
2010-06-30,3550,11000
2010-07-01,3550,11000
2010-07-02,3900,12100
2010-07-05,4130,12800
2010-07-06,4480,13900
2010-07-07,4510,14000
2010-07-08,4190,13000
2010-07-09,4350,13500
2010-07-12,4090,12700
2010-07-13,4510,14000
2010-07-14,4740,14700
2010-07-15,5000,15500
2010-07-16,4800,14900
2010-07-19,4510,14000
2010-07-20,4160,12900
2010-07-21,4000,12400
2010-07-22,3900,12100
2010-07-23,4000,12400
2010-07-26,4160,12900
2010-07-27,3870,12000
2010-07-28,3800,11800
2010-07-29,3800,11800
2010-07-30,3870,12000
2010-08-02,3710,11500
2010-08-03,3870,12000
2010-08-04,3710,11500
2010-08-05,3870,12000
2010-08-06,3740,11600
2010-08-09,3450,10700
2010-08-10,3380,10500
2010-08-11,3450,10700
2010-08-12,3450,10700
2010-08-13,3510,10900
2010-08-16,3770,11700
2010-08-17,3380,10500
2010-08-18,3480,10800
2010-08-19,3380,10500
2010-08-20,3480,10800
2010-08-23,3260,10100
2010-08-24,3060,9500
2010-08-25,3260,10100
2010-08-26,3320,10300
2010-08-27,3130,9700
2010-08-30,3380,10500
2010-08-31,3420,10600
2010-09-01,3550,11000
2010-09-06,3610,11200
2010-09-07,3290,10200
2010-09-08,3220,10000
2010-09-09,3220,10000
2010-09-10,3260,10100
2010-09-13,3220,10000
2010-09-14,3260,10100
2010-09-15,3550,11000
2010-09-16,3680,11400
2010-09-17,3680,11400
2010-09-20,3680,11400
2010-09-21,3320,10300
2010-09-22,3030,9400
2010-09-23,3220,10000
2010-09-24,3350,10400
2010-09-27,3220,10000
2010-09-28,3220,10000
2010-09-29,3190,9900
2010-09-30,3060,9500
2010-10-01,3060,9500
2010-10-04,3060,9500
2010-10-05,3060,9500
2010-10-06,3060,9500
2010-10-07,3130,9700
2010-10-08,3090,9600
2010-10-11,3060,9500
2010-10-12,3060,9500
2010-10-13,3130,9700
2010-10-14,3060,9500
2010-10-15,3060,9500
2010-10-18,3130,9700
2010-10-19,3130,9700
2010-10-20,3090,9600
2010-10-21,3130,9700
2010-10-22,3130,9700
2010-10-25,3130,9700
2010-10-26,3130,9700
2010-10-27,3060,9500
2010-10-28,3060,9500
2010-10-29,3060,9500
2010-11-01,3090,9600
2010-11-02,3060,9500
2010-11-03,3030,9400
2010-11-04,2900,9000
2010-11-05,2900,9000
2010-11-08,2740,8500
2010-11-09,2580,8000
2010-11-10,2740,8500
2010-11-11,2740,8500
2010-11-12,2680,8300
2010-11-15,2740,8500
2010-11-16,2710,8400
2010-11-17,2710,8400
2010-11-18,2900,9000
2010-11-19,2900,9000
2010-11-22,3030,9400
2010-11-23,3030,9400
2010-11-24,3030,9400
2010-11-25,3060,9500
2010-11-26,3090,9600
2010-11-30,3320,10300
2010-12-01,3550,11000
2010-12-02,3640,11300
2010-12-03,3840,11900
2010-12-06,3580,11100
2010-12-07,3350,10400
2010-12-08,3160,9800
2010-12-09,3090,9600
2010-12-10,3580,11100
2010-12-13,3380,10500
2010-12-14,3840,11900
2010-12-15,3930,12200
2010-12-16,3550,11000
2010-12-17,3580,11100
2010-12-20,3450,10700
2010-12-21,3550,11000
2010-12-22,3610,11200
2010-12-23,3420,10600
2010-12-24,4060,12600
2010-12-27,3550,11000
2010-12-28,3510,10900
2010-12-29,3550,11000
2010-12-30,3510,10900
2010-12-31,3550,11000
2011-01-04,3550,11000
2011-01-05,3550,11000
2011-01-06,3870,12000
2011-01-07,3420,10600
2011-01-10,3550,11000
2011-01-11,3800,11800
2011-01-12,3740,11600
2011-01-13,3550,11000
2011-01-14,3680,11400
2011-01-17,3640,11300
2011-01-18,3350,10400
2011-01-20,3610,11200
2011-01-21,3260,10100
2011-01-24,3160,9800
2011-01-25,3060,9500
2011-01-27,2970,9200
2011-01-28,3290,10200
2011-02-08,3290,10200
2011-02-09,3220,10000
2011-02-10,3220,10000
2011-02-11,3060,9500
2011-02-14,3290,10200
2011-02-15,3130,9700
2011-02-16,3130,9700
2011-02-17,3220,10000
2011-02-18,3290,10200
2011-02-21,3290,10200
2011-02-22,2970,9200
2011-02-23,3030,9400
2011-02-24,2900,9000
2011-02-25,2800,8700
2011-02-28,3060,9500
2011-03-01,2840,8800
2011-03-02,2840,8800
2011-03-03,2740,8500
2011-03-04,2740,8500
2011-03-07,2740,8500
2011-03-08,2740,8500
2011-03-09,2770,8600
2011-03-10,2900,9000
2011-03-11,2970,9200
2011-03-14,2740,8500
2011-03-15,2840,8800
2011-03-16,2740,8500
2011-03-17,2770,8600
2011-03-18,2840,8800
2011-03-21,2800,8700
2011-03-22,3000,9300
2011-03-23,2740,8500
2011-03-24,2870,8900
2011-03-25,2900,9000
2011-03-28,2840,8800
2011-03-29,2840,8800
2011-03-30,2840,8800
2011-03-31,2770,8600
2011-04-01,2740,8500
2011-04-04,2770,8600
2011-04-05,2840,8800
2011-04-06,2740,8500
2011-04-07,2840,8800
2011-04-08,2840,8800
2011-04-13,2770,8600
2011-04-14,2710,8400
2011-04-15,2710,8400
2011-04-18,2680,8300
2011-04-19,2550,7900
2011-04-20,2550,7900
2011-04-21,2580,8000
2011-04-22,2550,7900
2011-04-25,2550,7900
2011-04-26,2680,8300
2011-04-27,2580,8000
2011-04-28,2550,7900
2011-04-29,2510,7800
2011-05-04,2510,7800
2011-05-05,2320,7200
2011-05-06,2510,7800
2011-05-09,2510,7800
2011-05-10,2550,7900
2011-05-11,2450,7600
2011-05-12,2350,7300
2011-05-13,2220,6900
2011-05-16,2450,7600
2011-05-17,2260,7000
2011-05-18,2350,7300
2011-05-19,2480,7700
2011-05-20,2420,7500
2011-05-23,2290,7100
2011-05-24,2260,7000
2011-05-25,2130,6600
2011-05-26,2130,6600
2011-05-27,2190,6800
2011-05-30,2000,6200
2011-05-31,2220,6900
2011-06-01,2100,6500
2011-06-02,2130,6600
2011-06-03,2260,7000
2011-06-06,2030,6300
2011-06-07,2060,6400
2011-06-08,1970,6100
2011-06-09,2060,6400
2011-06-10,2260,7000
2011-06-13,2260,7000
2011-06-14,2160,6700
2011-06-15,2260,7000
2011-06-16,2190,6800
2011-06-17,2030,6300
2011-06-20,2000,6200
2011-06-21,2000,6200
2011-06-22,2030,6300
2011-06-23,2030,6300
2011-06-24,1970,6100
2011-06-27,1930,6000
2011-06-28,2190,6800
2011-06-29,2030,6300
2011-06-30,2030,6300
2011-07-01,1930,6000
2011-07-04,1930,6000
2011-07-05,2000,6200
2011-07-06,1900,5900
2011-07-07,2060,6400
2011-07-08,1870,5800
2011-07-11,1900,5900
2011-07-12,1930,6000
2011-07-13,2000,6200
2011-07-14,1930,6000
2011-07-18,1900,5900
