kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
cash_dividend,2014-12-18,2014-12-22,2015-01-12,,,500,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb35a
cash_dividend,2015-05-20,2015-05-22,2015-06-09,,,1300,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb49e
stock_dividend,2015-08-12,2015-08-14,2015-09-21,,,,,0.07,,,,,VCI event 6708f3f00ec61045ab7ff055
cash_dividend,2015-10-14,2015-10-16,2015-11-06,,,900,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb622
cash_dividend,2016-04-20,2016-04-21,2016-04-29,,,1300,0.05,,,,,,VCI event 6708f3e10ec61045ab7fb879
stock_dividend,2016-04-20,2016-04-21,2016-06-01,,,,,0.04,,,,,VCI event 6708f3f10ec61045ab7ff274
cash_dividend,2016-08-12,2016-08-15,2016-08-31,,,800,0.05,,,,,,VCI event 6708f3e10ec61045ab7fba3e
cash_dividend,2016-08-12,2016-08-15,2016-09-23,,,700,0.05,,,,,,VCI event 6708f3e10ec61045ab7fba3f
cash_dividend,2016-12-21,2016-12-22,2017-01-12,,,500,0.05,,,,,,VCI event 6708f3e20ec61045ab7fbbc4
cash_dividend,2017-05-24,2017-05-25,2017-06-15,,,1600,0.05,,,,,,VCI event 6708f3e20ec61045ab7fbe02
cash_dividend,2017-10-09,2017-10-10,2017-10-20,,,1000,0.05,,,,,,VCI event 6708f3e30ec61045ab7fc05f
cash_dividend,2018-05-17,2018-05-18,2018-05-30,,,2000,0.05,,,,,,VCI event 6708f3e40ec61045ab7fc32d
cash_dividend,2018-07-13,2018-07-16,2018-07-30,,,2792,0.05,,,,,,VCI event 6708f3e40ec61045ab7fc4a7
cash_dividend,2018-09-20,2018-09-21,2018-09-28,,,1500,0.05,,,,,,VCI event 6708f3e40ec61045ab7fc596
cash_dividend,2018-12-27,2018-12-28,2019-06-17,,,900,0.05,,,,,,VCI event 6708f3e50ec61045ab7fc6b4
cash_dividend,2020-01-09,2020-01-10,2020-01-31,,,1000,0.05,,,,,,VCI event 6708f3e60ec61045ab7fcbb3
cash_dividend,2020-07-23,2020-07-24,2020-08-14,,,1500,0.05,,,,,,VCI event 6708f3e70ec61045ab7fce21
cash_dividend,2021-02-05,2021-02-08,2021-03-15,,,1000,0.05,,,,,,VCI event 6708f3e70ec61045ab7fd08f
cash_dividend,2021-09-29,2021-09-30,2021-10-28,,,1000,0.05,,,,,,VCI event 6708f3e80ec61045ab7fd38c
cash_dividend,2022-04-04,2022-04-05,2022-04-18,,,1000,0.05,,,,,,VCI event 6708f3e80ec61045ab7fd53f
cash_dividend,2022-10-07,2022-10-10,2022-10-20,,,650,0.05,,,,,,VCI event 6708f3e90ec61045ab7fd815
cash_dividend,2023-03-23,2023-03-24,2023-03-31,,,1000,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fd948
cash_dividend,2023-09-14,2023-09-15,2023-09-29,,,1500,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fdbd2
cash_dividend,2024-03-14,2024-03-15,2024-03-29,,,700,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdd4e
cash_dividend,2025-01-17,2025-01-20,2025-02-12,,,800,0.05,,,,,,VCI event 6780650c7eee280b39d6727b
cash_dividend,2025-10-21,2025-10-22,2025-10-31,,,700,0.05,,,,,,VCI event 68ec47114b8a964375150ad6
