date,adjusted_price,unadjusted_price
2007-01-02,3860,146000
2007-01-03,3860,145900
2007-01-04,3970,150000
2007-01-05,4260,161100
2007-01-08,4250,160700
2007-01-09,4660,176000
2007-01-10,5000,189200
2007-01-11,5180,196000
2007-01-12,5340,202000
2007-01-15,5950,225000
2007-01-16,5980,226000
2007-01-17,5500,207800
2007-01-18,5420,205000
2007-01-19,5690,215200
2007-01-22,5550,209900
2007-01-23,5480,207000
2007-01-24,5400,204000
2007-01-25,5580,211000
2007-01-26,5480,207000
2007-01-29,5740,216900
2007-01-30,5980,226000
2007-01-31,6270,237000
2007-02-01,6210,234700
2007-02-02,6060,229000
2007-02-05,5950,225000
2007-02-06,5900,223000
2007-02-07,5940,224500
2007-02-08,5820,220000
2007-02-09,5950,225000
2007-02-12,6450,244000
2007-02-13,6560,248000
2007-02-14,6670,252000
2007-02-15,7320,276700
2007-02-26,8050,304300
2007-02-27,8460,320000
2007-02-28,8280,313000
2007-03-01,7780,294000
2007-03-02,7860,297000
2007-03-05,7720,292000
2007-03-06,7670,290000
2007-03-07,7410,280000
2007-03-08,7540,285000
2007-03-09,7540,284900
2007-03-12,7510,284000
2007-03-13,7410,280000
2007-03-14,7250,274000
2007-03-15,6480,245000
2007-03-16,7140,270000
2007-03-19,7140,269900
2007-03-20,6880,260000
2007-03-21,6750,255000
2007-03-22,6590,249000
2007-03-23,6480,245100
2007-03-26,5900,223000
2007-03-27,5540,209400
2007-03-28,6100,230500
2007-03-29,6260,236600
2007-03-30,6080,230000
2007-04-02,5710,216000
2007-04-03,5560,210000
2007-04-04,5810,219500
2007-04-05,5690,215000
2007-04-06,5770,218000
2007-04-09,5820,220000
2007-04-10,5820,220000
2007-04-11,5790,219000
2007-04-12,5480,207000
2007-04-13,5290,199900
2007-04-16,4790,181000
2007-04-17,5290,200100
2007-04-18,5460,206500
2007-04-19,5160,195000
2007-04-20,5000,189000
2007-04-23,4790,181000
2007-04-24,4760,180000
2007-04-25,4830,182600
2007-05-02,4740,179000
2007-05-03,4760,180000
2007-05-04,4840,182800
2007-05-07,5000,189000
2007-05-08,5250,198500
2007-05-09,5660,214000
2007-05-10,5580,210800
2007-05-11,5690,215000
2007-05-14,5750,217500
2007-05-15,5570,210500
2007-05-16,5730,144000
2007-05-17,5610,141000
2007-05-18,5550,139500
2007-05-21,5450,137000
2007-05-22,5520,138900
2007-05-23,5630,141500
2007-05-24,5460,137400
2007-05-25,5400,135800
2007-05-28,5330,134000
2007-05-29,5310,133600
2007-05-30,5330,134000
2007-05-31,5330,134000
2007-06-01,5310,133600
2007-06-04,5220,131200
2007-06-05,5110,128500
2007-06-06,5110,128500
